,ALOKW FP Equity_DX_SI_QTY,ALOKW FP Equity_DX_SHORT_INTEREST_VALUE,ALOKW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOKW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOKW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOKW FP Equity_DX_SI_MV,ALOKW FP Equity_DX_DSS,ALOKW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOKW FP Equity_DX_SUPPLY_SI_QTY,ALOKW FP Equity_DX_BROKER_SI_QTY,ALOKW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOKW FP Equity_DX_BROKER_SI_MV_NEW_x,ALOKW FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALOKW FP Equity_DX_BROKER_SI_MV_INC_x,ALOKW FP Equity_DX_BROKER_SI_QTY_ADD,ALOKW FP Equity_DX_BROKER_SI_QTY_NEW,ALOKW FP Equity_DX_SUPPLY_SI_MV_DEC,ALOKW FP Equity_DX_BROKER_SI_QTY_INC,ALOKW FP Equity_DX_SUPPLY_SI_QTY_DEC,ALOKW FP Equity_DX_BROKER_SI_MV_NEW_y,ALOKW FP Equity_DX_BROKER_SI_MV_INC_y,ALOKW FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALOKW FP Equity_DX_BROKER_SI_MV_ADD,ALOKW FP Equity_DX_SUPPLY_SI_QTY_ADD,ALOKW FP Equity_DX_BROKER_SI_QTY_DEC,ALOKW FP Equity_DX_SUPPLY_SI_MV,ALOKW FP Equity_DX_BROKER_SI_MV_DEC,ALOKW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOKW FP Equity_DX_UTILIZATION_QUANTITY,ALOKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOKW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOKW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOKW FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOKW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOKW FP Equity_DX_BROKER_SI_CON_RATIO,ALOKW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOKW FP Equity_DX_DEMAND_SUPPLY_RATIO,ALOKW FP Equity_PX_LAST
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.094
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.998
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.998
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.174
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.952
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.502
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.392
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.438
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.582
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.622
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.954
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.058
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.274
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.468
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.402
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.406
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.408
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.498
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.962
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.36
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.548
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.548
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.316
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.546
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.546
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.544
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.41
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.322
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.388
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.406
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.438
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.47
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42
