,EC FP Equity_DX_SI_QTY,EC FP Equity_DX_SHORT_INTEREST_VALUE,EC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EC FP Equity_DX_SI_MV,EC FP Equity_DX_DSS,EC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY,EC FP Equity_DX_BROKER_SI_QTY,EC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EC FP Equity_DX_BROKER_SI_MV_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_INC_x,EC FP Equity_DX_BROKER_SI_MV_INC_x,EC FP Equity_DX_SUPPLY_SI_MV_NEW,EC FP Equity_DX_BROKER_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_NEW,EC FP Equity_DX_SUPPLY_SI_MV_DEC,EC FP Equity_DX_BROKER_SI_QTY_INC,EC FP Equity_DX_SUPPLY_SI_QTY_DEC,EC FP Equity_DX_BROKER_SI_MV_NEW_y,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EC FP Equity_DX_BROKER_SI_MV_INC_y,EC FP Equity_DX_SUPPLY_SI_QTY_INC_y,EC FP Equity_DX_BROKER_SI_MV_ADD,EC FP Equity_DX_SUPPLY_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_DEC,EC FP Equity_DX_SUPPLY_SI_MV,EC FP Equity_DX_BROKER_SI_MV_DEC,EC FP Equity_DX_SUPPLY_SI_MV_RMV,EC FP Equity_DX_BROKER_SI_MV_RMV,EC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EC FP Equity_DX_UTILIZATION_QUANTITY,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EC FP Equity_DX_ACTIVE_UTILIZATION_MV,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EC FP Equity_DX_BROKER_SI_CON_RATIO,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,5268.0,1735313.2,0.7,6.64,0.12,3.22,0.0,17129.14,5256.0,52.0,1731360.32,,,,,,,,0.0,,87.0,,,,,,,0.0,3.22,0.0,,,23.01,23.01,17583.0,5791953.69,,10.78,22.99,5.26,0.8817,93.75,0.2306
2006-01-11,5509.0,1830798.3,0.73,5.7,0.12,3.41,0.0,81088.18,5500.0,244.0,1827807.35,,,244.0,0.12,,,,,192.0,,,,0.12,244.0,,,,3.4,,,,23.66,23.66,17747.0,5897835.81,,11.0,23.64,5.28,0.8197,90.28,0.237
2006-01-18,5524.0,1893013.88,0.73,5.51,0.12,3.58,0.0,83616.11,5511.0,244.0,1888558.93,,,23.0,0.0,,,,0.0,0.0,12.0,,,0.0,23.0,,,,3.58,,,,24.29,24.29,17174.0,5885340.42,,11.14,24.31,5.21,0.8211,90.36,0.2435
2006-01-25,6230.0,2202807.37,0.83,6.02,0.14,4.18,0.0,86627.26,6218.0,245.0,2198564.4,,5000.0,699.0,0.0,3.36,,,,0.0,,,5000.0,0.0,699.0,,,,4.17,,3.24,,28.03,28.03,15967.0,5645622.04,4991.0,10.71,28.05,5.22,0.8211,90.37,0.2808
2006-02-01,4298.0,1571069.02,0.57,4.37,0.1,2.97,0.0,4020.88,4287.0,11.0,1567048.13,,,,,,,,1.27,,1931.0,,,,,,,234.0,2.96,0.16,,,19.54,19.54,17657.0,6454249.8,,12.2,19.55,6.69,0.8707,93.07,0.1959
2006-02-08,4464.0,1598543.64,0.59,4.71,0.1,3.01,0.0,61234.53,4388.0,171.0,1571328.29,,,101.0,0.0,,160.0,,,0.0,,,,0.0,101.0,0.11,,,2.96,,,,19.43,19.43,18196.0,6515927.44,,12.28,19.42,6.56,0.808,89.58,0.1977
2006-02-15,4582.0,1627409.74,0.61,5.05,0.1,3.03,0.0,103355.79,4451.0,291.0,1580881.88,,,63.0,0.08,,,,,131.0,,,,0.08,63.0,,,11.0,2.94,0.01,,,20.12,20.12,17669.0,6275578.94,,11.7,20.1,6.36,0.7701,87.3,0.2071
2006-02-22,4373.0,1522974.35,0.58,5.4,0.1,2.87,0.0,101345.88,4082.0,291.0,1421628.47,,,,,,,,0.3,,451.0,,,,,,82.0,,2.68,,,,37.34,37.34,6850.0,2385633.27,,4.5,37.36,6.66,0.8413,91.46,0.4
2006-03-01,4506.0,1568096.92,0.6,6.41,0.1,2.92,0.0,176089.0,4124.0,506.0,1435160.17,,,,,,215.0,,0.0,,0.0,,,,,0.14,42.0,,2.67,,,,53.01,37.63,3655.0,1271947.24,,0.0,102.03,6.45,0.7936,88.72,0.4111
2006-03-08,4506.0,1527398.22,0.6,7.23,0.1,2.86,0.0,171518.75,4124.0,506.0,1397911.73,,,,,,,,0.0,,0.0,,,,,,,,2.61,,,,53.08,37.66,3646.0,1235884.14,,0.0,102.03,6.67,0.7907,88.54,0.4115
2006-03-15,4506.0,1544156.51,0.6,6.44,0.1,2.89,0.0,173400.62,4124.0,506.0,1413249.32,,,0.0,,,,,,,,,,,0.0,,,,2.64,,,,53.05,37.64,3650.0,1250814.75,,0.0,102.03,6.6,0.7919,88.61,0.4113
2006-03-22,4506.0,1521413.12,0.6,6.62,0.1,2.89,0.0,170846.66,4124.0,506.0,1392434.02,,,0.0,,,,,,,,,,,0.0,,,,2.64,,,,53.31,37.78,3612.0,1219561.52,,0.0,102.03,6.61,0.7926,88.65,0.4128
2006-03-29,4506.0,1647100.28,0.6,5.46,0.1,3.03,0.0,184960.66,4124.0,506.0,1507465.94,,,,,,,,0.0,,0.0,,,,,,,,2.77,,,,52.86,37.55,3677.0,1344071.84,,0.0,102.02,6.3,0.7953,88.82,0.4103
2006-04-05,4215.0,1569842.24,0.56,5.24,0.09,2.92,0.0,80074.99,4124.0,215.0,1535950.04,,,0.0,,,,,,,,,,,0.0,,,,2.85,,,0.19,53.3,38.31,3613.0,1345632.27,,0.0,102.03,5.16,0.9022,94.84,0.3915
2006-04-12,4506.0,1671040.69,0.6,5.27,0.1,3.14,0.0,187649.04,4124.0,506.0,1529376.79,0.2,,0.0,,,,291.0,,,,0.2,,,0.0,,,,2.88,,,,53.51,38.58,3582.0,1328377.22,,0.0,102.03,6.45,0.7944,88.77,0.4216
2006-04-19,4506.0,1776378.5,0.6,4.74,0.1,3.24,0.0,199477.92,4124.0,506.0,1625784.49,,,,,,,,0.0,,0.0,,,,,,,,2.96,,,,53.06,38.51,3649.0,1438527.55,,0.0,102.03,6.49,0.7901,88.51,0.4208
2006-04-26,4506.0,1793136.79,0.6,3.81,0.1,3.3,0.0,201359.79,4124.0,506.0,1641122.08,,,0.0,,,,,,,,,,,0.0,,,,3.02,,,,53.21,38.59,3627.0,1443343.79,,0.0,102.03,6.48,0.7925,88.66,0.4217
2006-05-03,4506.0,1753635.11,0.6,3.78,0.1,3.29,0.0,196923.96,4124.0,506.0,1604969.19,,,,,,,,0.0,,0.0,,,,,,,,3.01,,,,53.53,38.76,3581.0,1393645.65,,0.0,102.03,6.46,0.7944,88.77,0.4235
2006-05-10,4506.0,1771590.42,0.6,3.76,0.1,3.33,0.0,198940.25,4124.0,506.0,1621402.32,,,0.0,,,,,,,,,,,0.0,,,,3.04,,,,53.51,38.75,3582.0,1408308.23,,0.0,102.03,6.47,0.7941,88.75,0.4235
2006-05-17,5506.0,2062365.99,0.73,4.81,0.12,4.02,0.0,189530.91,5124.0,506.0,1919281.39,,,1000.0,,,,,,,,,,,1000.0,,,,3.74,,,,44.92,44.92,6282.0,2353030.0,,4.52,45.32,5.25,0.8312,90.94,0.4827
2006-05-24,5506.0,1910248.22,0.73,4.46,0.12,3.72,0.0,175551.33,5124.0,506.0,1777717.38,,,0.0,,,,,,,,,,,0.0,,,,3.47,,,,45.32,45.32,6183.0,2145126.18,,4.12,45.71,5.25,0.8313,90.95,0.487
2006-05-31,5777.0,2102487.17,0.77,4.59,0.13,4.0,0.0,282782.16,5124.0,777.0,1864833.69,,,,0.02,,247.0,,0.0,24.0,0.0,,,0.02,,0.17,,,3.55,,,,45.31,45.31,6186.0,2251339.04,,4.27,45.44,7.92,0.7601,86.65,0.5108
2006-06-07,5895.0,2082791.85,0.78,5.9,0.13,4.01,0.0,316216.91,5124.0,895.0,1810385.99,,,0.0,0.07,,,,,118.0,,,,0.07,0.0,,,,3.49,,,,47.92,47.92,5570.0,1967964.48,,3.76,48.15,9.53,0.735,85.03,0.5512
2006-06-14,6022.0,2041276.54,0.8,6.13,0.13,3.88,0.0,346427.2,5124.0,1022.0,1736881.6,,,,0.07,,,,0.0,127.0,0.0,,,0.07,,,,,3.31,,,,59.0,43.62,3561.0,1207071.7,,0.0,101.62,11.51,0.7073,83.14,0.5127
2006-06-21,6299.0,2200431.13,0.84,6.35,0.14,4.1,0.0,257107.05,5563.0,736.0,1943324.08,,,,0.2,,,,0.08,292.0,124.0,,,0.2,,,563.0,578.0,3.62,0.37,,,47.19,47.19,6227.0,2175279.35,,4.27,45.87,10.64,0.7699,87.07,0.5343
2006-06-28,6352.0,2287335.4,0.84,6.82,0.14,4.01,0.0,285916.93,5558.0,794.0,2001418.48,,,,0.02,,,,0.01,58.0,5.0,,,0.02,,,,,3.51,,,,47.24,47.24,6208.0,2235481.45,,4.11,46.03,11.5,0.7576,86.25,0.5399
2006-07-03,6340.0,2299205.83,0.84,6.8,0.14,4.06,0.0,287944.71,5546.0,794.0,2011261.13,,,,,,,,0.0,,12.0,,,,,,,,3.56,,,,47.33,47.33,6171.0,2237917.85,,4.13,46.24,11.39,0.7591,86.35,0.5411
2006-07-04,6798.0,2430577.35,0.9,7.84,0.15,4.34,0.0,283889.15,6135.0,794.0,2193526.33,,,3.0,,,,,,,,,,,3.0,,586.0,,3.92,,,,27.04,27.04,16555.0,5919124.44,,10.74,26.74,10.55,0.668,80.75,0.2996
2006-07-05,6351.0,2294184.05,0.84,7.52,0.14,4.03,0.0,286818.16,5557.0,794.0,2007365.89,,,7.0,,,,,0.37,,586.0,,,,7.0,,,,3.52,,,,24.52,24.52,17108.0,6179956.04,,11.05,24.17,11.5,0.7578,86.26,0.2802
2006-07-06,6350.0,2270398.08,0.84,7.77,0.14,4.02,0.0,283889.15,5556.0,794.0,1986508.93,,,,,,,,0.0,,1.0,,,,,,,,3.52,,,,47.32,47.32,6185.0,2211403.48,,4.11,46.11,11.37,0.7593,86.36,0.5409
2006-07-07,6357.0,2272900.88,0.84,7.81,0.14,3.99,0.0,283889.15,5563.0,794.0,1989011.74,,,7.0,,,,,,,,,,,7.0,,,,3.49,,,,24.41,24.41,17226.0,6159035.8,,11.03,24.03,11.51,0.7571,86.22,0.2789
2006-07-10,6805.0,2444666.24,0.9,8.2,0.15,4.32,0.0,285241.0,6142.0,794.0,2206486.42,,,,,,,,0.0,,5.0,,,,,,584.0,,3.9,,,,27.12,27.12,16506.0,5929707.72,,10.67,26.75,10.68,0.6668,80.67,0.3005
2006-07-11,6813.0,2354742.48,0.91,8.14,0.15,4.28,0.0,274426.17,6154.0,794.0,2126975.66,,,13.0,,,,,,,,,,,13.0,,,,3.88,,,,27.05,27.05,16594.0,5735299.67,,10.62,26.77,10.36,0.6705,80.93,0.2995
2006-07-12,6355.0,2250545.93,0.84,7.47,0.14,3.89,0.0,282601.99,5557.0,798.0,1967943.94,,,,0.0,,,,0.38,4.0,598.0,,,0.0,,,,,3.4,,,,24.48,24.48,17142.0,6070630.74,,10.72,24.06,11.64,0.7545,86.05,0.28
2006-07-13,6348.0,2224649.6,0.84,7.22,0.14,3.96,0.0,279658.22,5550.0,798.0,1944991.38,,,,,,,,0.0,,6.0,,,,,,,,3.46,,,,24.44,24.44,17159.0,6013352.63,,10.88,24.14,11.35,0.7585,86.32,0.2795
2006-07-14,6350.0,2301030.44,0.84,7.13,0.14,3.95,0.0,289168.86,5552.0,798.0,2011861.57,,,2.0,,,,,,,,,,,2.0,,,,3.44,,,,47.06,47.06,6244.0,2262619.53,,4.1,45.6,11.74,0.753,85.95,0.5383
2006-07-17,6417.0,2305278.95,0.85,7.09,0.14,4.13,0.0,317573.1,5533.0,884.0,1987705.85,,,,0.06,,,,0.0,86.0,18.0,,,0.06,,,,,3.56,,,,47.47,47.47,6123.0,2199660.75,,4.08,46.65,11.1,0.7392,85.17,0.5505
2006-07-18,6884.0,2430071.11,0.91,7.47,0.15,4.35,0.0,312054.45,6222.0,884.0,2196383.27,,,12.0,,,,,,,,,,,12.0,,676.0,,3.94,,,,27.3,27.3,16567.0,5848196.99,,10.64,27.03,10.37,0.6503,79.63,0.3021
2006-07-19,6901.0,2463487.76,0.92,7.51,0.15,4.27,0.0,315566.32,6255.0,884.0,2232881.6,,,33.0,,,,,,,,,,,33.0,,,,3.86,,,,27.25,27.25,16697.0,5960419.53,,10.55,26.81,10.71,0.6457,79.3,0.3007
2006-07-20,6456.0,2322953.5,0.86,7.35,0.14,4.05,0.0,323831.81,5556.0,900.0,1999121.69,,,,0.01,,,,0.43,16.0,699.0,,,0.01,,,,,3.48,,,,47.19,47.19,6217.0,2236958.16,,4.1,45.91,11.36,0.7304,84.61,0.5484
2006-07-21,6907.0,2446030.01,0.92,8.17,0.15,4.36,0.0,318724.05,6245.0,900.0,2211590.77,,,,,,,,0.0,,3.0,,,,,,692.0,,3.94,,,,27.31,27.31,16619.0,5885416.65,,10.66,27.0,10.4,0.6465,79.38,0.3021
2006-07-24,6913.0,2420691.57,0.92,8.4,0.15,4.32,0.0,315148.62,6250.0,900.0,2188532.08,,,5.0,,,,,0.0,,0.0,,,,5.0,,,,3.91,,,,31.74,27.42,13441.0,4706569.56,,0.0,124.94,10.36,0.6471,79.42,0.3033
2006-07-25,6916.0,2437442.17,0.92,8.56,0.15,4.28,0.0,317191.72,6252.0,900.0,2203425.17,,,4.0,,,,,0.01,,2.0,,,,4.0,,,,3.87,,,,31.55,27.28,13563.0,4780079.26,,0.0,125.04,10.54,0.645,79.27,0.3018
2006-07-26,6464.0,2274472.94,0.86,8.41,0.14,3.99,0.0,316680.95,5564.0,900.0,1957791.99,,,2.0,,,,,0.43,,690.0,,,,2.0,,,,3.43,,,,64.12,47.22,3114.0,1095716.08,,0.0,111.28,11.26,0.7317,84.7,0.5486
2006-07-27,6466.0,2271507.03,0.86,8.51,0.14,3.99,0.0,316170.17,5566.0,900.0,1955336.86,,,2.0,,,,,,,,,,,2.0,,,,3.43,,,,47.23,47.23,6220.0,2185087.18,,4.04,45.93,11.29,0.7312,84.67,0.5487
2006-07-28,6917.0,2426017.82,0.92,9.22,0.15,4.27,0.0,315659.4,6255.0,900.0,2193832.8,,,,,,,,0.0,,2.0,,,,,,691.0,,3.86,,,,27.21,27.21,16735.0,5869511.1,,10.53,26.84,10.48,0.6456,79.31,0.3009
2006-07-31,6920.0,2403506.23,0.92,9.5,0.15,4.27,0.0,312594.74,6257.0,900.0,2173228.11,,,2.0,,,,,,,,,,,2.0,,,,3.87,,,,27.25,27.25,16703.0,5801411.07,,10.31,27.26,10.43,0.6461,79.35,0.3014
2006-08-01,6928.0,2388591.58,0.92,9.59,0.15,4.22,0.0,310296.25,6266.0,900.0,2160351.45,,,9.0,,,,,,,,,,,9.0,,,,3.82,,,,27.19,27.19,16774.0,5783232.56,,10.24,27.15,10.49,0.6452,79.28,0.3007
2006-08-02,6461.0,2264250.33,0.86,8.89,0.14,3.92,0.0,315404.01,5561.0,900.0,1948846.32,,,,,,,,0.43,,705.0,,,,,,,,3.37,,,,47.12,47.12,6239.0,2186450.67,,3.82,46.86,11.45,0.7293,84.53,0.5475
2006-08-03,6454.0,2234325.96,0.86,8.69,0.14,3.98,0.0,311573.19,5554.0,900.0,1922752.77,,,,,,,,0.0,,7.0,,,,,,,,3.43,,,,47.39,47.39,6167.0,2134968.74,,3.8,47.43,11.11,0.7343,84.87,0.5506
2006-08-04,6466.0,2238480.27,0.86,8.9,0.14,3.92,0.0,311573.19,5566.0,900.0,1926907.08,,,12.0,,,,,,,,,,,12.0,,,,3.37,,,,47.22,47.22,6222.0,2154009.32,,3.81,46.97,11.33,0.7307,84.63,0.5485
2006-08-07,6915.0,2397845.14,0.92,9.71,0.15,4.23,0.0,312083.97,6252.0,900.0,2167943.28,,,,,,,,0.0,,4.0,,,,,,689.0,,3.83,,,,27.06,27.06,16852.0,5843598.88,,10.34,27.03,10.5,0.6457,79.31,0.2993
2006-08-08,6916.0,2394266.87,0.92,9.98,0.15,4.23,0.0,311573.19,6253.0,900.0,2164741.28,,,1.0,,,,,,,,,,,1.0,,,,3.83,,,,27.04,27.04,16875.0,5841997.31,,10.35,27.0,10.49,0.6456,79.31,0.299
2006-08-09,6468.0,2231831.11,0.86,9.49,0.14,3.94,0.0,312967.04,5561.0,907.0,1918864.07,,,,,,7.0,,0.43,,692.0,,,,,0.0,,,3.39,,,,47.38,47.38,6176.0,2131074.35,,3.76,47.39,11.21,0.7308,84.65,0.5511
