,MA35 FP Equity_DX_BROKER_SI_QTY,MA35 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MA35 FP Equity_DX_BROKER_SI_MV_NEW_x,MA35 FP Equity_DX_BROKER_SI_MV_INC_x,MA35 FP Equity_DX_BROKER_SI_QTY_ADD,MA35 FP Equity_DX_BROKER_SI_QTY_NEW,MA35 FP Equity_DX_SUPPLY_SI_MV_DEC,MA35 FP Equity_DX_BROKER_SI_QTY_INC,MA35 FP Equity_DX_SUPPLY_SI_QTY_DEC,MA35 FP Equity_DX_BROKER_SI_MV_NEW_y,MA35 FP Equity_DX_BROKER_SI_MV_INC_y,MA35 FP Equity_DX_BROKER_SI_MV_ADD,MA35 FP Equity_DX_SUPPLY_SI_QTY_ADD,MA35 FP Equity_DX_BROKER_SI_QTY_DEC,MA35 FP Equity_DX_SUPPLY_SI_MV,MA35 FP Equity_DX_BROKER_SI_MV_DEC,MA35 FP Equity_DX_BROKER_SI_MV_RMV,MA35 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MA35 FP Equity_DX_UTILIZATION_QUANTITY,MA35 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MA35 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MA35 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MA35 FP Equity_DX_ACTIVE_UTILIZATION_MV,MA35 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MA35 FP Equity_DX_BROKER_SI_CON_RATIO,MA35 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MA35 FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-01-01,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,404366.52,0.4,0.0,0.0,0.0,0.0,0.0
2013-01-02,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,403049.12,0.4,0.0,,0.0,,0.0
2013-01-03,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,402333.96,0.4,0.0,,0.0,,0.0
2013-01-04,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401468.24,0.4,0.0,,0.0,,0.0
2013-01-07,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401581.16,0.4,0.0,,0.0,,0.0
2013-01-08,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401919.92,0.4,0.0,,0.0,,0.0
2013-01-09,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,402183.4,0.4,0.0,,0.0,,0.0
2013-01-10,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401355.32,0.4,0.0,,0.0,,0.0
2013-01-11,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,400978.92,0.4,0.0,,0.0,,0.0
2013-01-14,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401016.56,0.4,0.0,,0.0,,0.0
2013-01-15,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401167.12,0.4,0.0,,0.0,,0.0
2013-01-16,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,3764.0,401167.12,0.4,0.0,,0.0,,0.0
