,ALLGO FP Equity_DX_SI_QTY,ALLGO FP Equity_DX_SHORT_INTEREST_VALUE,ALLGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLGO FP Equity_DX_SI_MV,ALLGO FP Equity_DX_DSS,ALLGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLGO FP Equity_DX_SUPPLY_SI_QTY,ALLGO FP Equity_DX_BROKER_SI_QTY,ALLGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLGO FP Equity_DX_BROKER_SI_MV_INC_x,ALLGO FP Equity_DX_BROKER_SI_QTY_ADD,ALLGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALLGO FP Equity_DX_BROKER_SI_QTY_INC,ALLGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLGO FP Equity_DX_BROKER_SI_MV_INC_y,ALLGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLGO FP Equity_DX_BROKER_SI_MV_ADD,ALLGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLGO FP Equity_DX_BROKER_SI_QTY_DEC,ALLGO FP Equity_DX_SUPPLY_SI_MV,ALLGO FP Equity_DX_BROKER_SI_MV_DEC,ALLGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLGO FP Equity_DX_UTILIZATION_QUANTITY,ALLGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLGO FP Equity_DX_BROKER_SI_CON_RATIO,ALLGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLGO FP Equity_PX_LAST
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2021-04-28,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,800321.34,0.8,0.0,,0.0,,0.0,12.746
2021-04-29,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,784875.0,0.8,0.0,,0.0,,0.0,12.5
2021-04-30,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,772317.0,0.78,0.0,,0.0,,0.0,12.3
2021-05-03,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,788014.5,0.79,0.0,,0.0,,0.0,12.55
2021-05-04,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,791028.42,0.79,0.0,,0.0,,0.0,12.598
2021-05-05,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,784875.0,0.79,0.0,,0.0,,0.0,12.5
2021-05-06,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,791154.0,0.78,0.0,,0.0,,0.0,12.6
2021-05-07,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,791154.0,0.79,0.0,,0.0,,0.0,12.6
2021-05-10,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,62790.0,789270.3,0.79,0.0,,0.0,,0.0,12.57
