,JCQ FP Equity_DX_SI_QTY,JCQ FP Equity_DX_SHORT_INTEREST_VALUE,JCQ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,JCQ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JCQ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JCQ FP Equity_DX_SI_MV,JCQ FP Equity_DX_DSS,JCQ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JCQ FP Equity_DX_SUPPLY_SI_QTY,JCQ FP Equity_DX_BROKER_SI_QTY,JCQ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JCQ FP Equity_DX_BROKER_SI_MV_NEW_x,JCQ FP Equity_DX_SUPPLY_SI_QTY_NEW_x,JCQ FP Equity_DX_SUPPLY_SI_QTY_INC_x,JCQ FP Equity_DX_BROKER_SI_MV_INC_x,JCQ FP Equity_DX_SUPPLY_SI_MV_NEW,JCQ FP Equity_DX_BROKER_SI_QTY_ADD,JCQ FP Equity_DX_BROKER_SI_QTY_NEW,JCQ FP Equity_DX_SUPPLY_SI_MV_DEC,JCQ FP Equity_DX_BROKER_SI_QTY_INC,JCQ FP Equity_DX_SUPPLY_SI_QTY_DEC,JCQ FP Equity_DX_BROKER_SI_MV_NEW_y,JCQ FP Equity_DX_SUPPLY_SI_QTY_NEW_y,JCQ FP Equity_DX_BROKER_SI_MV_INC_y,JCQ FP Equity_DX_SUPPLY_SI_QTY_INC_y,JCQ FP Equity_DX_BROKER_SI_MV_ADD,JCQ FP Equity_DX_SUPPLY_SI_QTY_ADD,JCQ FP Equity_DX_BROKER_SI_QTY_DEC,JCQ FP Equity_DX_SUPPLY_SI_MV,JCQ FP Equity_DX_BROKER_SI_MV_DEC,JCQ FP Equity_DX_SUPPLY_SI_MV_RMV,JCQ FP Equity_DX_BROKER_SI_MV_RMV,JCQ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JCQ FP Equity_DX_UTILIZATION_QUANTITY,JCQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JCQ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JCQ FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,JCQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JCQ FP Equity_DX_ACTIVE_UTILIZATION_MV,JCQ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JCQ FP Equity_DX_BROKER_SI_CON_RATIO,JCQ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JCQ FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110245.0,1153078.1,,1.63,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,116967.0,1198586.71,,1.7,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,118332.0,1133965.91,,1.6,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,115739.0,1186003.12,,1.68,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,137916.0,1486355.18,,2.1,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,138787.0,1461413.66,,2.11,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,138197.0,1484500.36,,2.09,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,127672.0,1533849.28,,2.0,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,181267.0,2364768.05,,3.32,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,190528.0,2429033.18,,3.44,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,190464.0,2476673.91,,3.44,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,338734.0,4581828.5,,6.46,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,327447.0,4426842.71,,6.27,0.0,,0.0,,0.0
2006-04-05,115991.0,1557456.76,1.62,2.55,0.64,2.17,0.0,0.0,115991.0,0.0,1557456.76,,,,,,,,,,,,,,,,115991.0,,2.17,,,,58.62,32.7,81888.0,1099542.37,,0.0,0.0,,0.0,,0.327
2006-04-12,121255.0,1653846.01,1.7,3.23,0.67,2.36,0.0,68538.01,116230.0,5025.0,1585308.0,0.1,,239.0,,,,5025.0,,,,0.1,,,239.0,,,,2.27,,,,56.23,50.73,90482.0,1234120.61,,0.0,0.0,,1.0,100.0,0.5293
2006-04-19,121255.0,1769529.54,1.7,3.34,0.67,2.45,0.0,73332.12,116230.0,5025.0,1696197.42,,,,,,,,,,,,,,,,,,2.35,,,,51.95,47.47,107501.0,1568811.14,,0.0,0.0,,1.0,100.0,0.4952
2006-04-26,121255.0,1801235.4,1.7,3.83,0.67,2.53,0.0,74646.06,116230.0,5025.0,1726589.34,,,,,,,,,,,,,,,,,,2.43,,,,51.36,46.98,110057.0,1634889.81,,0.0,0.0,,1.0,100.0,0.4901
2006-05-03,119313.0,1715893.32,1.67,3.88,0.66,2.5,0.0,72266.76,114288.0,5025.0,1643626.56,,,,,,,,0.03,,1942.0,,,,,,,,2.39,,,,47.62,43.45,125688.0,1807575.03,,0.0,0.0,,1.0,100.0,0.4536
2006-05-10,132230.0,1981733.5,1.85,5.91,0.73,2.71,0.0,0.0,132230.0,0.0,1981733.5,,,1942.0,,,,,,,,,,,1942.0,,16000.0,5025.0,2.71,0.11,,,50.72,49.71,128453.0,1925127.53,,0.0,826.44,,1.0,100.0,0.4971
2006-05-17,132230.0,1894730.57,1.85,7.02,0.73,2.57,0.0,0.0,132230.0,0.0,1894730.57,,,,,,,,,,,,,,,,,,2.57,,,,48.99,47.79,137688.0,1972938.53,,0.0,826.44,,1.0,100.0,0.4779
