,GLUX FP Equity_DX_DSS,GLUX FP Equity_PX_LAST
2009-03-04,,26.8
2009-03-05,,23.74
2009-03-06,,22.71
2009-03-09,,22.29
2009-03-10,,24.56
2009-03-11,,25.08
2009-03-12,,25.21
2009-03-13,,25.68
2009-03-16,,26.37
2009-03-17,,26.49
2009-03-19,,28.21
2009-03-20,,28.9
2009-03-23,,30.44
2009-03-24,,30.05
2009-03-25,,30.12
2009-03-26,,30.5
2009-03-27,,29.98
2009-03-30,,28.01
2009-03-31,,29.21
2009-04-02,,32.19
2009-04-03,,32.21
2009-04-06,,31.51
2009-04-07,,30.96
2009-04-08,,31.16
2009-04-09,,32.24
2009-04-14,,33.26
2009-04-15,,33.24
2009-04-16,,34.18
2009-04-17,,34.92
2009-04-20,,33.43
2009-04-21,,32.98
2009-04-22,,33.65
2009-04-23,,33.1
2009-04-24,,34.0
2009-04-27,,33.8
2009-04-28,,33.17
2009-04-29,,34.5
2009-04-30,,36.26
2009-05-04,,36.99
2009-05-05,,37.0
2009-05-06,,37.6
2009-05-07,,37.44
2009-05-08,,38.82
2009-05-11,,38.3
2009-05-12,,38.11
2009-05-13,,35.61
2009-05-14,,36.26
2009-05-15,,36.23
2009-05-18,,37.14
2009-05-19,,38.2
2009-05-20,,37.98
2009-05-21,,36.65
2009-05-22,,36.99
2009-05-25,,37.02
2009-05-26,,37.35
2009-05-27,,37.89
2009-05-28,,37.17
2009-05-29,,37.01
2009-06-01,,38.56
2009-06-02,,38.4
2009-06-03,,37.69
2009-06-04,,37.99
2009-06-05,,38.5
2009-06-08,,37.88
2009-06-09,,37.81
2009-06-10,,38.23
2009-06-11,,38.78
2009-06-12,,38.25
2009-06-15,,37.08
2009-06-16,,36.7
2009-06-17,,35.83
2009-06-18,,36.29
2009-06-19,,36.66
2009-06-22,,35.56
2009-06-23,,35.13
2009-06-24,,36.18
2009-06-25,,35.76
2009-06-26,,35.72
2009-06-29,,36.79
2009-06-30,,36.53
2009-07-01,,37.21
2009-07-02,,36.03
2009-07-03,,35.9
2009-07-06,,35.4
2009-07-07,,34.98
2009-07-08,,33.95
2009-07-09,,34.11
2009-07-10,,33.46
2009-07-13,,34.61
2009-07-14,,35.26
2009-07-15,,36.48
2009-07-16,,36.75
2009-07-17,,36.65
2009-07-20,,37.6
2009-07-21,,38.14
2009-07-22,,37.8
2009-07-23,,38.87
2009-07-24,,38.72
2009-07-27,,39.06
2009-07-28,,38.47
2009-07-29,,39.13
2009-07-30,,39.94
2009-07-31,,39.75
2009-08-03,,40.42
2009-08-04,,40.49
2009-08-05,,40.83
2009-08-06,,41.39
2009-08-07,,41.69
2009-08-10,,42.03
2009-08-11,,40.93
2009-08-12,,41.44
2009-08-13,,42.0
2009-08-14,,41.59
2009-08-17,,40.7
2009-08-18,,41.18
2009-08-19,,41.11
2009-08-20,,41.67
2009-08-21,,42.77
2009-08-24,,43.63
2009-08-25,,43.76
2009-08-26,,43.86
2009-08-27,,43.2
2009-08-28,,43.73
2009-08-31,,43.42
2009-09-01,,42.74
2009-09-02,,41.9
2009-09-03,,42.01
2009-09-04,,42.41
2009-09-07,,43.1
2009-09-08,,43.05
2009-09-09,,43.65
2009-09-10,,44.2
2009-09-11,,44.45
2009-09-14,,44.02
2009-09-15,,43.95
2009-09-16,,44.66
2009-09-17,,44.8
2009-09-18,,44.69
2009-09-21,,44.55
2009-09-22,,44.99
2009-09-23,,45.45
2009-09-24,,44.53
2009-09-25,,44.59
2009-09-28,,45.18
2009-09-29,,45.83
2009-09-30,,46.35
2009-10-01,,46.12
2009-10-02,,45.16
2009-10-05,,45.45
2009-10-06,,46.52
2009-10-07,,46.81
2009-10-08,,47.25
2009-10-09,,47.37
2009-10-12,,48.04
2009-10-13,,47.44
2009-10-14,,47.89
2009-10-15,,48.15
2009-10-16,,47.53
2009-10-19,,47.72
2009-10-20,,47.32
2009-10-21,,47.37
2009-10-22,,46.72
2009-10-23,,46.65
2009-10-26,,45.31
2009-10-27,,45.14
2009-10-28,,43.64
2009-10-29,,44.8
2009-10-30,,43.43
2009-11-02,,43.28
2009-11-03,,42.86
2009-11-04,,44.05
2009-11-05,,43.72
2009-11-06,,43.75
2009-11-09,,44.9
2009-11-10,,44.73
2009-11-11,,45.18
2009-11-12,,44.92
2009-11-13,,45.05
2009-11-16,,45.68
2009-11-17,,45.6
2009-11-18,,45.3
2009-11-19,,44.5
2009-11-20,,44.11
2009-11-23,,45.13
2009-11-24,,44.91
2009-11-25,,45.06
2009-11-26,,43.2
2009-11-27,,43.92
2009-11-30,,43.16
2009-12-01,,44.23
2009-12-02,,44.14
2009-12-03,,44.35
2009-12-04,,44.6
2009-12-07,,44.4
2009-12-08,,43.61
2009-12-09,,42.64
2009-12-10,,43.22
2009-12-11,,43.21
2009-12-14,,43.73
2009-12-15,,43.63
2009-12-16,,44.52
2009-12-17,,44.05
2009-12-18,,43.54
2009-12-21,,44.35
2009-12-22,,44.81
2009-12-23,,44.86
2009-12-28,,45.32
2009-12-29,,45.37
2009-12-30,,45.15
2010-01-04,,45.77
2010-01-05,,46.16
2010-01-06,,46.39
2010-01-07,,45.98
2010-01-08,,46.24
2010-01-11,,45.91
2010-01-12,,45.8
2010-01-13,,45.88
2010-01-14,,46.07
2010-01-15,,45.43
2010-01-18,,45.67
2010-01-19,,45.88
2010-01-20,,45.15
2010-01-21,,44.38
2010-01-22,,43.84
2010-01-25,,43.74
2010-01-26,,44.13
2010-01-27,,43.73
2010-01-28,,43.33
2010-01-29,,43.45
2010-02-01,,43.77
2010-02-02,,44.28
2010-02-03,,44.09
2010-02-04,,43.17
2010-02-05,,41.99
2010-02-08,,41.78
2010-02-09,,41.9
2010-02-10,,42.71
2010-02-11,,42.65
2010-02-12,,42.4
2010-02-15,,43.08
2010-02-16,,43.57
2010-02-17,,44.27
2010-02-18,,44.37
2010-02-19,,44.36
2010-02-22,,44.54
2010-02-23,,44.03
2010-02-24,,44.24
2010-02-25,,43.55
2010-02-26,,44.47
2010-03-01,,44.19
2010-03-02,,44.26
2010-03-03,,44.75
2010-03-04,,44.66
2010-03-05,,45.39
2010-03-08,,45.55
2010-03-09,,45.45
2010-03-10,,45.92
2010-03-11,,45.89
2010-03-12,,46.19
2010-03-15,,45.78
2010-03-16,,46.14
2010-03-17,,46.63
2010-03-18,,46.45
2010-03-19,,46.33
2010-03-22,,46.08
2010-03-23,,46.42
2010-03-24,,46.49
2010-03-25,,47.1
2010-03-26,,47.2
2010-03-29,,47.42
2010-03-30,,47.44
2010-03-31,,47.48
2010-04-01,,48.2
2010-04-06,,48.54
2010-04-07,,48.48
2010-04-08,,47.97
2010-04-09,,48.31
2010-04-12,,48.55
2010-04-13,,48.41
2010-04-14,,48.67
2010-04-15,,48.84
2010-04-16,,48.06
2010-04-19,,47.42
2010-04-20,,48.01
2010-04-21,,47.3
2010-04-22,,46.59
2010-04-23,,46.65
2010-04-26,,47.09
2010-04-27,,44.92
2010-04-28,,44.08
2010-04-29,,45.38
2010-04-30,,45.06
2010-05-03,,45.34
2010-05-04,,43.81
2010-05-05,,43.19
2010-05-06,,42.47
2010-05-07,,41.04
2010-05-10,,44.97
2010-05-11,,44.53
2010-05-12,,45.45
2010-05-13,,45.41
2010-05-14,,43.76
2010-05-17,,43.4
2010-05-18,,43.93
2010-05-19,,42.56
2010-05-20,,42.09
2010-05-21,,41.99
2010-05-24,,41.95
2010-05-25,,40.71
2010-05-26,,41.36
2010-05-27,,43.3
2010-05-28,,43.15
2010-05-31,,43.25
2010-06-01,,43.68
2010-06-02,,43.34
2010-06-03,,43.85
2010-06-04,,42.79
2010-06-07,,42.52
2010-06-08,,41.98
2010-06-09,,42.58
2010-06-10,,43.41
2010-06-11,,43.42
2010-06-14,,44.36
2010-06-15,,44.88
2010-06-16,,45.37
2010-06-17,,45.29
2010-06-18,,45.31
2010-06-21,,45.88
2010-06-22,,45.65
2010-06-23,,44.93
2010-06-24,,44.19
2010-06-25,,43.88
2010-06-28,,44.5
2010-06-29,,43.41
2010-06-30,,43.11
2010-07-01,,42.1
2010-07-02,,42.33
2010-07-05,,42.04
2010-07-06,,43.19
2010-07-07,,43.72
2010-07-08,,44.37
2010-07-09,,44.7
2010-07-12,,44.71
2010-07-13,,45.42
2010-07-14,,45.61
2010-07-15,,44.83
2010-07-16,,43.82
2010-07-19,,43.47
2010-07-20,,43.46
2010-07-21,,43.87
2010-07-22,,44.91
2010-07-23,,44.97
2010-07-26,,45.39
2010-07-27,,46.46
2010-07-28,,46.32
2010-07-29,,46.28
2010-07-30,,46.1
2010-08-02,,47.29
2010-08-03,,47.32
