,ATE FP Equity_DX_SI_QTY,ATE FP Equity_DX_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATE FP Equity_DX_SI_MV,ATE FP Equity_DX_DSS,ATE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY,ATE FP Equity_DX_BROKER_SI_QTY,ATE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATE FP Equity_DX_BROKER_SI_MV_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATE FP Equity_DX_BROKER_SI_MV_INC_x,ATE FP Equity_DX_SUPPLY_SI_MV_NEW,ATE FP Equity_DX_BROKER_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_NEW,ATE FP Equity_DX_SUPPLY_SI_MV_DEC,ATE FP Equity_DX_BROKER_SI_QTY_INC,ATE FP Equity_DX_SUPPLY_SI_QTY_DEC,ATE FP Equity_DX_BROKER_SI_MV_NEW_y,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATE FP Equity_DX_BROKER_SI_MV_INC_y,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATE FP Equity_DX_BROKER_SI_MV_ADD,ATE FP Equity_DX_SUPPLY_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_DEC,ATE FP Equity_DX_SUPPLY_SI_MV,ATE FP Equity_DX_BROKER_SI_MV_DEC,ATE FP Equity_DX_SUPPLY_SI_MV_RMV,ATE FP Equity_DX_BROKER_SI_MV_RMV,ATE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATE FP Equity_DX_UTILIZATION_QUANTITY,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATE FP Equity_DX_ACTIVE_UTILIZATION_MV,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATE FP Equity_DX_BROKER_SI_CON_RATIO,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATE FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,47352.0,970967.24,0.29,1.07,0.15,0.99,0.0,704910.9,12975.0,34377.0,266056.34,,,33.0,,,,,,,,,,,33.0,,,,0.27,,,,0.45,0.45,2883538.0,59127828.5,,64.17,0.42,14.99,0.5448,70.87,0.0163
2006-01-11,20089.0,430187.13,0.12,0.41,0.07,0.55,0.0,192576.67,11095.0,8993.0,237589.04,,,,,,,,0.0,,1879.0,,,,,,,25384.0,0.3,0.47,,,0.45,0.45,2434987.0,52142966.68,,66.94,0.45,34.99,0.4723,58.83,0.0082
2006-01-18,41008.0,868273.94,0.25,0.83,0.13,1.13,0.0,519168.87,16488.0,24520.0,349105.07,,,,0.43,,,,0.0,15526.0,3.0,,,0.43,,,5396.0,,0.45,,,,0.65,0.65,2516611.0,53284913.58,,68.92,0.65,13.93,0.7191,83.61,0.0162
2006-01-25,46435.0,997247.39,0.29,0.92,0.15,1.28,0.0,618858.21,17619.0,28816.0,378389.18,,,1131.0,0.01,,5000.0,,,152.0,,,,0.01,1131.0,0.14,,855.0,0.49,0.02,,,0.72,0.72,2433350.0,52259113.63,,67.03,0.72,12.85,0.5957,75.15,0.0189
2006-02-01,44937.0,1024760.67,0.28,0.7,0.15,1.32,0.0,654394.65,16241.0,28696.0,370366.03,,,,,,,,0.01,,1378.0,,,,,,,120.0,0.48,0.0,,,0.67,0.67,2403996.0,54821651.65,,70.45,0.67,12.87,0.5935,74.98,0.0186
2006-02-08,18260.0,397261.25,0.11,0.28,0.06,0.51,0.0,24148.96,17150.0,1110.0,373112.29,,,909.0,,,,,,,,,,,909.0,,,27586.0,0.48,0.81,,,0.7,0.7,2446225.0,53219627.79,,68.63,0.7,42.49,0.4207,48.09,0.0074
2006-02-15,136904.0,3039069.87,0.84,2.04,0.45,3.9,0.0,534097.04,112844.0,24060.0,2504972.83,,96694.0,,,2.75,24060.0,,0.02,,1001.0,,96694.0,,,0.69,,,3.21,,,0.03,4.69,4.69,2291851.0,50875762.07,,65.26,4.69,22.58,0.5979,73.87,0.0569
2006-02-22,41441.0,923792.53,0.26,0.86,0.14,1.18,0.0,537320.41,17337.0,24104.0,386472.12,,,1190.0,0.0,,,,0.0,43.0,3.0,,,0.0,1190.0,,,,0.5,,2.75,,0.75,0.75,2284714.0,50930279.95,96694.0,65.34,0.75,15.91,0.7324,84.09,0.018
2006-03-01,43429.0,981601.34,0.27,0.87,0.14,1.25,0.0,595596.88,17078.0,26351.0,386004.46,,,,0.07,,,,0.0,2247.0,259.0,,,0.07,,,,,0.49,,,,0.71,0.71,2386659.0,53944315.32,,68.86,0.71,14.7,0.7493,85.3,0.0181
2006-03-08,44882.0,919273.32,0.28,0.7,0.15,1.2,0.0,545312.88,18259.0,26624.0,373980.92,,,1180.0,0.0,,,,,273.0,,,,0.0,1180.0,,,,0.49,,,,0.78,0.78,2327772.0,47677436.17,,61.99,0.78,15.78,0.7342,84.22,0.0191
