,VK FP Equity_DX_SI_QTY,VK FP Equity_DX_SHORT_INTEREST_VALUE,VK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VK FP Equity_DX_SI_MV,VK FP Equity_DX_DSS,VK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VK FP Equity_DX_SUPPLY_SI_QTY,VK FP Equity_DX_BROKER_SI_QTY,VK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VK FP Equity_DX_BROKER_SI_MV_NEW_x,VK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VK FP Equity_DX_SUPPLY_SI_QTY_INC_x,VK FP Equity_DX_BROKER_SI_MV_INC_x,VK FP Equity_DX_SUPPLY_SI_MV_NEW,VK FP Equity_DX_BROKER_SI_QTY_ADD,VK FP Equity_DX_BROKER_SI_QTY_NEW,VK FP Equity_DX_SUPPLY_SI_MV_DEC,VK FP Equity_DX_BROKER_SI_QTY_INC,VK FP Equity_DX_SUPPLY_SI_QTY_DEC,VK FP Equity_DX_BROKER_SI_MV_NEW_y,VK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VK FP Equity_DX_BROKER_SI_MV_INC_y,VK FP Equity_DX_SUPPLY_SI_QTY_INC_y,VK FP Equity_DX_BROKER_SI_MV_ADD,VK FP Equity_DX_SUPPLY_SI_QTY_ADD,VK FP Equity_DX_BROKER_SI_QTY_DEC,VK FP Equity_DX_SUPPLY_SI_MV,VK FP Equity_DX_BROKER_SI_MV_DEC,VK FP Equity_DX_SUPPLY_SI_MV_RMV,VK FP Equity_DX_BROKER_SI_MV_RMV,VK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VK FP Equity_DX_UTILIZATION_QUANTITY,VK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VK FP Equity_DX_ACTIVE_UTILIZATION_MV,VK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VK FP Equity_DX_BROKER_SI_CON_RATIO,VK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VK FP Equity_DX_DEMAND_SUPPLY_RATIO,VK FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7639
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6695
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5933
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7853
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0049
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8343
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9868
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4441
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1392
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8888
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5868
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9741
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4986
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3552
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.651
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5839
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1084
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1447
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2972
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1447
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7363
