,ALTUR FP Equity_DX_SI_QTY,ALTUR FP Equity_DX_SHORT_INTEREST_VALUE,ALTUR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTUR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTUR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTUR FP Equity_DX_SI_MV,ALTUR FP Equity_DX_DSS,ALTUR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTUR FP Equity_DX_SUPPLY_SI_QTY,ALTUR FP Equity_DX_BROKER_SI_QTY,ALTUR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTUR FP Equity_DX_BROKER_SI_QTY_ADD,ALTUR FP Equity_DX_BROKER_SI_MV_ADD,ALTUR FP Equity_DX_SUPPLY_SI_MV,ALTUR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTUR FP Equity_DX_UTILIZATION_QUANTITY,ALTUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTUR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTUR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTUR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTUR FP Equity_DX_BROKER_SI_CON_RATIO,ALTUR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTUR FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21383.97,0.01,0.0,0.0,0.0,0.0,0.0
2015-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21383.97,0.01,0.0,,0.0,,0.0
2015-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21431.91,0.01,0.0,,0.0,,0.0
2015-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21431.91,0.01,0.0,,0.0,,0.0
2015-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21431.91,0.01,0.0,,0.0,,0.0
2015-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21575.75,0.01,0.0,,0.0,,0.0
2015-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21623.7,0.01,0.0,,0.0,,0.0
2015-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21575.75,0.01,0.0,,0.0,,0.0
2015-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21767.54,0.01,0.0,,0.0,,0.0
2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4999.0,21815.48,0.01,0.0,,0.0,,0.0
