,ENG FP Equity_PX_LAST
2023-11-02,0.01
2023-11-03,65.3125
2023-11-06,64.7378
2023-11-07,64.96
2023-11-08,64.4874
2023-11-09,64.8197
2023-11-10,64.4
2023-11-13,64.8426
2023-11-14,65.9358
2023-11-15,65.8948
2023-11-16,65.5207
2023-11-17,65.9673
2023-11-20,66.0938
2023-11-21,65.9985
2023-11-22,66.5087
2023-11-23,66.4804
2023-11-24,66.5328
2023-11-27,66.5436
2023-11-28,66.5155
2023-11-29,66.5902
2023-11-30,67.2033
2023-12-01,68.0876
2023-12-04,68.545
2023-12-05,68.6546
2023-12-06,69.1592
2023-12-07,68.8302
2023-12-08,69.1232
2023-12-11,69.4409
2023-12-12,69.2422
2023-12-13,69.4828
2023-12-14,70.3385
2023-12-15,70.2785
2023-12-18,69.7066
2023-12-19,69.888
2023-12-20,70.2337
2023-12-21,69.6061
2023-12-22,69.9208
2023-12-27,69.9787
2023-12-28,69.9163
2023-12-29,70.0042
2024-01-02,70.0907
2024-01-03,69.562
2024-01-04,69.5454
2024-01-05,69.2787
2024-01-08,69.3569
2024-01-09,70.0309
2024-01-10,69.7991
2024-01-11,69.4267
2024-01-12,70.1066
2024-01-15,70.0326
2024-01-16,70.1195
2024-01-17,69.2796
2024-01-18,69.0917
2024-01-19,69.0062
2024-01-22,69.965
2024-01-23,69.8427
2024-01-24,69.7024
2024-01-25,70.102
2024-01-26,70.3106
2024-01-29,70.2765
2024-01-30,70.0757
2024-01-31,70.3214
2024-02-01,69.8462
2024-02-02,70.0766
2024-02-05,69.9026
2024-02-06,70.0949
2024-02-07,69.8597
2024-02-08,69.4509
2024-02-09,69.3876
2024-02-12,69.8862
2024-02-13,69.1808
2024-02-14,69.4062
2024-02-15,69.8667
2024-02-16,69.7701
2024-02-19,69.6026
2024-02-20,69.4976
2024-02-21,69.224
2024-02-22,69.6307
2024-02-23,69.9361
2024-02-26,69.5327
2024-02-27,69.5721
2024-02-28,69.3763
2024-02-29,70.2926
2024-03-01,70.3166
2024-03-04,70.1319
2024-03-05,70.3041
2024-03-06,70.5366
2024-03-07,71.0629
2024-03-08,71.1027
2024-03-11,70.9744
2024-03-12,71.0216
2024-03-13,71.0349
2024-03-14,70.5842
2024-03-15,70.6701
2024-03-18,70.6564
2024-03-19,70.6813
2024-03-20,70.8705
2024-03-21,71.372
2024-03-22,71.3545
2024-03-25,71.2288
2024-03-26,71.1726
2024-03-27,71.52
2024-03-28,71.9426
2024-04-02,71.1477
2024-04-03,70.834
2024-04-04,70.9725
2024-04-05,70.2382
2024-04-08,70.4267
2024-04-09,70.5402
2024-04-10,70.1346
2024-04-11,69.9402
2024-04-12,70.3896
2024-04-15,69.8927
2024-04-16,69.0298
2024-04-17,68.9757
2024-04-18,69.261
2024-04-19,69.3833
2024-04-22,69.8301
2024-04-23,70.5944
2024-04-24,70.1181
2024-04-25,69.4448
2024-04-26,69.425
2024-04-29,70.3601
2024-04-30,69.8728
2024-05-02,70.301
2024-05-03,70.8345
2024-05-06,71.2612
2024-05-07,71.7258
2024-05-08,71.7119
2024-05-09,72.0652
2024-05-10,72.3258
2024-05-13,72.3745
2024-05-14,72.5124
2024-05-15,72.773
2024-05-16,72.8008
2024-05-17,72.6249
2024-05-20,72.6133
2024-05-21,72.3333
2024-05-22,72.353
2024-05-23,71.7444
2024-05-24,71.2733
2024-05-27,71.8617
2024-05-28,71.2502
2024-05-29,70.5056
2024-05-30,70.8929
2024-05-31,71.1907
2024-06-03,71.7834
2024-06-04,71.6393
2024-06-05,71.8617
2024-06-06,71.8062
2024-06-07,71.4718
2024-06-10,71.5364
2024-06-11,71.0843
2024-06-12,71.0158
2024-06-13,70.4544
2024-06-14,70.3768
2024-06-17,70.1065
2024-06-18,70.4015
2024-06-19,70.2272
2024-06-20,70.7575
2024-06-21,70.7741
2024-06-24,71.5327
2024-06-25,70.8596
2024-06-26,70.6587
2024-06-27,70.6961
2024-06-28,70.7255
2024-07-01,70.5628
2024-07-02,70.3953
2024-07-03,70.842
2024-07-04,70.8994
2024-07-05,70.9087
2024-07-08,70.8545
2024-07-09,70.5433
2024-07-10,71.0239
2024-07-11,72.0137
2024-07-12,72.5689
2024-07-15,72.2797
2024-07-16,72.4985
2024-07-17,72.7401
2024-07-18,72.9993
2024-07-19,72.2189
2024-07-22,72.6909
2024-07-23,72.9712
2024-07-24,72.7742
2024-07-25,73.05
2024-07-26,73.1279
2024-07-29,73.5455
2024-07-30,73.987
2024-07-31,74.3858
2024-08-01,73.8603
2024-08-02,72.5731
2024-08-05,71.28
2024-08-06,71.4723
2024-08-07,72.6055
2024-08-08,72.6113
2024-08-09,72.5078
2024-08-12,72.3922
2024-08-13,72.9791
2024-08-14,72.9493
2024-08-15,73.5856
2024-08-16,73.5968
2024-08-19,73.9984
2024-08-20,73.7091
2024-08-21,73.6705
2024-08-22,73.9011
2024-08-23,74.4152
2024-08-26,74.7598
2024-08-27,74.3701
2024-08-28,74.8863
2024-08-29,75.0066
2024-08-30,75.13
2024-09-02,75.4704
2024-09-03,75.3085
2024-09-04,75.0938
2024-09-05,75.2481
2024-09-06,74.5912
2024-09-09,75.3114
2024-09-10,75.4932
2024-09-11,75.116
2024-09-12,75.6455
2024-09-13,76.475
2024-09-16,76.3874
2024-09-17,76.7584
2024-09-18,76.327
2024-09-19,76.1221
2024-09-20,75.8609
2024-09-23,76.6466
2024-09-24,76.7117
2024-09-25,76.5605
2024-09-26,76.9125
2024-09-27,77.0674
2024-09-30,76.5774
2024-10-01,76.8215
2024-10-02,76.6604
2024-10-03,76.1113
2024-10-04,76.2601
2024-10-07,76.1659
2024-10-08,76.1103
2024-10-09,76.5694
2024-10-10,76.5748
2024-10-11,77.0092
2024-10-14,77.4854
2024-10-15,78.4319
2024-10-16,79.0893
2024-10-17,78.8727
2024-10-18,78.8096
2024-10-21,78.3017
2024-10-22,77.9484
2024-10-23,77.9729
2024-10-24,77.9003
2024-10-25,77.5034
2024-10-28,77.6621
2024-10-29,77.6692
2024-10-30,77.165
2024-10-31,77.0152
2024-11-01,77.0148
2024-11-04,76.7496
2024-11-05,76.8194
2024-11-06,77.3943
2024-11-07,77.6512
2024-11-08,78.0647
2024-11-11,79.0619
2024-11-12,78.3329
2024-11-13,78.4603
2024-11-14,78.7992
2024-11-15,78.1401
2024-11-18,78.1574
2024-11-19,78.3331
2024-11-20,78.5131
2024-11-21,79.4364
2024-11-22,80.4608
2024-11-25,80.7803
2024-11-26,80.6466
2024-11-27,80.4703
2024-11-28,80.7142
2024-11-29,80.8414
2024-12-02,80.8941
2024-12-03,80.7978
2024-12-04,80.7517
2024-12-05,80.8825
2024-12-06,80.6485
2024-12-09,80.3694
2024-12-10,80.0613
2024-12-11,79.8389
2024-12-12,80.0243
2024-12-13,79.4724
2024-12-16,79.0753
2024-12-17,78.5355
2024-12-18,78.2532
2024-12-19,77.2503
