,GTT FP Equity_DX_SI_QTY,GTT FP Equity_DX_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GTT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GTT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GTT FP Equity_DX_SI_MV,GTT FP Equity_DX_DSS,GTT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY,GTT FP Equity_DX_BROKER_SI_QTY,GTT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GTT FP Equity_DX_BROKER_SI_MV_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_x,GTT FP Equity_DX_BROKER_SI_MV_INC_x,GTT FP Equity_DX_SUPPLY_SI_MV_NEW,GTT FP Equity_DX_BROKER_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_NEW,GTT FP Equity_DX_SUPPLY_SI_MV_DEC,GTT FP Equity_DX_BROKER_SI_QTY_INC,GTT FP Equity_DX_SUPPLY_SI_QTY_DEC,GTT FP Equity_DX_BROKER_SI_MV_NEW_y,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GTT FP Equity_DX_BROKER_SI_MV_INC_y,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_y,GTT FP Equity_DX_BROKER_SI_MV_ADD,GTT FP Equity_DX_SUPPLY_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_DEC,GTT FP Equity_DX_SUPPLY_SI_MV,GTT FP Equity_DX_BROKER_SI_MV_DEC,GTT FP Equity_DX_SUPPLY_SI_MV_RMV,GTT FP Equity_DX_BROKER_SI_MV_RMV,GTT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GTT FP Equity_DX_UTILIZATION_QUANTITY,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GTT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GTT FP Equity_DX_ACTIVE_UTILIZATION_MV,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GTT FP Equity_DX_BROKER_SI_CON_RATIO,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GTT FP Equity_DX_DEMAND_SUPPLY_RATIO,GTT FP Equity_PX_LAST
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
2014-02-27,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,68383.0,2360386.31,,3.13,0.0,0.0,0.0,0.0,0.0,
2014-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,130165.0,4609636.99,,5.92,0.0,,0.0,,0.0,47.0
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1215909.0,42601870.83,,39.01,0.0,,0.0,,0.0,46.5
2014-03-04,24928.0,870398.45,0.22,0.15,0.07,1.16,0.0,0.0,24928.0,0.0,870398.45,,,,,,,,,,,,,,,,24928.0,,1.16,,,,1.47,1.47,1670290.0,58320676.87,,58.13,1.95,,1.0,100.0,0.0147,46.34
2014-03-05,49128.0,1708344.43,0.44,0.29,0.13,2.27,0.0,76501.34,46928.0,2200.0,1631843.09,,,,,,2200.0,,,,,,,,,0.1,22000.0,,2.17,,,,2.51,2.51,1823438.0,63407021.32,,64.48,3.26,46.97,0.4564,48.34,0.0263,46.15
2014-03-06,181019.0,6342372.71,1.63,1.05,0.49,8.49,0.0,2704860.67,103819.0,77200.0,3637512.04,,,,,,75000.0,,0.1,,2109.0,,,,,3.6,59000.0,,4.79,,,,4.97,4.97,1985012.0,69548975.14,,71.6,6.27,17.75,0.4643,63.56,0.0867,46.5
2014-03-07,181019.0,6205977.59,1.63,1.04,0.49,8.57,0.0,2646691.62,103819.0,77200.0,3559285.97,,,,,,,,,,,,,,,,,,4.81,,,,4.71,4.71,2100000.0,71995497.43,,76.67,5.9,17.87,0.4681,63.96,0.0821,45.5
2014-03-10,163400.0,5642564.79,1.47,0.93,0.44,7.61,0.0,2665887.41,86200.0,77200.0,2976677.39,,,,,,,,0.8,,17619.0,,,,,,,,3.92,,,,3.8,3.8,2183914.0,75415399.31,,79.72,4.69,20.75,0.5966,74.32,0.072,45.83
2014-03-11,160400.0,5507544.79,1.44,0.91,0.43,7.53,0.0,2650763.45,83200.0,77200.0,2856781.34,,,,,,,,0.14,,3000.0,,,,,,,,3.81,,,,3.65,3.65,2197692.0,75460642.93,,108.53,3.39,21.36,0.6314,76.5,0.0703,45.57
2014-03-12,16400.0,570282.7,0.15,0.09,0.04,0.75,0.0,76501.34,14200.0,2200.0,493781.36,,,,,,,,3.44,,75000.0,,,,,,6000.0,75000.0,0.65,3.61,,,0.6,0.6,2345373.0,81556442.18,,107.05,0.6,42.23,0.3809,42.24,0.007,46.15
2014-03-13,16400.0,568429.13,0.15,0.09,0.04,0.76,0.0,76252.69,14200.0,2200.0,492176.44,,,,,,,,,,,,,,,,,,0.66,,,,0.56,0.56,2506401.0,86872642.49,,115.72,0.56,42.27,0.3812,42.27,0.0065,46.0
2014-03-14,10400.0,360467.25,0.09,0.06,0.03,0.48,0.0,76252.69,8200.0,2200.0,284214.56,,,,,,,,0.28,,6000.0,,,,,,,,0.38,,,,0.43,0.43,1905643.0,66050182.34,,87.69,0.43,26.8,0.6076,73.2,0.0054,46.0
2014-03-17,10402.0,368374.32,0.09,0.06,0.03,0.48,0.0,77981.18,8200.0,2202.0,290393.14,,,,,,2.0,,,,,,,,,0.0,,,0.38,,,,0.33,0.33,2513120.0,88999123.51,,116.09,0.32,26.82,0.6071,73.15,0.0041,47.0
2014-03-18,4402.0,158710.85,0.04,0.02,0.01,0.21,0.0,79391.48,2200.0,2202.0,79319.37,,,,,,,,0.28,,6000.0,,,,,,,,0.1,,,,0.08,0.08,2586246.0,93245185.95,,121.83,0.08,0.1,0.9981,99.9,0.0017,47.85
2014-03-19,2202.0,81299.53,0.02,0.01,0.01,0.11,0.0,81299.53,0.0,2202.0,0.0,,,,,,,,0.1,,2200.0,,,,,,,,0.0,,,,0.0,0.0,2587285.0,95524549.01,,124.65,0.0,0.1,0.9981,99.9,0.0009,49.0
2014-03-20,161.0,6041.29,0.0,0.0,0.0,0.01,0.0,6041.29,0.0,161.0,0.0,,,,0.01,,,,,159.0,,,,0.01,,,,2200.0,0.0,0.11,,,0.0,0.0,2586495.0,97054489.87,,127.49,0.0,,1.0,100.0,0.0001,49.8
2014-03-21,7317.0,271251.91,0.07,0.04,0.02,0.36,0.0,6153.86,7151.0,166.0,265098.05,,,,0.0,,,,,5.0,,,,0.0,,,7151.0,,0.35,,,,0.28,0.28,2589477.0,95995705.77,,128.3,0.27,,1.0,100.0,0.0028,49.2
2014-03-24,4229.0,152951.44,0.04,0.02,0.01,0.22,0.0,152951.44,4065.0,4229.0,147020.0,,,,,,4065.0,,0.16,,3086.0,,,,,0.21,,2.0,0.19,0.0,,,0.16,0.16,2607295.0,94298775.74,,127.1,0.15,,1.0,100.0,0.0016,48.0
2014-03-25,10591.0,380015.23,0.1,0.05,0.03,0.53,0.0,380015.23,10427.0,10591.0,374130.75,,,,,,7784.0,,0.07,,1422.0,,,,,0.39,7784.0,1422.0,0.49,0.08,,,0.4,0.4,2615292.0,93839183.79,,125.05,0.39,26.75,0.6081,73.25,0.004,47.62
2014-03-26,7996.0,283228.98,0.07,0.04,0.02,0.38,0.0,283228.98,7991.0,7996.0,283051.87,,,,,,,,0.12,,2436.0,,,,,,,2595.0,0.38,0.13,,,0.32,0.32,2462364.0,87220214.33,,116.84,0.32,2.78,0.946,97.22,0.0032,47.01
2014-03-27,7996.0,281361.27,0.07,0.04,0.02,0.38,0.0,281361.27,7991.0,7996.0,281185.33,,,,,,,,,,,,,,,,,,0.37,,,,0.31,0.31,2555402.0,89918852.54,,120.14,0.31,2.78,0.946,97.22,0.0031,46.7
2014-03-28,8203.0,289881.3,0.07,0.04,0.02,0.38,0.0,282566.24,7991.0,7996.0,282389.55,,,,,,,,,,,,,,,,,,0.37,,,,0.31,0.31,2557146.0,90365574.24,,119.49,0.31,5.24,0.9007,94.76,0.0032,46.9
2014-03-31,8203.0,290437.57,0.07,0.04,0.02,0.38,0.0,283108.48,7991.0,7996.0,282931.45,,,,,,,,,,,,,,,,,,0.38,,,,0.32,0.32,2489397.0,88140244.75,,116.71,0.32,5.24,0.9007,94.76,0.0033,46.99
2014-04-01,21834.0,755128.11,0.2,0.11,0.06,1.03,0.0,755128.11,7991.0,21834.0,276368.45,,,,,,13838.0,,,,,,,,,0.65,,,0.37,,,,0.32,0.32,2491622.0,86172657.74,,116.33,0.31,35.64,0.5283,63.34,0.0087,45.9
2014-04-02,212.0,7427.86,0.0,0.0,0.0,0.01,0.0,7427.86,207.0,212.0,7252.67,,,,,,,,0.36,,7784.0,,,,,,,21622.0,0.01,1.02,,,0.01,0.01,2494500.0,87399934.35,,115.04,0.01,2.72,1.0,100.0,0.0001,46.5
2014-04-03,3209.0,113521.98,0.03,0.02,0.01,0.16,0.0,113521.98,0.0,3209.0,0.0,,,,0.16,,,,0.01,3204.0,207.0,,,0.16,,,,207.0,0.0,0.01,,,0.0,0.0,2494885.0,88259359.98,,116.4,0.0,,1.0,100.0,0.0013,46.95
