,74SW FP Equity_DX_SI_QTY,74SW FP Equity_DX_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,74SW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,74SW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,74SW FP Equity_DX_SI_MV,74SW FP Equity_DX_DSS,74SW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY,74SW FP Equity_DX_BROKER_SI_QTY,74SW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,74SW FP Equity_DX_BROKER_SI_MV_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_x,74SW FP Equity_DX_BROKER_SI_MV_INC_x,74SW FP Equity_DX_SUPPLY_SI_MV_NEW,74SW FP Equity_DX_BROKER_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_NEW,74SW FP Equity_DX_SUPPLY_SI_MV_DEC,74SW FP Equity_DX_BROKER_SI_QTY_INC,74SW FP Equity_DX_SUPPLY_SI_QTY_DEC,74SW FP Equity_DX_BROKER_SI_MV_NEW_y,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,74SW FP Equity_DX_BROKER_SI_MV_INC_y,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_y,74SW FP Equity_DX_BROKER_SI_MV_ADD,74SW FP Equity_DX_SUPPLY_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_DEC,74SW FP Equity_DX_SUPPLY_SI_MV,74SW FP Equity_DX_BROKER_SI_MV_DEC,74SW FP Equity_DX_SUPPLY_SI_MV_RMV,74SW FP Equity_DX_BROKER_SI_MV_RMV,74SW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,74SW FP Equity_DX_UTILIZATION_QUANTITY,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,74SW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,74SW FP Equity_DX_ACTIVE_UTILIZATION_MV,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,74SW FP Equity_DX_BROKER_SI_CON_RATIO,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,74SW FP Equity_DX_DEMAND_SUPPLY_RATIO,74SW FP Equity_PX_LAST
2011-06-14,98859.0,2100587.14,,,,2.33,0.0,0.0,98859.0,0.0,2100587.14,,,,,,,,,,,,,,,,98859.0,,2.33,,,,41.39,41.39,139984.0,2974424.08,,3.09,42.9,0.91,0.982,99.09,0.4139,23.59
2011-06-15,101224.0,2160868.75,0.63,114.99,0.63,2.15,0.0,0.0,101224.0,0.0,2160868.75,,,,,,,,0.23,,9635.0,,,,,,12000.0,,2.15,,,,35.59,35.59,183218.0,3911227.09,,3.89,35.61,1.01,0.98,98.99,0.3559,23.7
2011-06-16,123423.0,2445768.39,0.77,96.16,0.77,2.65,0.0,17834.53,122523.0,900.0,2427933.86,,,,,,900.0,,,,,,,,,0.02,21299.0,,2.63,,,,41.61,41.61,171899.0,3406375.96,,4.31,37.9,1.61,0.9683,98.39,0.4192,22.0
2011-06-17,122523.0,2405861.73,0.76,50.1,0.76,2.67,0.0,17672.4,122523.0,900.0,2405861.73,,,,,,,,,,,,,,,,,,2.67,,,,41.61,41.61,171899.0,3375408.91,,3.74,41.61,0.74,0.9853,99.26,0.4161,21.8
2011-06-20,131564.0,2487402.44,0.82,44.0,0.82,2.87,0.0,17015.77,131564.0,900.0,2487402.44,,,18676.0,,,,,0.21,,9635.0,,,,18676.0,,,,2.87,,,,37.26,37.26,221519.0,4188128.22,,4.81,37.34,0.68,0.9864,99.32,0.3726,20.99
2011-06-21,330295.0,5973959.26,2.05,84.61,2.05,7.19,1.0,5761259.22,131660.0,318535.0,2381299.98,,,96.0,,,317635.0,,,,,,,,96.0,6.92,,,2.74,,,,35.76,35.76,236513.0,4277748.76,,4.91,35.86,0.26,0.9942,99.71,0.8971,20.08
2011-06-22,320660.0,5819911.59,1.99,50.59,1.99,6.44,1.0,5608212.44,131660.0,308996.0,2389601.32,,,,,,96.0,,,,,,,,,0.0,,9635.0,2.65,0.74,,,36.19,36.19,232146.0,4213401.1,,4.67,36.16,0.28,0.9938,99.69,0.8814,20.15
2011-06-23,250660.0,4492981.81,1.55,30.22,1.55,5.05,1.0,4283909.2,131660.0,238996.0,2359953.66,,,,,,,,,,,,,,,,,70000.0,2.68,1.39,,,37.86,37.86,216091.0,3873346.1,,4.38,37.98,0.36,0.9921,99.6,0.7208,19.9
2011-06-24,250660.0,4470404.01,1.55,24.88,1.55,5.05,1.0,4262382.02,131660.0,238996.0,2348094.6,,,,,,,,,,,,,,,,,,2.61,,,,38.22,38.22,212786.0,3794938.91,,4.22,38.22,0.36,0.9922,99.61,0.7277,19.8
2011-06-27,280660.0,5157120.0,1.74,26.83,1.74,5.56,1.0,4942794.31,161660.0,268996.0,2970498.18,,,30000.0,,,30000.0,,,,,,,,30000.0,0.6,,,3.17,,,,46.93,46.93,182786.0,3358687.86,,3.62,46.71,10.74,0.802,88.91,0.8148,20.4
