,MILL FP Equity_PX_LAST
2020-04-21,8.712
2020-04-22,8.951
2020-04-23,9.079
2020-04-24,8.982
2020-04-27,9.239
2020-04-28,9.364
2020-04-29,9.587
2020-04-30,9.429
2020-05-04,9.108
2020-05-05,9.365
2020-05-06,9.404
2020-05-07,9.584
2020-05-08,9.742
2020-05-11,9.763
2020-05-12,9.741
2020-05-13,9.502
2020-05-14,9.368
2020-05-15,9.436
2020-05-18,9.804
2020-05-19,9.809
2020-05-20,9.888
2020-05-21,9.818
2020-05-22,9.864
2020-05-25,10.079
2020-05-26,10.076
2020-05-27,9.984
2020-05-28,10.122
2020-05-29,9.933
2020-06-01,10.201
2020-06-02,10.269
2020-06-03,10.513
2020-06-04,10.401
2020-06-05,10.751
2020-06-08,10.739
2020-06-09,10.658
2020-06-10,10.528
2020-06-11,10.077
2020-06-12,10.142
2020-06-15,10.133
2020-06-16,10.516
2020-06-17,10.527
2020-06-18,10.496
2020-06-19,10.618
2020-06-22,10.465
2020-06-23,10.583
2020-06-24,10.327
2020-06-25,10.352
2020-06-26,10.34
2020-06-29,10.341
2020-06-30,10.453
2020-07-01,10.484
2020-07-02,10.751
2020-07-03,10.701
2020-07-06,10.867
2020-07-07,10.832
2020-07-08,10.736
2020-07-09,10.801
2020-07-10,10.861
2020-07-13,10.965
2020-07-14,10.661
2020-07-15,10.841
2020-07-16,10.739
2020-07-17,10.741
2020-07-20,10.779
2020-07-21,10.922
2020-07-22,10.796
2020-07-23,10.776
2020-07-24,10.588
2020-07-27,10.475
2020-07-28,10.576
2020-07-29,10.646
2020-07-30,10.52
2020-07-31,10.475
2020-08-03,10.675
2020-08-04,10.738
2020-08-05,10.827
2020-08-06,10.825
2020-08-07,10.903
2020-08-10,10.946
2020-08-11,11.035
2020-08-12,10.988
2020-08-13,11.014
2020-08-14,10.993
2020-08-17,11.012
2020-08-18,10.918
2020-08-19,11.006
2020-08-20,10.941
2020-08-21,11.027
2020-08-24,11.129
2020-08-25,11.142
2020-08-26,11.274
2020-08-27,11.341
2020-08-28,11.327
2020-08-31,11.166
2020-09-01,11.327
2020-09-02,11.464
2020-09-03,11.24
2020-09-04,11.008
2020-09-07,11.121
2020-09-08,11.046
2020-09-09,11.033
2020-09-10,11.049
2020-09-11,10.993
2020-09-14,11.051
2020-09-15,11.191
2020-09-16,11.277
2020-09-17,11.126
2020-09-18,11.03
2020-09-21,10.843
2020-09-22,11.002
2020-09-23,11.16
2020-09-24,10.944
2020-09-25,11.014
2020-09-28,11.219
2020-09-29,11.103
2020-09-30,11.223
2020-10-01,11.303
2020-10-02,11.335
2020-10-05,11.323
2020-10-06,11.439
2020-10-07,11.483
2020-10-08,11.54
2020-10-09,11.643
2020-10-12,11.722
2020-10-13,11.729
2020-10-14,11.685
2020-10-15,11.543
2020-10-16,11.618
2020-10-19,11.62
2020-10-20,11.544
2020-10-21,11.444
2020-10-22,11.441
2020-10-23,11.547
2020-10-26,11.372
2020-10-27,11.42
2020-10-28,11.207
2020-10-29,11.331
2020-10-30,11.171
2020-11-02,11.214
2020-11-03,11.365
2020-11-04,11.607
2020-11-05,11.8
2020-11-06,11.724
2020-11-09,12.217
2020-11-10,11.876
2020-11-11,11.956
2020-11-12,11.924
2020-11-13,11.908
2020-11-16,12.125
