,ARG FP Equity_DX_SI_QTY,ARG FP Equity_DX_SHORT_INTEREST_VALUE,ARG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ARG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ARG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ARG FP Equity_DX_SI_MV,ARG FP Equity_DX_DSS,ARG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ARG FP Equity_DX_SUPPLY_SI_QTY,ARG FP Equity_DX_BROKER_SI_QTY,ARG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ARG FP Equity_DX_BROKER_SI_MV_NEW_x,ARG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ARG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ARG FP Equity_DX_BROKER_SI_MV_INC_x,ARG FP Equity_DX_SUPPLY_SI_MV_NEW,ARG FP Equity_DX_BROKER_SI_QTY_ADD,ARG FP Equity_DX_BROKER_SI_QTY_NEW,ARG FP Equity_DX_SUPPLY_SI_MV_DEC,ARG FP Equity_DX_BROKER_SI_QTY_INC,ARG FP Equity_DX_SUPPLY_SI_QTY_DEC,ARG FP Equity_DX_BROKER_SI_MV_NEW_y,ARG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ARG FP Equity_DX_BROKER_SI_MV_INC_y,ARG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ARG FP Equity_DX_BROKER_SI_MV_ADD,ARG FP Equity_DX_SUPPLY_SI_QTY_ADD,ARG FP Equity_DX_BROKER_SI_QTY_DEC,ARG FP Equity_DX_SUPPLY_SI_MV,ARG FP Equity_DX_BROKER_SI_MV_DEC,ARG FP Equity_DX_SUPPLY_SI_MV_RMV,ARG FP Equity_DX_BROKER_SI_MV_RMV,ARG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ARG FP Equity_DX_UTILIZATION_QUANTITY,ARG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ARG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ARG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ARG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ARG FP Equity_DX_ACTIVE_UTILIZATION_MV,ARG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ARG FP Equity_DX_BROKER_SI_CON_RATIO,ARG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ARG FP Equity_DX_DEMAND_SUPPLY_RATIO,ARG FP Equity_PX_LAST
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.04
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.34
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
