,ALDNX FP Equity_DX_SI_QTY,ALDNX FP Equity_DX_SHORT_INTEREST_VALUE,ALDNX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDNX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDNX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDNX FP Equity_DX_SI_MV,ALDNX FP Equity_DX_DSS,ALDNX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDNX FP Equity_DX_SUPPLY_SI_QTY,ALDNX FP Equity_DX_BROKER_SI_QTY,ALDNX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDNX FP Equity_DX_BROKER_SI_MV_NEW_x,ALDNX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDNX FP Equity_DX_BROKER_SI_MV_INC_x,ALDNX FP Equity_DX_BROKER_SI_QTY_ADD,ALDNX FP Equity_DX_BROKER_SI_QTY_NEW,ALDNX FP Equity_DX_SUPPLY_SI_MV_DEC,ALDNX FP Equity_DX_BROKER_SI_QTY_INC,ALDNX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDNX FP Equity_DX_BROKER_SI_MV_NEW_y,ALDNX FP Equity_DX_BROKER_SI_MV_INC_y,ALDNX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDNX FP Equity_DX_BROKER_SI_MV_ADD,ALDNX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDNX FP Equity_DX_BROKER_SI_QTY_DEC,ALDNX FP Equity_DX_SUPPLY_SI_MV,ALDNX FP Equity_DX_BROKER_SI_MV_DEC,ALDNX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDNX FP Equity_DX_UTILIZATION_QUANTITY,ALDNX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDNX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDNX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDNX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDNX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDNX FP Equity_DX_BROKER_SI_CON_RATIO,ALDNX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDNX FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.69,0.0,,0.0,,0.0
2007-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.69,0.0,,0.0,,0.0
2007-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.5,0.0,,0.0,,0.0
2007-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.3,0.0,,0.0,,0.0
2007-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,13.76,0.0,,0.0,,0.0
2007-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,13.3,0.0,,0.0,,0.0
2007-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,13.8,0.0,,0.0,,0.0
2007-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.11,0.0,,0.0,,0.0
2007-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.17,0.0,,0.0,,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.22,0.0,,0.0,,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,14.81,0.0,,0.0,,0.0
2007-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,15.06,0.0,,0.0,,0.0
2007-06-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,15.26,0.0,,0.0,,0.0
