,PINR FP Equity_DX_SI_QTY,PINR FP Equity_DX_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PINR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PINR FP Equity_DX_SI_MV,PINR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SUPPLY_SI_QTY,PINR FP Equity_DX_BROKER_SI_QTY,PINR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_x,PINR FP Equity_DX_BROKER_SI_MV_INC_x,PINR FP Equity_DX_BROKER_SI_QTY_ADD,PINR FP Equity_DX_SUPPLY_SI_MV_DEC,PINR FP Equity_DX_BROKER_SI_QTY_INC,PINR FP Equity_DX_SUPPLY_SI_QTY_DEC,PINR FP Equity_DX_BROKER_SI_MV_INC_y,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_y,PINR FP Equity_DX_BROKER_SI_MV_ADD,PINR FP Equity_DX_SUPPLY_SI_QTY_ADD,PINR FP Equity_DX_BROKER_SI_QTY_DEC,PINR FP Equity_DX_SUPPLY_SI_MV,PINR FP Equity_DX_BROKER_SI_MV_DEC,PINR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PINR FP Equity_DX_UTILIZATION_QUANTITY,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PINR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PINR FP Equity_DX_ACTIVE_UTILIZATION_MV,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PINR FP Equity_DX_BROKER_SI_CON_RATIO,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PINR FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-08-15,173200.0,2275848.0,32.44,24.01,2.27,2275848.0,0.0,173200.0,0.0,,,173200.0,,,,,,2.27,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.81,0.5,50.19,0.0
2016-08-16,173200.0,2229084.0,32.4,24.01,2.25,2229084.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.25,0.5001,50.75,0.0
2016-08-17,173200.0,2215228.0,32.62,24.01,2.22,2215228.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.61,0.5,50.39,0.0
2016-08-18,173200.0,2225620.0,32.75,24.01,2.23,2225620.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.89,0.5,50.11,0.0
2016-08-19,173200.0,2218692.0,32.8,24.01,2.22,2218692.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.69,0.5,50.31,0.0
2016-08-22,173200.0,2192712.0,33.45,24.01,2.21,2192712.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.47,0.5001,50.53,0.0
2016-08-23,173200.0,2210032.0,33.91,24.01,2.2,2210032.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,0.0
2016-08-24,173200.0,2229084.0,22.52,21.66,2.22,2229084.0,0.0,173200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,0.0
2016-08-25,87000.0,1110120.0,11.3,10.88,1.12,1110120.0,0.0,87000.0,0.0,,,,,,,,,,,86200.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-23,147800.0,2628623.0,23.6,14.91,2.62,2628623.0,0.0,147800.0,0.0,,,147800.0,,,,,,2.62,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
