,USVE FP Equity_PX_LAST
2024-02-06,10.0
2024-02-07,10.234
2024-02-08,10.223
2024-02-09,10.267
2024-02-12,10.421
2024-02-13,10.277
2024-02-14,10.285
2024-02-15,10.348
2024-02-16,10.345
2024-02-19,10.305
2024-02-20,10.24
2024-02-21,10.218
2024-02-22,10.308
2024-02-23,10.364
2024-02-26,10.308
2024-02-27,10.3
2024-02-28,10.315
2024-02-29,10.348
2024-03-01,10.393
2024-03-04,10.432
2024-03-05,10.379
2024-03-06,10.401
2024-03-07,10.417
2024-03-08,10.435
2024-03-11,10.438
2024-03-12,10.483
2024-03-13,10.504
2024-03-14,10.451
2024-03-15,10.411
2024-03-18,10.472
2024-03-19,10.492
2024-03-20,10.519
2024-03-21,10.706
2024-03-22,10.694
2024-03-25,10.652
2024-03-26,10.666
2024-03-27,10.735
2024-03-28,10.887
2024-04-02,10.738
2024-04-03,10.693
2024-04-04,10.708
2024-04-05,10.571
2024-04-08,10.622
2024-04-09,10.587
2024-04-10,10.569
2024-04-11,10.528
2024-04-12,10.548
2024-04-15,10.544
2024-04-16,10.391
2024-04-17,10.355
2024-04-18,10.374
2024-04-19,10.344
2024-04-22,10.375
2024-04-23,10.508
2024-04-24,10.511
2024-04-25,10.355
2024-04-26,10.506
2024-04-29,10.546
2024-04-30,10.474
2024-05-02,10.379
2024-05-03,10.443
2024-05-06,10.508
2024-05-07,10.585
2024-05-08,10.562
2024-05-09,10.58
2024-05-10,10.635
2024-05-13,10.695
2024-05-14,10.68
2024-05-15,10.713
2024-05-16,10.727
2024-05-17,10.691
2024-05-20,10.747
2024-05-21,10.716
2024-05-22,10.772
2024-05-23,10.705
2024-05-24,10.674
2024-05-27,10.658
2024-05-28,10.638
2024-05-29,10.532
2024-05-30,10.523
2024-05-31,10.53
2024-06-03,10.608
2024-06-04,10.576
2024-06-05,10.644
2024-06-06,10.674
2024-06-07,10.723
2024-06-10,10.741
2024-06-11,10.738
2024-06-12,10.778
2024-06-13,10.749
2024-06-14,10.789
2024-06-17,10.778
2024-06-18,10.835
2024-06-19,10.832
2024-06-20,10.907
2024-06-21,10.924
2024-06-24,10.974
2024-06-25,10.919
2024-06-26,10.913
2024-06-27,10.904
2024-06-28,10.998
2024-07-01,10.932
2024-07-02,10.921
2024-07-03,10.904
2024-07-04,10.905
2024-07-05,10.825
2024-07-08,10.913
2024-07-09,10.955
2024-07-10,11.008
2024-07-11,11.07
2024-07-12,11.141
2024-07-15,11.195
2024-07-16,11.334
2024-07-17,11.295
2024-07-18,11.322
2024-07-19,11.134
2024-07-22,11.143
2024-07-23,11.173
2024-07-24,11.094
2024-07-25,11.132
2024-07-26,11.174
2024-07-29,11.219
2024-07-30,11.266
2024-07-31,11.342
2024-08-01,11.185
2024-08-02,10.66
2024-08-05,10.389
2024-08-06,10.462
2024-08-07,10.589
2024-08-08,10.592
2024-08-09,10.588
2024-08-12,10.579
2024-08-13,10.648
2024-08-14,10.641
2024-08-15,10.853
2024-08-16,10.871
2024-08-19,10.904
2024-08-20,10.866
2024-08-21,10.865
2024-08-22,10.888
2024-08-23,10.954
2024-08-26,10.972
2024-08-27,10.957
2024-08-28,10.972
2024-08-29,11.076
2024-08-30,11.059
2024-09-02,11.138
2024-09-03,11.048
2024-09-04,10.927
2024-09-05,10.795
2024-09-06,10.669
2024-09-09,10.765
2024-09-10,10.772
2024-09-11,10.665
2024-09-12,10.876
2024-09-13,10.972
2024-09-16,10.976
2024-09-17,11.097
2024-09-18,11.048
2024-09-19,11.173
2024-09-20,11.069
2024-09-23,11.117
2024-09-24,11.114
2024-09-25,11.094
2024-09-26,11.1
2024-09-27,11.223
2024-09-30,11.171
2024-10-01,11.137
2024-10-02,11.176
2024-10-03,11.131
2024-10-04,11.234
2024-10-07,11.255
2024-10-08,11.277
2024-10-09,11.392
2024-10-10,11.404
2024-10-11,11.484
2024-10-14,11.582
2024-10-15,11.633
2024-10-16,11.643
2024-10-17,11.784
2024-10-18,11.554
2024-10-21,11.565
2024-10-22,11.507
2024-10-23,11.525
2024-10-24,11.584
2024-10-25,11.624
2024-10-28,11.627
2024-10-29,11.624
2024-10-30,11.589
2024-10-31,11.442
2024-11-01,11.49
2024-11-04,11.4
2024-11-05,11.487
2024-11-06,11.989
2024-11-07,12.038
2024-11-08,12.098
2024-11-11,12.243
2024-11-12,12.115
2024-11-13,12.331
2024-11-14,12.202
2024-11-15,12.173
2024-11-18,12.18
2024-11-19,12.028
2024-11-20,12.155
2024-11-21,12.28
2024-11-22,12.46
2024-11-25,12.539
2024-11-26,12.388
2024-11-27,12.287
2024-11-28,12.443
2024-11-29,12.466
2024-12-02,12.634
2024-12-03,12.581
2024-12-04,12.452
2024-12-05,12.48
2024-12-06,12.32
2024-12-09,12.444
2024-12-10,12.433
2024-12-11,12.412
2024-12-12,12.24
2024-12-13,12.232
2024-12-16,12.294
2024-12-17,12.128
2024-12-18,12.289
2024-12-19,11.95
2024-12-20,12.011
2024-12-23,11.914
2024-12-24,12.111
2024-12-27,12.05
2024-12-30,12.058
2024-12-31,11.967
2025-01-02,12.164
2025-01-03,12.224
2025-01-06,12.286
2025-01-07,12.293
2025-01-08,12.231
2025-01-09,12.156
2025-01-10,12.048
2025-01-13,12.115
2025-01-14,12.051
2025-01-15,12.179
2025-01-16,12.285
2025-01-17,12.4
2025-01-20,12.374
2025-01-21,12.357
2025-01-22,12.399
2025-01-23,12.519
2025-01-24,12.432
2025-01-27,12.219
2025-01-28,12.344
2025-01-29,12.404
2025-01-30,12.427
2025-01-31,12.459
2025-02-03,12.349
2025-02-04,12.312
2025-02-05,12.342
2025-02-06,12.46
2025-02-07,12.412
2025-02-10,12.357
2025-02-11,12.426
2025-02-12,12.179
2025-02-13,12.429
2025-02-14,12.365
2025-02-17,12.419
2025-02-18,12.48
2025-02-19,12.492
2025-02-20,12.56
2025-02-21,12.557
2025-02-24,12.358
2025-02-25,12.198
2025-02-26,12.186
2025-02-27,12.314
2025-02-28,12.185
2025-03-03,12.201
2025-03-04,11.789
2025-03-05,11.402
2025-03-06,11.487
2025-03-07,11.376
2025-03-10,11.409
2025-03-11,11.112
2025-03-12,11.062
2025-03-13,11.036
2025-03-14,11.246
2025-03-17,11.234
2025-03-18,11.291
2025-03-19,11.292
2025-03-20,11.424
2025-03-21,11.373
2025-03-24,11.581
2025-03-25,11.493
2025-03-26,11.561
2025-03-27,11.506
2025-03-28,11.176
2025-03-31,11.301
2025-04-01,11.363
2025-04-02,11.263
2025-04-03,10.691
2025-04-04,10.275
2025-04-07,9.917
2025-04-08,10.232
2025-04-09,9.64
2025-04-10,10.101
2025-04-11,9.939
2025-04-14,10.161
2025-04-15,10.263
2025-04-16,10.091
2025-04-17,9.927
2025-04-22,9.903
2025-04-23,10.23
2025-04-24,10.298
2025-04-25,10.309
2025-04-28,10.374
2025-04-29,10.376
2025-04-30,10.419
2025-05-02,10.613
2025-05-05,10.702
2025-05-06,10.661
2025-05-07,10.524
2025-05-08,10.768
2025-05-09,10.777
2025-05-12,11.188
2025-05-13,11.26
2025-05-14,11.179
2025-05-15,11.161
2025-05-16,11.352
2025-05-19,11.286
2025-05-20,11.319
2025-05-21,11.169
2025-05-22,11.001
2025-05-23,10.695
2025-05-26,10.934
2025-05-27,10.966
2025-05-28,10.998
2025-05-29,11.023
2025-05-30,10.982
2025-06-02,10.938
2025-06-03,11.055
2025-06-04,11.078
2025-06-05,11.07
2025-06-06,11.111
2025-06-09,11.225
2025-06-10,11.315
2025-06-11,11.28
2025-06-12,11.046
2025-06-13,11.082
2025-06-16,11.179
2025-06-17,11.037
2025-06-18,11.036
2025-06-19,11.034
2025-06-20,11.078
2025-06-23,10.971
2025-06-24,11.124
2025-06-25,11.181
2025-06-26,11.207
2025-06-27,11.188
2025-06-30,11.266
2025-07-01,10.99
2025-07-02,11.369
2025-07-03,11.451
2025-07-04,11.361
2025-07-07,11.306
2025-07-08,11.336
2025-07-09,11.391
2025-07-10,11.441
2025-07-11,11.414
2025-07-14,11.379
2025-07-15,11.376
2025-07-16,11.292
2025-07-17,11.439
2025-07-18,11.303
2025-07-21,11.389
2025-07-22,11.469
2025-07-23,11.388
2025-07-24,11.556
2025-07-25,11.458
2025-07-28,11.567
2025-07-29,11.621
2025-07-30,11.667
2025-07-31,11.622
2025-08-01,11.242
2025-08-04,11.359
2025-08-05,11.259
2025-08-06,11.332
2025-08-07,11.337
2025-08-08,11.484
2025-08-11,11.493
2025-08-12,11.62
2025-08-13,11.635
2025-08-14,11.692
2025-08-15,11.615
2025-08-18,11.687
2025-08-19,11.698
2025-08-20,11.612
2025-08-21,11.585
2025-08-22,11.794
2025-08-25,11.879
2025-08-26,11.777
2025-08-27,11.806
2025-08-28,11.725
2025-08-29,11.698
