,CE8 FP Equity_DX_SI_QTY,CE8 FP Equity_DX_SHORT_INTEREST_VALUE,CE8 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CE8 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CE8 FP Equity_DX_SI_MV,CE8 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CE8 FP Equity_DX_SUPPLY_SI_QTY,CE8 FP Equity_DX_BROKER_SI_QTY,CE8 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CE8 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CE8 FP Equity_DX_BROKER_SI_MV_INC_x,CE8 FP Equity_DX_BROKER_SI_QTY_ADD,CE8 FP Equity_DX_SUPPLY_SI_MV_DEC,CE8 FP Equity_DX_BROKER_SI_QTY_INC,CE8 FP Equity_DX_SUPPLY_SI_QTY_DEC,CE8 FP Equity_DX_BROKER_SI_MV_INC_y,CE8 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CE8 FP Equity_DX_BROKER_SI_MV_ADD,CE8 FP Equity_DX_SUPPLY_SI_QTY_ADD,CE8 FP Equity_DX_BROKER_SI_QTY_DEC,CE8 FP Equity_DX_SUPPLY_SI_MV,CE8 FP Equity_DX_BROKER_SI_MV_DEC,CE8 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CE8 FP Equity_DX_UTILIZATION_QUANTITY,CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CE8 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CE8 FP Equity_DX_ACTIVE_UTILIZATION_MV,CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CE8 FP Equity_DX_BROKER_SI_CON_RATIO,CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CE8 FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-07-02,500.0,63500.0,2.85,0.12,0.06,63500.0,0.0,500.0,0.0,,,500.0,,,,,,0.06,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2012-07-03,500.0,64125.0,2.85,0.12,0.06,64125.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-04,500.0,64570.0,2.8,0.12,0.06,64570.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-05,500.0,65200.0,2.8,0.12,0.06,65200.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-06,500.0,64640.0,7.98,0.12,0.06,64640.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-09,1600.0,206336.0,25.53,0.38,0.2,206336.0,0.0,1600.0,0.0,,0.14,,,1100.0,,0.14,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-10,1600.0,207344.0,25.53,0.38,0.2,207344.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-11,1600.0,206288.0,31.37,0.38,0.2,206288.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-12,1600.0,205008.0,32.21,0.38,0.2,205008.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2012-07-13,1600.0,207584.0,34.16,0.38,0.2,207584.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
