,ELIS FP Equity_DX_SI_QTY,ELIS FP Equity_DX_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ELIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ELIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ELIS FP Equity_DX_SI_MV,ELIS FP Equity_DX_DSS,ELIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY,ELIS FP Equity_DX_BROKER_SI_QTY,ELIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ELIS FP Equity_DX_BROKER_SI_MV_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ELIS FP Equity_DX_BROKER_SI_MV_INC_x,ELIS FP Equity_DX_SUPPLY_SI_MV_NEW,ELIS FP Equity_DX_BROKER_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_NEW,ELIS FP Equity_DX_SUPPLY_SI_MV_DEC,ELIS FP Equity_DX_BROKER_SI_QTY_INC,ELIS FP Equity_DX_SUPPLY_SI_QTY_DEC,ELIS FP Equity_DX_BROKER_SI_MV_NEW_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ELIS FP Equity_DX_BROKER_SI_MV_INC_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ELIS FP Equity_DX_BROKER_SI_MV_ADD,ELIS FP Equity_DX_SUPPLY_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV,ELIS FP Equity_DX_BROKER_SI_MV_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV_RMV,ELIS FP Equity_DX_BROKER_SI_MV_RMV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ELIS FP Equity_DX_UTILIZATION_QUANTITY,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ELIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_MV,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ELIS FP Equity_DX_BROKER_SI_CON_RATIO,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ELIS FP Equity_DX_DEMAND_SUPPLY_RATIO,ELIS FP Equity_PX_LAST
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2015-02-11,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,459300.0,5628023.36,,6.17,0.0,0.0,0.0,0.0,0.0,13.0
2015-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2736136.0,34842485.08,,32.77,0.0,,0.0,,0.0,13.51
2015-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4138345.0,54492808.7,,53.76,0.0,,0.0,,0.0,13.97
2015-02-16,9359.0,123501.88,0.01,0.02,0.01,0.14,0.0,123501.88,9359.0,9359.0,123501.88,,,,,,9359.0,,,,,,,,,0.14,9359.0,,0.13,,,,3.94,0.17,228141.0,3010561.27,,3.19,3.94,,1.0,100.0,0.0017,14.0
2015-02-17,9359.0,122972.59,0.01,0.02,0.01,0.14,0.0,122972.59,9359.0,9359.0,122972.59,,,,,,,,,,,,,,,,,,0.13,,,,3.94,0.15,228141.0,2997658.86,,3.18,3.93,,1.0,100.0,0.0015,13.94
2015-02-18,9359.0,124648.69,0.01,0.02,0.01,0.14,0.0,124648.69,9359.0,9359.0,124648.69,,,,,,,,,,,,,,,,,,0.13,,,,3.94,0.16,228141.0,3038516.48,,3.23,3.89,,1.0,100.0,0.0016,14.13
2015-02-19,9359.0,123501.88,0.01,0.02,0.01,0.14,0.0,123501.88,9359.0,9359.0,123501.88,,,,,,,,,,,,,,,,,,0.13,,,,3.94,0.16,228141.0,3010561.27,,3.19,3.98,,1.0,100.0,0.0016,14.0
2015-02-20,9359.0,123854.74,0.01,0.02,0.01,0.13,0.0,0.0,9359.0,0.0,123854.74,,,,,,,,,,,,,,,,,9359.0,0.13,0.14,,,3.94,0.16,228141.0,3019162.87,,3.2,3.92,,1.0,100.0,0.0016,14.04
2015-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.13,,9359.0,,,,,,,,0.0,,,,0.0,0.0,5890304.0,78061901.06,,79.41,0.0,,0.0,100.0,0.0,14.06
2015-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6233714.0,83435584.18,,84.57,0.0,,0.0,,0.0,14.2
2015-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6231498.0,83934553.07,,85.19,0.0,,0.0,,0.0,14.29
2015-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6265557.0,86519380.96,,87.32,0.0,,0.0,,0.0,14.65
2015-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5964418.0,83766512.4,,84.45,0.0,,0.0,,0.0,14.9
2015-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6266429.0,86058895.64,,89.06,0.0,,0.0,,0.0,14.57
2015-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6162833.0,84810446.31,,86.35,0.0,,0.0,,0.0,14.6
2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6168207.0,85349521.16,,86.89,0.0,,0.0,,0.0,14.68
2015-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6163615.0,85634561.93,,87.11,0.0,,0.0,,0.0,14.74
2015-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6161344.0,85428783.72,,87.57,0.0,,0.0,,0.0,14.71
2015-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5954525.0,81494787.72,,83.62,0.0,,0.0,,0.0,14.52
2015-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5936430.0,80855448.73,,82.87,0.0,,0.0,,0.0,14.45
2015-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5830878.0,81176541.34,,81.78,0.0,,0.0,,0.0,14.77
2015-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5827740.0,82066678.93,,82.7,0.0,,0.0,,0.0,14.94
2015-03-13,1000.0,14138.63,0.0,0.0,0.0,0.01,0.0,14138.63,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.01,,,0.0,,,,0.0,0.0,5803967.0,82060146.32,,83.41,0.0,,1.0,100.0,0.0002,15.0
2015-03-16,1000.0,14091.5,0.0,0.0,0.0,0.02,0.0,14091.5,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5800519.0,81738025.0,,83.14,0.0,,1.0,100.0,0.0002,14.95
2015-03-17,1000.0,14100.93,0.0,0.0,0.0,0.02,0.0,14100.93,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5699253.0,80364754.72,,81.54,0.0,,1.0,100.0,0.0002,14.96
2015-03-18,1000.0,14119.78,0.0,0.0,0.0,0.02,0.0,14119.78,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5697154.0,80442556.81,,80.99,0.0,,1.0,100.0,0.0002,14.98
2015-03-19,1000.0,14044.37,0.0,0.0,0.0,0.02,0.0,14044.37,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5696425.0,80002718.69,,81.47,0.0,,1.0,100.0,0.0002,14.9
2015-03-20,1000.0,14138.63,0.0,0.0,0.0,0.01,0.0,14138.63,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5676078.0,80251970.97,,80.65,0.0,,1.0,100.0,0.0002,15.0
2015-03-23,67982.0,980395.84,0.06,0.12,0.06,1.01,0.0,735491.57,66982.0,51000.0,965974.44,,,,,,50000.0,,,,,,,,,0.74,66982.0,,1.0,,,,100.0,1.18,0.0,0.0,,0.0,100.0,24.94,0.6037,73.57,0.012,15.3
2015-03-24,84720.0,1240147.94,0.08,0.15,0.07,1.3,0.0,746547.98,83720.0,51000.0,1225509.74,,,16738.0,,,,,,,,,,,16738.0,,,,1.28,,,,1.48,1.48,5562994.0,81432194.89,,81.85,1.53,39.33,0.5087,59.49,0.015,15.53
2015-03-25,284720.0,4132898.97,0.27,0.5,0.25,4.41,0.0,3643430.89,33720.0,251000.0,489468.09,,,,3.1,,,,0.77,200000.0,50000.0,,,3.1,,,,,0.52,,,,100.0,0.6,0.0,0.0,,0.0,100.0,11.81,0.7855,87.84,0.0503,15.4
2015-03-26,284720.0,4092643.46,0.27,1.35,0.25,4.42,0.0,3607942.92,33720.0,251000.0,484700.54,,,,,,,,,,,,,,,,,,0.52,,,,100.0,0.61,0.0,0.0,,0.0,100.0,11.84,0.7851,87.81,0.0514,15.25
2015-03-27,284720.0,4022867.25,0.27,1.49,0.25,4.34,0.0,3546430.45,33720.0,251000.0,476436.79,,,,,,,,,,,,,,,,,,0.51,,,,100.0,0.61,0.0,0.0,,0.0,100.0,11.84,0.785,87.81,0.0514,14.99
2015-03-30,37642.0,532206.34,0.04,0.21,0.03,0.57,0.0,55451.71,33720.0,3922.0,476754.63,,,,,,,,,,,,,,,,,247078.0,0.51,3.77,,,0.61,0.61,5501463.0,77783153.96,,79.19,0.64,7.79,0.809,89.57,0.0068,15.0
2015-03-31,70768.0,1028578.37,0.07,0.43,0.06,1.08,0.0,320456.93,48720.0,22048.0,708121.44,,,15000.0,0.28,,,,,18126.0,,,,0.28,15000.0,,,,0.74,,,,100.0,0.88,0.0,0.0,,0.0,100.0,38.18,0.5067,60.05,0.0128,15.42
2015-04-01,80768.0,1202852.87,0.08,0.46,0.07,1.24,0.0,328354.05,58720.0,22048.0,874498.82,,,,,,,,,,,,,,,,10000.0,,0.9,,,,100.0,1.06,0.0,0.0,,0.0,100.0,32.05,0.3883,51.2,0.0146,15.8
2015-04-02,77846.0,1174011.57,0.07,0.43,0.07,1.2,0.0,288443.15,58720.0,19126.0,885568.42,,,,,,,,,,,,,,,,,2922.0,0.9,0.04,,,100.0,1.07,0.0,0.0,,0.0,100.0,29.26,0.3916,52.84,0.0142,16.0
2015-04-03,77846.0,1174011.57,0.07,0.43,0.07,1.2,0.0,288443.15,58720.0,19126.0,885568.42,,,,,,,,,,,,,,,,,,0.9,,,,100.0,1.08,0.0,0.0,,0.0,100.0,29.04,0.3906,52.79,0.0143,
2015-04-06,77846.0,1174011.57,0.07,0.43,0.07,1.24,0.0,288443.15,58720.0,19126.0,885568.42,,,,,,,,,,,,,,,,,,0.94,,,,100.0,1.07,0.0,0.0,,0.0,100.0,28.27,0.3989,54.14,0.0142,
