,MLSDN FP Equity_PX_LAST
2016-05-25,13.3
2016-05-26,13.3
2016-05-27,13.75
2016-05-30,14.75
2016-05-31,15.3
2016-06-01,15.73
2016-06-02,15.92
2016-06-03,16.33
2016-06-06,16.42
2016-06-07,16.45
2016-06-08,16.45
2016-06-09,16.53
2016-06-13,16.53
2016-06-14,16.2
2016-06-15,16.5
2016-06-16,16.57
2016-06-17,16.5
2016-06-20,16.2
2016-06-21,16.57
2016-06-22,16.57
2016-06-28,16.2
2016-06-29,15.9
2016-07-06,15.91
2016-07-07,15.9
2016-07-11,15.9
2016-07-12,15.9
2016-07-13,15.7
2016-07-15,15.7
2016-07-19,14.9
2016-07-20,14.6
2016-07-25,14.89
2016-07-26,14.89
2016-08-02,14.7
2016-08-03,14.7
2016-08-08,14.89
2016-08-09,14.89
2016-08-29,14.89
2016-09-06,14.7
2016-09-13,14.7
2016-09-26,15.0
2016-09-30,14.8
2016-10-11,14.6
2016-10-12,14.6
2016-10-14,14.6
2016-10-19,14.55
2016-10-24,14.55
2016-10-25,14.55
2016-11-03,14.55
2016-11-04,14.9
2016-11-23,14.34
2016-11-30,14.34
2016-12-06,14.34
2017-01-10,14.3
2017-01-16,14.4
2017-03-06,14.32
2017-03-20,14.37
2017-03-27,14.37
2017-03-29,14.48
2017-03-31,14.48
2017-04-05,14.59
2017-04-06,14.76
2017-04-07,14.76
2017-04-10,14.9
2017-04-18,14.54
2017-04-19,14.9
2017-05-09,13.45
2017-05-11,15.0
2017-05-15,13.4
2017-05-22,8.99
2017-05-25,11.84
2017-05-26,11.98
2017-05-31,14.86
2017-06-06,15.21
2017-06-07,15.21
2017-06-09,12.34
2017-06-13,12.36
2017-06-15,12.8
2017-06-16,12.82
2017-06-20,13.11
2017-06-21,13.11
2017-06-22,13.32
2017-06-28,13.15
2017-06-30,14.23
2017-07-03,14.51
2017-07-04,14.79
2017-07-14,14.31
2017-07-21,14.65
2017-07-26,14.31
2017-07-28,14.31
2017-08-08,14.58
2017-08-09,14.65
2017-08-28,14.78
2017-09-11,14.81
2017-09-12,14.81
2017-09-29,14.3
2017-10-18,14.3
2017-10-23,14.3
2017-11-06,14.81
2017-11-22,14.95
2017-11-27,14.67
2017-11-28,14.67
2017-11-30,14.67
2017-12-01,14.95
2017-12-14,14.96
2017-12-19,14.96
2018-01-02,14.8
2018-01-04,14.8
2018-01-08,15.1
2018-01-12,15.5
2018-01-15,15.7
2018-01-22,15.4
2018-01-23,15.2
2018-01-30,15.6
2018-02-06,15.6
2018-02-08,15.4
2018-02-12,15.6
2018-02-21,15.2
2018-03-05,15.1
2018-03-06,15.1
2018-03-07,15.5
2018-03-09,18.8
2018-03-12,18.8
2018-03-15,18.1
2018-03-16,18.1
2018-03-19,18.5
2018-03-20,18.7
2018-03-22,18.7
2018-03-27,18.5
2018-03-28,18.2
2018-03-29,18.2
2018-04-04,17.9
2018-04-05,17.7
2018-04-11,17.7
2018-04-12,18.0
2018-04-23,18.0
2018-05-11,17.6
2018-05-16,17.6
2018-05-29,17.4
2018-05-30,17.2
2018-06-08,17.7
2018-06-11,17.2
2018-06-13,16.7
2018-07-02,16.6
2018-07-24,16.8
2018-07-30,16.5
2018-08-14,16.2
2018-09-05,16.2
2018-09-13,16.2
