,AIMX FP Equity_PX_LAST
2024-07-10,19.32
2024-07-11,18.92
2024-07-12,18.61
2024-07-15,21.7
2024-07-16,21.74
2024-07-17,23.65
2024-07-18,22.54
2024-07-19,22.26
2024-07-22,23.24
2024-07-23,23.32
2024-07-24,22.97
2024-07-25,21.25
2024-07-26,22.08
2024-07-29,22.57
2024-07-30,22.01
2024-07-31,21.15
2024-08-01,19.86
2024-08-02,18.8
2024-08-05,15.0
2024-08-06,16.47
2024-08-07,16.05
2024-08-08,16.97
2024-08-09,17.17
2024-08-12,16.76
2024-08-13,17.01
2024-08-14,17.15
2024-08-15,17.25
2024-08-16,15.83
2024-08-19,15.63
2024-08-20,16.01
2024-08-21,16.48
2024-08-22,17.8
2024-08-23,19.31
2024-08-26,21.04
2024-08-27,20.05
2024-08-28,19.99
2024-08-29,21.27
2024-08-30,19.22
2024-09-02,18.03
2024-09-03,16.93
2024-09-04,17.46
2024-09-05,16.82
2024-09-06,16.66
2024-09-09,17.62
2024-09-10,18.15
2024-09-11,17.64
2024-09-12,17.79
2024-09-13,18.12
2024-09-16,17.68
2024-09-17,20.43
2024-09-18,18.83
2024-09-19,21.12
2024-09-20,22.46
2024-09-23,26.22
2024-09-24,24.77
2024-09-25,25.02
2024-09-26,25.86
2024-09-27,25.63
2024-09-30,25.07
2024-10-01,23.25
2024-10-02,23.02
2024-10-03,21.28
2024-10-04,22.07
2024-10-07,22.09
2024-10-08,20.58
2024-10-09,20.61
2024-10-10,20.37
2024-10-11,21.42
2024-10-14,23.7
2024-10-15,22.89
2024-10-16,22.1
2024-10-17,21.94
2024-10-18,22.19
2024-10-21,22.89
2024-10-22,21.95
2024-10-23,21.18
2024-10-24,21.68
2024-10-25,21.13
2024-10-28,19.19
2024-10-29,20.89
2024-10-30,20.08
2024-10-31,19.43
2024-11-01,16.72
2024-11-04,15.08
2024-11-05,15.68
2024-11-06,17.31
2024-11-07,17.84
2024-11-08,17.55
2024-11-11,19.74
2024-11-12,18.96
2024-11-13,19.27
2024-11-14,17.51
2024-11-15,18.19
2024-11-18,20.71
2024-11-19,20.54
2024-11-20,19.29
2024-11-21,20.84
2024-11-22,20.64
2024-11-25,26.33
2024-11-26,25.33
2024-11-27,26.14
2024-11-28,26.1
2024-11-29,29.66
2024-12-02,29.04
2024-12-03,30.44
2024-12-04,32.21
2024-12-05,31.96
2024-12-06,31.51
2024-12-09,28.5
2024-12-10,24.47
2024-12-11,28.13
2024-12-12,29.66
2024-12-13,28.4
2024-12-16,26.81
2024-12-17,26.52
2024-12-18,24.92
2024-12-19,22.65
2024-12-20,21.06
2024-12-23,20.09
2024-12-24,21.83
2024-12-27,20.61
2024-12-30,19.86
2024-12-31,20.75
2025-01-02,21.36
2025-01-03,22.49
2025-01-06,22.9
2025-01-07,20.5
2025-01-08,19.29
2025-01-09,19.21
2025-01-10,18.85
2025-01-13,17.63
2025-01-14,18.27
2025-01-15,20.68
2025-01-16,20.55
2025-01-17,21.38
2025-01-20,18.07
2025-01-21,18.37
2025-01-22,18.02
2025-01-23,18.17
2025-01-24,18.27
2025-01-27,16.99
2025-01-28,16.96
2025-01-29,15.71
2025-01-30,16.97
2025-01-31,17.7
2025-02-03,12.8
2025-02-04,12.58
2025-02-05,12.23
2025-02-06,11.52
2025-02-07,12.08
2025-02-10,12.46
2025-02-11,12.37
2025-02-12,11.74
2025-02-13,11.73
2025-02-14,12.17
2025-02-17,12.29
2025-02-18,10.8
2025-02-19,11.1
2025-02-20,10.87
2025-02-21,11.38
2025-02-24,10.08
2025-02-25,9.74
2025-02-26,10.86
2025-02-27,10.43
2025-02-28,10.81
2025-03-03,10.33
2025-03-04,8.4
2025-03-05,8.89
2025-03-06,9.11
2025-03-07,8.74
2025-03-10,7.6
2025-03-11,7.4
2025-03-12,7.42
2025-03-13,7.4
2025-03-14,7.75
2025-03-17,8.18
2025-03-18,7.94
2025-03-19,8.28
2025-03-20,8.03
2025-03-21,7.72
2025-03-24,8.94
2025-03-25,9.13
2025-03-26,9.5
2025-03-27,9.17
2025-03-28,8.24
2025-03-31,7.69
2025-04-01,7.73
2025-04-02,7.45
2025-04-03,6.55
2025-04-04,6.52
2025-04-07,5.55
2025-04-08,5.601
2025-04-09,5.553
2025-04-10,5.402
2025-04-11,5.653
2025-04-14,5.766
2025-04-15,5.679
2025-04-16,5.587
2025-04-17,5.592
2025-04-22,7.336
2025-04-23,8.09
2025-04-24,7.988
2025-04-25,8.224
2025-04-28,7.789
2025-04-29,7.852
2025-04-30,7.665
2025-05-02,8.736
2025-05-05,7.515
2025-05-06,7.225
2025-05-07,7.222
2025-05-08,8.173
2025-05-09,9.025
2025-05-12,9.895
2025-05-13,10.049
2025-05-14,9.969
2025-05-15,9.387
2025-05-16,9.457
2025-05-19,8.716
2025-05-20,8.821
2025-05-21,9.166
2025-05-22,9.786
2025-05-23,9.427
2025-05-26,8.598
2025-05-27,8.824
2025-05-28,8.612
2025-05-29,8.522
2025-05-30,7.949
2025-06-02,7.461
2025-06-03,7.991
2025-06-04,7.742
2025-06-05,7.319
2025-06-06,7.044
2025-06-09,7.129
2025-06-10,7.432
2025-06-11,7.395
2025-06-12,6.759
2025-06-13,6.185
2025-06-16,6.363
2025-06-17,5.621
2025-06-18,5.485
2025-06-19,5.469
2025-06-20,5.399
2025-06-23,5.153
2025-06-24,5.637
2025-06-25,5.481
2025-06-26,5.363
2025-06-27,5.419
2025-06-30,5.838
2025-07-01,5.593
2025-07-02,5.838
2025-07-03,6.072
2025-07-04,5.693
2025-07-07,5.509
2025-07-08,5.451
2025-07-09,5.657
2025-07-10,6.002
2025-07-11,6.751
2025-07-14,7.06
2025-07-15,6.839
2025-07-16,7.214
2025-07-17,7.343
2025-07-18,7.823
2025-07-21,8.679
2025-07-22,8.319
2025-07-23,7.816
2025-07-24,7.407
2025-07-25,7.141
2025-07-28,7.715
2025-07-29,7.572
2025-07-30,7.332
2025-07-31,7.258
2025-08-01,6.71
2025-08-04,6.851
2025-08-05,6.763
2025-08-06,6.67
2025-08-07,7.109
2025-08-08,7.133
2025-08-11,7.614
2025-08-12,7.709
2025-08-13,8.115
2025-08-14,7.636
2025-08-15,7.277
2025-08-18,7.344
2025-08-19,7.211
2025-08-20,7.312
2025-08-21,7.149
2025-08-22,7.532
2025-08-25,7.273
2025-08-26,7.057
2025-08-27,7.27
2025-08-28,7.401
2025-08-29,6.889
