,ALTHX FP Equity_DX_SI_QTY,ALTHX FP Equity_DX_SHORT_INTEREST_VALUE,ALTHX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTHX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTHX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTHX FP Equity_DX_SI_MV,ALTHX FP Equity_DX_DSS,ALTHX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTHX FP Equity_DX_SUPPLY_SI_QTY,ALTHX FP Equity_DX_BROKER_SI_QTY,ALTHX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTHX FP Equity_DX_BROKER_SI_MV_NEW_x,ALTHX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTHX FP Equity_DX_BROKER_SI_MV_INC_x,ALTHX FP Equity_DX_BROKER_SI_QTY_ADD,ALTHX FP Equity_DX_BROKER_SI_QTY_NEW,ALTHX FP Equity_DX_SUPPLY_SI_MV_DEC,ALTHX FP Equity_DX_BROKER_SI_QTY_INC,ALTHX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTHX FP Equity_DX_BROKER_SI_MV_NEW_y,ALTHX FP Equity_DX_BROKER_SI_MV_INC_y,ALTHX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTHX FP Equity_DX_BROKER_SI_MV_ADD,ALTHX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTHX FP Equity_DX_BROKER_SI_QTY_DEC,ALTHX FP Equity_DX_SUPPLY_SI_MV,ALTHX FP Equity_DX_BROKER_SI_MV_DEC,ALTHX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTHX FP Equity_DX_UTILIZATION_QUANTITY,ALTHX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTHX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTHX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTHX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTHX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTHX FP Equity_DX_BROKER_SI_CON_RATIO,ALTHX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTHX FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2314286.4,2.38,0.0,,0.0,,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2314286.4,2.38,0.0,,0.0,,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2283327.07,2.38,0.0,,0.0,,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2314286.4,2.38,0.0,,0.0,,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,117764.0,1766460.0,1.83,0.0,,0.0,,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2268613.73,2.38,0.0,,0.0,,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2283327.07,2.38,0.0,,0.0,,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,153264.0,2452224.0,2.38,0.0,,0.0,,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,154340.0,2454006.0,2.39,0.0,,0.0,,0.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,154340.0,2492591.0,2.39,0.0,,0.0,,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,154340.0,2492591.0,2.39,0.0,,0.0,,0.0
