,CI2 FP Equity_DX_SI_QTY,CI2 FP Equity_DX_SHORT_INTEREST_VALUE,CI2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CI2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CI2 FP Equity_DX_SI_MV,CI2 FP Equity_DX_DSS,CI2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CI2 FP Equity_DX_SUPPLY_SI_QTY,CI2 FP Equity_DX_BROKER_SI_QTY,CI2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CI2 FP Equity_DX_BROKER_SI_MV_NEW_x,CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CI2 FP Equity_DX_BROKER_SI_MV_INC_x,CI2 FP Equity_DX_BROKER_SI_QTY_ADD,CI2 FP Equity_DX_BROKER_SI_QTY_NEW,CI2 FP Equity_DX_SUPPLY_SI_MV_DEC,CI2 FP Equity_DX_BROKER_SI_QTY_INC,CI2 FP Equity_DX_SUPPLY_SI_QTY_DEC,CI2 FP Equity_DX_BROKER_SI_MV_NEW_y,CI2 FP Equity_DX_BROKER_SI_MV_INC_y,CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CI2 FP Equity_DX_BROKER_SI_MV_ADD,CI2 FP Equity_DX_SUPPLY_SI_QTY_ADD,CI2 FP Equity_DX_BROKER_SI_QTY_DEC,CI2 FP Equity_DX_SUPPLY_SI_MV,CI2 FP Equity_DX_BROKER_SI_MV_DEC,CI2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CI2 FP Equity_DX_UTILIZATION_QUANTITY,CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CI2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CI2 FP Equity_DX_ACTIVE_UTILIZATION_MV,CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CI2 FP Equity_DX_BROKER_SI_CON_RATIO,CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CI2 FP Equity_DX_DEMAND_SUPPLY_RATIO,CI2 FP Equity_PX_LAST
2009-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.26
2009-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.16
2009-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.28
2009-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.54
2009-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.86
2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.92
2009-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.02
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.52
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.4
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.98
2009-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.34
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.9
2009-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.61
2009-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.91
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.44
2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.88
2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.73
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.79
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.85
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.67
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.02
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.82
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3
