,ALBON FP Equity_DX_SI_QTY,ALBON FP Equity_DX_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBON FP Equity_DX_SI_MV,ALBON FP Equity_DX_DSS,ALBON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SUPPLY_SI_QTY,ALBON FP Equity_DX_BROKER_SI_QTY,ALBON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBON FP Equity_DX_BROKER_SI_MV_INC_x,ALBON FP Equity_DX_BROKER_SI_QTY_ADD,ALBON FP Equity_DX_SUPPLY_SI_MV_DEC,ALBON FP Equity_DX_BROKER_SI_QTY_INC,ALBON FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBON FP Equity_DX_BROKER_SI_MV_INC_y,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBON FP Equity_DX_BROKER_SI_MV_ADD,ALBON FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBON FP Equity_DX_BROKER_SI_QTY_DEC,ALBON FP Equity_DX_SUPPLY_SI_MV,ALBON FP Equity_DX_BROKER_SI_MV_DEC,ALBON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBON FP Equity_DX_UTILIZATION_QUANTITY,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBON FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBON FP Equity_DX_BROKER_SI_CON_RATIO,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBON FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBON FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.3796
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2272
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.1782
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6174
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.2943
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8552
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.2943
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8552
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.4831
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5123
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6592
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.897
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4215
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4215
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4215
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2745
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0858
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.1347
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.5794
