,EQUA FP Equity_DX_SI_QTY,EQUA FP Equity_DX_SHORT_INTEREST_VALUE,EQUA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EQUA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EQUA FP Equity_DX_SI_MV,EQUA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EQUA FP Equity_DX_SUPPLY_SI_QTY,EQUA FP Equity_DX_BROKER_SI_QTY,EQUA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EQUA FP Equity_DX_SUPPLY_SI_MV,EQUA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EQUA FP Equity_DX_UTILIZATION_QUANTITY,EQUA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EQUA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EQUA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EQUA FP Equity_DX_ACTIVE_UTILIZATION_MV,EQUA FP Equity_DX_BROKER_SI_CON_RATIO,EQUA FP Equity_DX_DEMAND_SUPPLY_RATIO,EQUA FP Equity_PX_LAST
2016-06-14,,,,,,,,,,,,,,,,,,,93.072
2016-06-15,,,,,,,,,,,,,,,,,,,93.691
2016-06-16,,,,,,,,,,,,,,,,,,,92.968
2016-06-17,,,,,,,,,,,,,,,,,,,94.003
2016-06-20,,,,,,,,,,,,,,,,,,,97.707
2016-06-21,,,,,,,,,,,,,,,,,,,98.146
2016-06-22,,,,,,,,,,,,,,,,,,,98.486
2016-06-23,,,,,,,,,,,,,,,,,,,99.691
2016-06-24,,,,,,,,,,,,,,,,,,,92.763
2016-06-27,,,,,,,,,,,,,,,,,,,89.337
2016-06-28,,,,,,,,,,,,,,,,,,,91.697
2016-06-29,,,,,,,,,,,,,,,,,,,94.616
2016-06-30,,,,,,,,,,,,,,,,,,,95.834
2016-07-01,,,,,,,,,,,,,,,,,,,96.781
2016-07-04,,,,,,,,,,,,,,,,,,,96.18
2016-07-05,,,,,,,,,,,,,,,,,,,94.486
2016-07-06,,,,,,,,,,,,,,,,,,,92.834
2016-07-07,,,,,,,,,,,,,,,,,,,94.058
2016-07-08,,,,,,,,,,,,,,,,,,,95.548
2016-07-11,,,,,,,,,,,,,,,,,,,96.989
2016-07-12,,,,,,,,,,,,,,,,,,,97.827
2016-07-13,,,,,,,,,,,,,,,,,,,98.167
2016-07-14,,,,,,,,,,,,,,,,,,,98.777
2016-07-15,,,,,,,,,,,,,,,,,,,98.626
2016-07-18,,,,,,,,,,,,,,,,,,,99.188
2016-07-19,,,,,,,,,,,,,,,,,,,98.633
2016-07-20,,,,,,,,,,,,,,,,,,,100.112
2016-07-21,,,,,,,,,,,,,,,,,,,100.035
2016-07-22,,,,,,,,,,,,,,,,,,,100.025
2016-07-25,,,,,,,,,,,,,,,,,,,100.234
2016-07-26,,,,,,,,,,,,,,,,,,,100.458
2016-07-27,,,,,,,,,,,,,,,,,,,100.793
2016-07-28,,,,,,,,,,,,,,,,,,,99.814
2016-07-29,,,,,,,,,,,,,,,,,,,100.36
2016-08-01,,,,,,,,,,,,,,,,,,,99.93
2016-08-02,,,,,,,,,,,,,,,,,,,98.854
2016-08-03,,,,,,,,,,,,,,,,,,,98.651
2016-08-04,,,,,,,,,,,,,,,,,,,99.339
2016-08-05,,,,,,,,,,,,,,,,,,,100.094
2016-08-08,,,,,,,,,,,,,,,,,,,100.03
2016-08-09,,,,,,,,,,,,,,,,,,,101.261
2016-08-10,,,,,,,,,,,,,,,,,,,100.982
2016-08-11,,,,,,,,,,,,,,,,,,,102.037
2016-08-12,,,,,,,,,,,,,,,,,,,101.793
2016-08-15,,,,,,,,,,,,,,,,,,,101.798
2016-08-16,,,,,,,,,,,,,,,,,,,101.119
2016-08-17,,,,,,,,,,,,,,,,,,,100.109
2016-08-18,,,,,,,,,,,,,,,,,,,101.327
2016-08-19,,,,,,,,,,,,,,,,,,,100.518
2016-08-22,,,,,,,,,,,,,,,,,,,100.773
2016-08-23,,,,,,,,,,,,,,,,,,,101.636
2016-08-24,,,,,,,,,,,,,,,,,,,101.65
2016-08-25,,,,,,,,,,,,,,,,,,,100.816
2016-08-26,,,,,,,,,,,,,,,,,,,101.189
2016-08-29,,,,,,,,,,,,,,,,,,,100.862
2016-08-30,,,,,,,,,,,,,,,,,,,101.066
2016-08-31,,,,,,,,,,,,,,,,,,,100.339
2016-09-01,,,,,,,,,,,,,,,,,,,100.545
2016-09-02,,,,,,,,,,,,,,,,,,,102.386
2016-09-05,,,,,,,,,,,,,,,,,,,102.483
2016-09-06,,,,,,,,,,,,,,,,,,,102.418
2016-09-07,,,,,,,,,,,,,,,,,,,102.605
2016-09-08,,,,,,,,,,,,,,,,,,,101.936
2016-09-09,,,,,,,,,,,,,,,,,,,100.713
2016-09-12,,,,,,,,,,,,,,,,,,,99.974
2016-09-13,,,,,,,,,,,,,,,,,,,99.346
2016-09-14,,,,,,,,,,,,,,,,,,,99.383
2016-09-15,,,,,,,,,,,,,,,,,,,99.974
2016-09-16,,,,,,,,,,,,,,,,,,,99.442
2016-09-19,,,,,,,,,,,,,,,,,,,100.308
2016-09-20,,,,,,,,,,,,,,,,,,,100.47
2016-09-21,,,,,,,,,,,,,,,,,,,100.653
2016-09-22,,,,,,,,,,,,,,,,,,,102.154
2016-09-23,,,,,,,,,,,,,,,,,,,101.269
2016-09-26,,,,,,,,,,,,,,,,,,,99.955
2016-09-27,,,,,,,,,,,,,,,,,,,100.147
2016-09-28,,,,,,,,,,,,,,,,,,,100.748
2016-09-29,,,,,,,,,,,,,,,,,,,100.633
2016-09-30,,,,,,,,,,,,,,,,,,,100.721
2016-10-03,,,,,,,,,,,,,,,,,,,100.864
2016-10-04,,,,,,,,,,,,,,,,,,,101.914
2016-10-05,,,,,,,,,,,,,,,,,,,100.968
2016-10-06,,,,,,,,,,,,,,,,,,,100.421
2016-10-07,,,,,,,,,,,,,,,,,,,99.222
2016-10-10,,,,,,,,,,,,,,,,,,,100.038
2016-10-11,,,,,,,,,,,,,,,,,,,99.427
2016-10-12,,,,,,,,,,,,,,,,,,,99.065
2016-10-13,,,,,,,,,,,,,,,,,,,98.226
2016-10-14,,,,,,,,,,,,,,,,,,,99.302
2016-10-17,,,,,,,,,,,,,,,,,,,98.515
2016-10-18,,,,,,,,,,,,,,,,,,,99.172
2016-10-19,,,,,,,,,,,,,,,,,,,99.673
2016-10-20,,,,,,,,,,,,,,,,,,,99.61
2016-10-21,,,,,,,,,,,,,,,,,,,99.914
2016-10-24,,,,,,,,,,,,,,,,,,,99.506
2016-10-25,,,,,,,,,,,,,,,,,,,98.909
2016-10-26,,,,,,,,,,,,,,,,,,,98.875
2016-10-27,,,,,,,,,,,,,,,,,,,98.95
2016-10-28,,,,,,,,,,,,,,,,,,,98.39
2016-10-31,,,,,,,,,,,,,,,,,,,98.174
2016-11-01,,,,,,,,,,,,,,,,,,,97.351
2016-11-02,,,,,,,,,,,,,,,,,,,96.242
2016-11-03,,,,,,,,,,,,,,,,,,,96.102
2016-11-04,,,,,,,,,,,,,,,,,,,95.235
2016-11-07,,,,,,,,,,,,,,,,,,,96.153
2016-11-08,,,,,,,,,,,,,,,,,,,96.307
2016-11-09,,,,,,,,,,,,,,,,,,,96.86
2016-11-10,,,,,,,,,,,,,,,,,,,95.555
2016-11-11,,,,,,,,,,,,,,,,,,,95.214
2016-11-14,,,,,,,,,,,,,,,,,,,94.744
2016-11-15,,,,,,,,,,,,,,,,,,,95.636
2016-11-16,,,,,,,,,,,,,,,,,,,95.676
2016-11-17,,,,,,,,,,,,,,,,,,,96.454
2016-11-18,,,,,,,,,,,,,,,,,,,96.184
2016-11-21,,,,,,,,,,,,,,,,,,,96.446
2016-11-22,,,,,,,,,,,,,,,,,,,96.752
2016-11-23,,,,,,,,,,,,,,,,,,,96.787
2016-11-24,,,,,,,,,,,,,,,,,,,97.183
2016-11-25,,,,,,,,,,,,,,,,,,,97.668
2016-11-28,,,,,,,,,,,,,,,,,,,97.244
2016-11-29,,,,,,,,,,,,,,,,,,,97.72
2016-11-30,,,,,,,,,,,,,,,,,,,97.704
2016-12-01,,,,,,,,,,,,,,,,,,,97.035
2016-12-02,,,,,,,,,,,,,,,,,,,96.952
2016-12-05,,,,,,,,,,,,,,,,,,,97.041
2016-12-06,,,,,,,,,,,,,,,,,,,97.67
2016-12-07,,,,,,,,,,,,,,,,,,,98.106
2016-12-08,,,,,,,,,,,,,,,,,,,98.795
2016-12-09,,,,,,,,,,,,,,,,,,,99.786
2016-12-12,,,,,,,,,,,,,,,,,,,99.338
2016-12-13,,,,,,,,,,,,,,,,,,,100.505
2016-12-14,,,,,,,,,,,,,,,,,,,100.16
2016-12-15,,,,,,,,,,,,,,,,,,,100.962
2016-12-16,,,,,,,,,,,,,,,,,,,101.515
2016-12-19,,,,,,,,,,,,,,,,,,,101.583
2016-12-20,,,,,,,,,,,,,,,,,,,101.676
2016-12-21,,,,,,,,,,,,,,,,,,,101.552
2016-12-22,,,,,,,,,,,,,,,,,,,101.362
2016-12-23,,,,,,,,,,,,,,,,,,,101.693
2016-12-27,,,,,,,,,,,,,,,,,,,101.887
2016-12-28,,,,,,,,,,,,,,,,,,,102.252
2016-12-29,,,,,,,,,,,,,,,,,,,102.053
2016-12-30,,,,,,,,,,,,,,,,,,,102.058
2017-01-02,,,,,,,,,,,,,,,,,,,103.276
