,ALIKO FP Equity_DX_SI_QTY,ALIKO FP Equity_DX_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALIKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALIKO FP Equity_DX_SI_MV,ALIKO FP Equity_DX_DSS,ALIKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SUPPLY_SI_QTY,ALIKO FP Equity_DX_BROKER_SI_QTY,ALIKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALIKO FP Equity_DX_BROKER_SI_QTY_ADD,ALIKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALIKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALIKO FP Equity_DX_BROKER_SI_MV_ADD,ALIKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALIKO FP Equity_DX_BROKER_SI_QTY_DEC,ALIKO FP Equity_DX_SUPPLY_SI_MV,ALIKO FP Equity_DX_BROKER_SI_MV_DEC,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALIKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALIKO FP Equity_DX_BROKER_SI_CON_RATIO,ALIKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALIKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALIKO FP Equity_PX_LAST
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
