,EVOE FP Equity_DX_SI_QTY,EVOE FP Equity_DX_SHORT_INTEREST_VALUE,EVOE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EVOE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EVOE FP Equity_DX_SI_MV,EVOE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EVOE FP Equity_DX_SUPPLY_SI_QTY,EVOE FP Equity_DX_BROKER_SI_QTY,EVOE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EVOE FP Equity_DX_SUPPLY_SI_MV,EVOE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EVOE FP Equity_DX_UTILIZATION_QUANTITY,EVOE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EVOE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EVOE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EVOE FP Equity_DX_ACTIVE_UTILIZATION_MV,EVOE FP Equity_DX_BROKER_SI_CON_RATIO,EVOE FP Equity_DX_DEMAND_SUPPLY_RATIO,EVOE FP Equity_PX_LAST
2016-06-13,,,,,,,,,,,,,,,,,,,95.735
2016-06-14,,,,,,,,,,,,,,,,,,,94.233
2016-06-15,,,,,,,,,,,,,,,,,,,94.743
2016-06-16,,,,,,,,,,,,,,,,,,,94.207
2016-06-17,,,,,,,,,,,,,,,,,,,94.942
2016-06-20,,,,,,,,,,,,,,,,,,,98.535
2016-06-21,,,,,,,,,,,,,,,,,,,99.226
2016-06-22,,,,,,,,,,,,,,,,,,,99.4
2016-06-23,,,,,,,,,,,,,,,,,,,100.244
2016-06-24,,,,,,,,,,,,,,,,,,,95.14
2016-06-27,,,,,,,,,,,,,,,,,,,92.594
2016-06-28,,,,,,,,,,,,,,,,,,,94.741
2016-06-29,,,,,,,,,,,,,,,,,,,97.785
2016-06-30,,,,,,,,,,,,,,,,,,,98.924
2016-07-01,,,,,,,,,,,,,,,,,,,99.598
2016-07-04,,,,,,,,,,,,,,,,,,,99.291
2016-07-05,,,,,,,,,,,,,,,,,,,98.301
2016-07-06,,,,,,,,,,,,,,,,,,,96.873
2016-07-07,,,,,,,,,,,,,,,,,,,97.533
