,PTPXE FP Equity_DX_SI_QTY,PTPXE FP Equity_DX_SHORT_INTEREST_VALUE,PTPXE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PTPXE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PTPXE FP Equity_DX_SI_MV,PTPXE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PTPXE FP Equity_DX_SUPPLY_SI_QTY,PTPXE FP Equity_DX_BROKER_SI_QTY,PTPXE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PTPXE FP Equity_DX_BROKER_SI_QTY_ADD,PTPXE FP Equity_DX_BROKER_SI_MV_ADD,PTPXE FP Equity_DX_SUPPLY_SI_QTY_ADD,PTPXE FP Equity_DX_SUPPLY_SI_MV,PTPXE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PTPXE FP Equity_DX_UTILIZATION_QUANTITY,PTPXE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PTPXE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PTPXE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PTPXE FP Equity_DX_ACTIVE_UTILIZATION_MV,PTPXE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PTPXE FP Equity_DX_BROKER_SI_CON_RATIO,PTPXE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PTPXE FP Equity_DX_DEMAND_SUPPLY_RATIO,PTPXE FP Equity_PX_LAST
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,19.238
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,19.424
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,19.22
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,19.28
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,19.212
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,19.079
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,19.236
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,19.349
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,19.258
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,19.167
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,19.184
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,19.049
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,18.994
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,19.073
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,19.185
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,19.144
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,19.241
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,19.475
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,19.49
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,19.351
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,19.285
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,19.357
