,MLCMB FP Equity_DX_SI_QTY,MLCMB FP Equity_DX_SHORT_INTEREST_VALUE,MLCMB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCMB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCMB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCMB FP Equity_DX_SI_MV,MLCMB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCMB FP Equity_DX_SUPPLY_SI_QTY,MLCMB FP Equity_DX_BROKER_SI_QTY,MLCMB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCMB FP Equity_DX_SUPPLY_SI_MV,MLCMB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCMB FP Equity_DX_UTILIZATION_QUANTITY,MLCMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCMB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCMB FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCMB FP Equity_DX_BROKER_SI_CON_RATIO,MLCMB FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCMB FP Equity_PX_LAST
1992-04-14,,,,,,,,,,,,,,,,,,,,27.2884
1992-04-15,,,,,,,,,,,,,,,,,,,,26.6786
1992-05-05,,,,,,,,,,,,,,,,,,,,26.6786
1992-05-13,,,,,,,,,,,,,,,,,,,,29.3464
1992-05-19,,,,,,,,,,,,,,,,,,,,30.3069
1992-05-21,,,,,,,,,,,,,,,,,,,,30.3374
1992-05-22,,,,,,,,,,,,,,,,,,,,27.3951
1992-05-25,,,,,,,,,,,,,,,,,,,,25.9163
1992-05-26,,,,,,,,,,,,,,,,,,,,27.4256
1992-05-29,,,,,,,,,,,,,,,,,,,,27.4256
1992-06-02,,,,,,,,,,,,,,,,,,,,29.7276
1992-06-04,,,,,,,,,,,,,,,,,,,,26.8463
1992-06-05,,,,,,,,,,,,,,,,,,,,25.9163
1992-06-16,,,,,,,,,,,,,,,,,,,,28.5689
1992-06-17,,,,,,,,,,,,,,,,,,,,29.7276
1992-07-01,,,,,,,,,,,,,,,,,,,,29.7276
1992-07-15,,,,,,,,,,,,,,,,,,,,27.5933
1992-07-20,,,,,,,,,,,,,,,,,,,,27.5933
1992-07-21,,,,,,,,,,,,,,,,,,,,28.2031
1992-07-23,,,,,,,,,,,,,,,,,,,,29.1025
1992-07-24,,,,,,,,,,,,,,,,,,,,28.9653
1992-07-27,,,,,,,,,,,,,,,,,,,,28.9653
1992-08-11,,,,,,,,,,,,,,,,,,,,26.145
1992-08-12,,,,,,,,,,,,,,,,,,,,25.9163
1992-08-13,,,,,,,,,,,,,,,,,,,,25.9316
1992-08-21,,,,,,,,,,,,,,,,,,,,28.3555
1992-09-25,,,,,,,,,,,,,,,,,,,,25.5962
1992-09-28,,,,,,,,,,,,,,,,,,,,23.1265
1992-10-05,,,,,,,,,,,,,,,,,,,,25.4742
1992-10-06,,,,,,,,,,,,,,,,,,,,27.1359
1992-11-12,,,,,,,,,,,,,,,,,,,,25.9163
1992-11-13,,,,,,,,,,,,,,,,,,,,25.9163
1992-11-23,,,,,,,,,,,,,,,,,,,,25.9163
1992-11-24,,,,,,,,,,,,,,,,,,,,25.9163
1992-11-27,,,,,,,,,,,,,,,,,,,,25.9163
1992-12-04,,,,,,,,,,,,,,,,,,,,25.9316
1992-12-08,,,,,,,,,,,,,,,,,,,,25.9163
1992-12-14,,,,,,,,,,,,,,,,,,,,25.9316
1992-12-16,,,,,,,,,,,,,,,,,,,,26.6786
1992-12-22,,,,,,,,,,,,,,,,,,,,25.9316
