,CDA FP Equity_DX_SI_QTY,CDA FP Equity_DX_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CDA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CDA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CDA FP Equity_DX_SI_MV,CDA FP Equity_DX_DSS,CDA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY,CDA FP Equity_DX_BROKER_SI_QTY,CDA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CDA FP Equity_DX_BROKER_SI_MV_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CDA FP Equity_DX_BROKER_SI_MV_INC_x,CDA FP Equity_DX_SUPPLY_SI_MV_NEW,CDA FP Equity_DX_BROKER_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_NEW,CDA FP Equity_DX_SUPPLY_SI_MV_DEC,CDA FP Equity_DX_BROKER_SI_QTY_INC,CDA FP Equity_DX_SUPPLY_SI_QTY_DEC,CDA FP Equity_DX_BROKER_SI_MV_NEW_y,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CDA FP Equity_DX_BROKER_SI_MV_INC_y,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CDA FP Equity_DX_BROKER_SI_MV_ADD,CDA FP Equity_DX_SUPPLY_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_DEC,CDA FP Equity_DX_SUPPLY_SI_MV,CDA FP Equity_DX_BROKER_SI_MV_DEC,CDA FP Equity_DX_SUPPLY_SI_MV_RMV,CDA FP Equity_DX_BROKER_SI_MV_RMV,CDA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CDA FP Equity_DX_UTILIZATION_QUANTITY,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CDA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CDA FP Equity_DX_ACTIVE_UTILIZATION_MV,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CDA FP Equity_DX_BROKER_SI_CON_RATIO,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CDA FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,1038.0,43841.99,0.03,0.2,0.02,0.06,0.0,42236.98,38.0,1000.0,1605.01,0.06,,,,,,1000.0,0.01,,104.0,0.06,,,,,,,0.0,,,,0.71,0.71,5273.0,222715.61,,0.32,0.71,3.64,0.9298,96.36,0.1954
2006-01-11,2369.0,98337.08,0.08,0.44,0.04,0.14,0.0,41509.95,1369.0,1000.0,56827.13,,,353.0,,,,,,,,,,,353.0,,978.0,,0.08,,,,26.03,26.03,3890.0,161473.72,,0.24,26.14,42.22,0.5121,57.78,0.4505
2006-01-18,2399.0,100911.25,0.08,0.42,0.04,0.15,0.0,42063.88,1399.0,1000.0,58847.37,,,30.0,,,,,,,,,,,30.0,,,,0.09,,,,33.44,33.44,2784.0,117105.84,,0.17,33.46,41.69,0.5138,58.31,0.5735
2006-01-25,1050.0,44203.43,0.04,0.2,0.02,0.06,0.0,42098.5,50.0,1000.0,2104.93,,,,,,,,0.02,,401.0,,,,,,50.0,,0.0,,0.06,,1.93,1.93,2524.0,106256.62,998.0,0.15,1.93,,1.0,100.0,0.4079
2006-02-01,2053.0,86499.3,0.04,0.58,0.03,0.12,0.0,84350.51,50.0,2002.0,2106.66,,,0.0,,,1002.0,,,,,,,,0.0,0.06,,,0.0,,,,1.98,1.98,2486.0,104742.94,,0.15,1.97,49.94,0.5,50.06,0.8095
2006-02-08,1050.0,44130.72,0.02,0.39,0.02,0.06,0.0,42029.26,50.0,1000.0,2101.46,,,0.0,,,,,,,,,,,0.0,,,1002.0,0.0,0.06,,,1.99,1.99,2486.0,104484.74,,0.15,1.98,,1.0,100.0,0.414
2006-02-15,2060.0,89646.96,0.04,0.91,0.03,0.13,0.0,87471.06,50.0,2010.0,2175.9,0.06,,,,,1010.0,1000.0,0.0,,1.0,0.06,,,,0.06,,,0.0,,,0.06,5.18,5.18,907.0,39470.77,,0.06,5.18,49.74,0.5,50.26,2.1526
2006-02-22,2423.0,111232.06,0.05,1.07,0.04,0.16,0.0,109028.54,439.0,2375.0,20153.06,,,390.0,,,400.0,,,,,,,,390.0,0.03,,36.0,0.03,0.0,,,35.47,35.47,799.0,36679.5,,0.05,35.52,41.04,0.3736,41.99,1.9556
2006-03-01,450.0,20254.72,0.01,0.21,0.01,0.03,0.0,18004.19,446.0,400.0,20074.67,,,6.0,,,,,,,,,,,6.0,,,1975.0,0.03,0.13,,,2.09,1.84,20829.0,937523.31,,0.0,0.0,,1.0,100.0,0.0185
2006-03-08,451.0,20540.06,0.01,0.22,0.01,0.03,0.0,18217.34,456.0,400.0,20767.77,,,10.0,,,,,,,,,,,10.0,,,,0.03,,,,2.12,1.83,21056.0,958960.98,,0.0,0.0,,1.0,100.0,0.0181
2006-03-15,449.0,21406.02,0.01,0.15,0.01,0.03,0.0,19069.95,442.0,400.0,21072.29,,,,,,,,0.0,,14.0,,,,,,,,0.03,,,,1.89,1.51,22989.0,1095997.68,,0.0,0.0,,1.0,100.0,0.0154
2006-03-22,450.0,21421.72,0.01,0.15,0.01,0.03,0.0,19041.53,453.0,400.0,21564.53,,,10.0,,,,,,,,,,,10.0,,,,0.03,,,,1.95,1.53,22796.0,1085176.77,,0.0,0.0,,1.0,100.0,0.0152
2006-03-29,1780.0,86568.62,0.03,0.59,0.03,0.12,0.0,19453.62,1774.0,400.0,86276.81,,,,,,,,0.0,,9.0,,,,,,1330.0,,0.12,,,,7.27,5.82,22623.0,1100248.24,,0.0,177.52,23.21,0.6436,76.79,0.0584
2006-04-05,1783.0,86144.45,0.03,0.57,0.03,0.12,0.0,19325.73,1781.0,400.0,86047.82,,,7.0,,,,,,,,,,,7.0,,,,0.12,,,,7.09,5.7,23355.0,1128381.14,,0.0,177.97,22.96,0.6462,77.04,0.0571
2006-04-12,2781.0,133077.8,0.05,0.69,0.04,0.19,0.0,66993.5,1777.0,1400.0,85033.89,0.07,,,,,,1000.0,0.0,,4.0,0.07,,,,,,,0.12,,,,7.14,6.7,23096.0,1105201.35,,0.0,178.14,36.69,0.392,48.54,0.1048
2006-04-19,2780.0,132832.43,0.05,0.7,0.04,0.19,0.0,66894.03,1774.0,1400.0,84764.29,,,,,,,,0.0,,3.0,,,,,,,,0.12,,,,7.04,6.54,23410.0,1118563.74,,0.0,178.12,37.08,0.3928,48.4,0.1025
2006-04-26,2781.0,136140.47,0.05,0.74,0.04,0.19,0.0,68535.3,1774.0,1400.0,86844.01,,,1.0,,,,,0.0,,1.0,,,,1.0,,,,0.12,,,,87.34,42.1,257.0,12581.12,,0.0,177.89,36.7,0.3921,48.55,0.6598
2006-05-03,1450.0,70982.99,0.03,0.38,0.02,0.1,0.0,19581.51,1446.0,400.0,70787.17,,,3.0,,,,,0.02,,332.0,,,,3.0,,,1000.0,0.1,0.07,,,42.6,14.47,1948.0,95361.97,,0.0,144.73,28.79,0.59,71.21,0.1451
2006-05-10,1479.0,76500.91,0.03,0.37,0.02,0.11,0.0,22241.64,1472.0,430.0,76138.83,,,26.0,,,30.0,,,,,,,,26.0,0.0,,,0.11,,,,12.74,12.74,10080.0,521385.5,,0.73,12.74,27.97,0.5677,69.93,0.128
2006-05-17,3630.0,182731.54,0.07,0.9,0.06,0.25,0.0,21645.88,3634.0,430.0,182932.9,,,,,,,,0.08,,1039.0,,,,,,3200.0,,0.25,,,,51.29,24.34,3451.0,173720.81,,0.0,113.57,11.15,0.7875,88.03,0.2432
2006-05-24,4172.0,198603.15,0.08,1.56,0.07,0.29,0.0,46270.92,3668.0,972.0,174610.83,,,34.0,0.04,,,,,542.0,,,,0.04,34.0,,,,0.25,,,,52.95,24.83,3259.0,155140.86,,0.0,114.64,13.85,0.6148,76.58,0.2825
2006-05-31,972.0,48342.75,0.02,0.36,0.02,0.07,0.0,48342.75,463.0,972.0,23027.46,,,,,,,,0.22,,3204.0,,,,,,,,0.03,,,,2.89,2.89,15589.0,775324.19,,1.09,2.87,40.72,0.5172,59.28,0.0605
2006-06-07,1472.0,74047.11,0.03,0.56,0.02,0.1,0.0,74047.11,478.0,1472.0,24045.19,,,15.0,0.04,,,,,500.0,,,,0.04,15.0,,,,0.03,,,,2.71,2.71,17198.0,865123.76,,1.23,2.69,27.42,0.6019,72.58,0.0833
2006-06-14,1472.0,73367.3,0.03,0.61,0.02,0.1,0.0,73367.3,470.0,1472.0,23425.7,,,,,,,,0.0,,9.0,,,,,,,,0.03,,,,2.65,2.65,17224.0,858477.13,,1.2,2.71,27.76,0.5989,72.24,0.0832
2006-06-21,1472.0,73210.42,0.03,0.65,0.02,0.1,0.0,73210.42,468.0,1472.0,23276.14,,,,,,,,0.0,,2.0,,,,,,,,0.03,,,,2.62,2.62,17364.0,863604.41,,1.21,2.64,26.85,0.6072,73.15,0.0825
2006-06-28,1472.0,72530.61,0.03,0.75,0.02,0.1,0.0,72530.61,470.0,1472.0,23158.55,,,2.0,,,,,,,,,,,2.0,,,,0.03,,,,2.41,2.41,19035.0,937921.27,,1.31,2.44,26.51,0.6103,73.49,0.0755
2006-07-03,16266.0,766811.7,0.3,6.33,0.26,1.13,0.0,366529.02,8954.0,7775.0,422109.43,,,18.0,0.24,,2803.0,,,3500.0,,,,0.24,18.0,0.2,8467.0,,0.62,,,,77.77,45.26,2560.0,120683.51,,0.0,179.1,28.19,0.2598,30.73,0.8223
2006-07-04,16100.0,742971.35,0.29,6.36,0.25,1.1,0.0,355241.83,8861.0,7698.0,408911.13,,,,,,,,0.01,,93.0,,,,,,,76.0,0.59,0.01,,,76.94,44.79,2656.0,122567.2,,0.0,179.27,29.21,0.2605,30.25,0.8138
2006-07-05,16270.0,746770.42,0.3,6.14,0.26,1.09,0.0,516175.79,8942.0,11246.0,410425.39,,,81.0,0.24,,,,,3548.0,,,,0.24,81.0,,,,0.59,,,,77.95,44.72,2530.0,116123.49,,0.0,180.84,27.9,0.2589,29.97,0.8137
2006-07-06,16298.0,757898.42,0.3,6.06,0.26,1.08,0.0,521619.01,8908.0,11217.0,414244.64,,,55.0,,,,,0.01,,89.0,,,,55.0,,,29.0,0.58,0.0,,,77.38,43.8,2604.0,121092.62,,0.0,180.56,27.91,0.259,29.87,0.8014
