,SAMS FP Equity_DX_SI_QTY,SAMS FP Equity_DX_SHORT_INTEREST_VALUE,SAMS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SAMS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SAMS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SAMS FP Equity_DX_SI_MV,SAMS FP Equity_DX_DSS,SAMS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SAMS FP Equity_DX_SUPPLY_SI_QTY,SAMS FP Equity_DX_BROKER_SI_QTY,SAMS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SAMS FP Equity_DX_BROKER_SI_MV_NEW_x,SAMS FP Equity_DX_SUPPLY_SI_QTY_INC_x,SAMS FP Equity_DX_BROKER_SI_MV_INC_x,SAMS FP Equity_DX_BROKER_SI_QTY_ADD,SAMS FP Equity_DX_BROKER_SI_QTY_NEW,SAMS FP Equity_DX_SUPPLY_SI_MV_DEC,SAMS FP Equity_DX_BROKER_SI_QTY_INC,SAMS FP Equity_DX_SUPPLY_SI_QTY_DEC,SAMS FP Equity_DX_BROKER_SI_MV_NEW_y,SAMS FP Equity_DX_BROKER_SI_MV_INC_y,SAMS FP Equity_DX_SUPPLY_SI_QTY_INC_y,SAMS FP Equity_DX_BROKER_SI_MV_ADD,SAMS FP Equity_DX_SUPPLY_SI_QTY_ADD,SAMS FP Equity_DX_BROKER_SI_QTY_DEC,SAMS FP Equity_DX_SUPPLY_SI_MV,SAMS FP Equity_DX_BROKER_SI_MV_DEC,SAMS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SAMS FP Equity_DX_UTILIZATION_QUANTITY,SAMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SAMS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SAMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SAMS FP Equity_DX_ACTIVE_UTILIZATION_MV,SAMS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SAMS FP Equity_DX_BROKER_SI_CON_RATIO,SAMS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SAMS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.58,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.57,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.57,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.58,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.57,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.57,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.56,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.59,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.63,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.63,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.63,0.0,,0.0,,0.0
