,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_y,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2015-06-10,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,83800.0,1381648.28,,1.44,0.0,0.0,0.0,0.0,0.0
2015-06-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2195675.0,35786168.92,,35.74,0.0,,0.0,,0.0
2015-06-12,23146.0,380525.05,0.02,0.08,0.02,0.4,0.0,380525.05,23146.0,23146.0,380525.05,,,,,,23146.0,,,,,,,,,0.4,23146.0,,0.02,,,,0.87,0.87,2648614.0,43543764.22,,43.86,0.05,,1.0,100.0,0.0087
2015-06-15,269785.0,4445517.57,0.18,0.93,0.18,4.87,0.0,4445517.57,268565.0,269785.0,4425414.41,,,,4.02,,26639.0,,,220000.0,,,,4.02,,0.46,245419.0,,4.29,,,,3.37,3.37,7701007.0,126897203.05,,131.94,3.15,9.39,0.8298,90.61,0.0339
2015-06-16,360125.0,5954555.82,0.24,1.18,0.24,6.49,0.0,5954555.82,261905.0,360125.0,4330518.41,,,,1.58,,,,0.11,90340.0,6660.0,,,1.58,,,,,4.2,,,,3.38,3.38,7489734.0,123840442.1,,128.61,3.16,31.35,0.5695,68.65,0.0465
2015-06-17,341146.0,5801908.02,0.23,1.07,0.23,6.13,0.0,5801908.02,241926.0,341146.0,4114462.43,,,,,,1000.0,,0.35,,19979.0,,,,,0.02,,19979.0,3.84,0.34,,,3.03,3.03,7740493.0,131643426.69,,133.24,2.8,27.65,0.5958,72.06,0.0427
2015-06-18,244146.0,4081861.19,0.16,0.75,0.16,4.58,0.0,4081861.19,144926.0,244146.0,2423008.42,,,,,,,,1.7,,97000.0,,,,,,,97000.0,2.21,1.7,,,1.82,1.82,7839233.0,131063629.63,,138.05,1.58,0.39,0.9922,99.61,0.0306
2015-06-19,303637.0,5207021.52,0.2,0.89,0.2,5.59,0.0,5207021.52,205417.0,303637.0,3522662.72,,,,0.02,,58491.0,,,1000.0,,,,0.02,,1.04,60491.0,,3.28,,,,2.54,2.54,7880742.0,135145562.53,,138.8,2.31,18.67,0.6861,80.7,0.0376
2015-06-22,303637.0,5221365.93,0.38,0.87,0.2,5.72,0.0,5221365.93,205417.0,303637.0,3532367.02,,,,,,,,,,,,,,,,,,3.34,,,,2.48,2.48,8066881.0,138718725.36,,143.04,2.28,18.58,0.6873,80.79,0.0367
2015-06-23,103637.0,1791942.1,0.13,0.3,0.07,1.92,0.0,1791942.1,103637.0,103637.0,1791942.1,,,,,,,,2.21,,121780.0,,,,,,20000.0,200000.0,1.5,3.83,,,1.25,1.25,8193993.0,141678754.23,,146.78,1.01,41.44,0.4934,56.69,0.0125
2015-06-24,103064.0,1814169.66,0.12,0.29,0.07,1.88,0.0,1814169.66,103064.0,103064.0,1814169.66,,,,,,,,0.0,,573.0,,,,,,,573.0,1.5,0.03,,,1.24,1.24,8190166.0,144166252.78,,147.52,1.01,41.87,0.4917,56.22,0.0124
2015-06-25,103064.0,1811248.29,0.12,0.28,0.07,1.92,0.0,1811248.29,103064.0,103064.0,1811248.29,,,,,,,,,,,,,,,,,,1.51,,,,1.24,1.24,8186396.0,143867846.97,,149.68,1.0,41.89,0.4918,56.21,0.0124
2015-06-26,103064.0,1801510.4,0.12,0.28,0.07,1.92,0.0,1801510.4,103064.0,103064.0,1801510.4,,,,,,,,,,,,,,,,,,1.5,,,,1.25,1.25,8161946.0,142666989.38,,149.02,1.0,41.84,0.492,56.27,0.0125
2015-06-29,161555.0,2717055.17,0.19,0.43,0.11,2.94,0.0,1733345.14,105013.0,103064.0,1766123.7,,,1949.0,,,,,,,,,,,1949.0,,,,1.49,,,,1.27,1.27,8159372.0,137225489.07,,147.27,1.0,27.08,0.5873,71.68,0.0195
2015-06-30,103064.0,1738214.09,0.12,0.27,0.07,1.88,0.0,1738214.09,77726.0,103064.0,1310878.95,,,,,,,,0.48,,27287.0,,,,,,,,1.0,,,,0.94,0.94,8184906.0,138041594.68,,143.21,0.69,40.78,0.4954,57.34,0.0125
2015-07-01,103064.0,1752820.93,0.12,0.27,0.07,1.89,0.0,1752820.93,94655.0,103064.0,1609808.13,,,16929.0,,,,,,,,,,,16929.0,,,,1.31,,,,1.15,1.15,8148813.0,138587770.41,,143.25,0.91,40.93,0.4949,57.19,0.0125
2015-07-02,62075.0,1043986.26,0.07,0.16,0.04,1.11,0.0,1043986.26,62075.0,62075.0,1043986.26,,,,,,,,0.59,,32580.0,,,,,,,40989.0,0.72,0.78,,,29.5,0.75,148315.0,2494382.95,,2.66,21.31,27.42,0.5574,69.37,0.0075
2015-07-03,45146.0,755432.89,0.05,0.12,0.03,0.81,0.0,755432.89,45146.0,45146.0,755432.89,,,,,,,,0.3,,16929.0,,,,,,,16929.0,0.42,0.31,,,0.55,0.55,8197164.0,137164029.94,,143.29,0.29,4.41,0.9156,95.59,0.0055
2015-07-06,45146.0,749247.81,0.05,0.11,0.03,0.8,0.0,749247.81,45146.0,45146.0,749247.81,,,,,,,,,,,,,,,,,,0.41,,,,0.55,0.55,8211236.0,136274544.7,,142.8,0.29,4.43,0.9154,95.57,0.0055
2015-07-07,45146.0,744768.96,0.05,0.11,0.03,0.8,0.0,744768.96,45146.0,45146.0,744768.96,,,,,,,,,,,,,,,,,,0.41,,,,0.55,0.55,8117530.0,133914064.84,,140.02,0.29,4.44,0.9151,95.56,0.0055
2015-07-08,45146.0,746475.19,0.05,0.11,0.03,0.78,0.0,746475.19,45146.0,45146.0,746475.19,,,,,,,,,,,,,,,,,,0.41,,,,0.55,0.55,8125718.0,134356241.42,,139.13,0.29,4.5,0.9141,95.5,0.0055
2015-07-09,25146.0,417444.48,0.03,0.06,0.02,0.44,0.0,417444.48,25146.0,25146.0,417444.48,,,,,,,,0.35,,20000.0,,,,,,,20000.0,0.06,0.34,,,19.36,0.31,104772.0,1739302.2,,1.83,3.08,8.0,0.8529,92.0,0.0031
2015-07-10,2000.0,34675.61,0.0,0.0,0.0,0.04,0.0,34675.61,2000.0,2000.0,34675.61,,,,,,,,0.02,,23146.0,,,,,,,23146.0,0.04,0.41,,,1.87,0.02,104772.0,1816516.53,,1.84,1.87,,1.0,100.0,0.0002
2015-07-13,2000.0,34751.2,0.0,0.0,0.0,0.04,0.0,34751.2,2000.0,2000.0,34751.2,,,,,,,,,,,,,,,,,,0.04,,,,1.87,0.02,104772.0,1820476.24,,1.92,1.87,,1.0,100.0,0.0002
2015-07-14,2000.0,34477.19,0.0,0.0,0.0,0.04,0.0,34477.19,2000.0,2000.0,34477.19,,,,,,,,,,,,,,,,,,0.04,,,,1.87,0.02,104772.0,1806122.29,,1.92,1.87,,1.0,100.0,0.0002
2015-07-15,2000.0,34581.13,0.0,0.0,0.0,0.04,0.0,34581.13,2000.0,2000.0,34581.13,,,,,,,,,,,,,,,,,,0.04,,,,1.87,0.02,104772.0,1811566.89,,1.91,1.87,,1.0,100.0,0.0002
2015-07-16,2000.0,34996.86,0.0,0.0,0.0,0.04,0.0,34996.86,2000.0,2000.0,34996.86,,,,,,,,,,,,,,,,,,0.04,,,,1.87,0.02,104772.0,1833345.29,,1.92,1.87,,1.0,100.0,0.0002
2015-07-17,2000.0,35129.13,0.0,0.0,0.0,0.04,0.0,35129.13,2000.0,2000.0,35129.13,,,,,,,,,,,,,,,,,,0.04,,,,1.87,0.02,104772.0,1840274.78,,1.94,1.87,,1.0,100.0,0.0002
2015-07-20,2000.0,36281.84,0.0,0.0,0.0,0.04,0.0,36281.84,2000.0,2000.0,36281.84,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.02,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2015-07-21,2000.0,35743.28,0.0,0.0,0.0,0.04,0.0,35743.28,2000.0,2000.0,35743.28,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.02,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2015-07-22,2000.0,35960.59,0.0,0.0,0.0,0.04,0.0,35960.59,2000.0,2000.0,35960.59,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.02,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0002
2015-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.04,,2000.0,,,,,,,2000.0,0.0,0.04,,,0.0,0.0,8105012.0,146534598.9,,152.13,0.0,,0.0,,0.0
2015-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8056764.0,147984065.44,,154.03,0.0,,0.0,,0.0
2015-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8044096.0,143343163.37,,153.82,0.0,,0.0,,0.0
2015-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8043874.0,142769194.65,,150.16,0.0,,0.0,,0.0
2015-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8068628.0,139511122.77,,149.71,0.0,,0.0,,0.0
2015-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8011024.0,137568975.65,,145.25,0.0,,0.0,,0.0
2015-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8084630.0,137801750.1,,146.67,0.0,,0.0,,0.0
2015-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8029567.0,136711473.45,,145.08,0.0,,0.0,,0.0
2015-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8060995.0,138998326.57,,145.77,0.0,,0.0,,0.0
2015-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8053584.0,140810919.15,,146.07,0.0,,0.0,,0.0
2015-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8421564.0,147204990.3,,155.67,0.0,,0.0,,0.0
2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8434603.0,146157810.51,,155.71,0.0,,0.0,,0.0
