,DBMF FP Equity_PX_LAST
2025-03-14,99.66
2025-03-17,100.25
2025-03-18,100.54
2025-03-19,100.96
2025-03-20,100.71
2025-03-21,100.61
2025-03-24,100.6
2025-03-25,100.66
2025-03-26,100.8
2025-03-27,101.01
2025-03-28,100.73
2025-03-31,100.54
2025-04-01,100.56
2025-04-02,100.38
2025-04-03,99.54
2025-04-04,98.54
2025-04-07,97.9
2025-04-08,98.56
2025-04-09,97.95
2025-04-10,99.41
2025-04-11,98.97
2025-04-14,99.45
2025-04-15,99.89
2025-04-16,99.9
2025-04-17,100.35
2025-04-22,100.35
2025-04-23,101.02
2025-04-24,101.7
2025-04-25,100.71
2025-04-28,101.06
2025-04-29,101.02
2025-04-30,100.76
2025-05-02,100.58
2025-05-05,100.44
2025-05-06,100.54
2025-05-07,101.1
2025-05-08,100.76
2025-05-09,101.11
2025-05-12,100.43
2025-05-13,100.63
2025-05-14,100.21
2025-05-15,100.16
2025-05-16,100.45
2025-05-19,100.29
2025-05-20,100.58
2025-05-21,100.7
2025-05-22,100.67
2025-05-23,100.98
2025-05-26,100.92
2025-05-27,100.83
2025-05-28,100.68
2025-05-29,100.62
2025-05-30,98.05
2025-06-02,101.21
2025-06-03,101.8
2025-06-04,101.39
2025-06-05,101.42
2025-06-06,101.19
2025-06-09,101.2
2025-06-10,101.2
2025-06-11,101.13
2025-06-12,101.79
2025-06-13,105.17
2025-06-16,108.9
2025-06-17,102.42
2025-06-18,102.38
2025-06-19,102.41
2025-06-20,102.51
2025-06-23,103.65
2025-06-24,102.9
2025-06-25,102.82
2025-06-26,103.19
2025-06-27,103.17
2025-06-30,103.21
2025-07-01,103.85
2025-07-02,103.4
2025-07-03,103.61
2025-07-04,103.54
2025-07-07,103.66
2025-07-08,103.51
2025-07-09,103.33
2025-07-10,103.32
2025-07-11,103.39
2025-07-14,103.34
2025-07-15,103.08
2025-07-16,103.1
2025-07-17,103.02
2025-07-18,103.72
2025-07-21,104.22
2025-07-22,103.9
2025-07-23,104.07
2025-07-24,104.43
2025-07-25,104.16
2025-07-28,103.74
2025-07-29,103.52
2025-07-30,103.29
2025-07-31,103.19
2025-08-01,101.99
2025-08-04,102.81
2025-08-05,102.75
2025-08-06,103.04
2025-08-07,103.39
2025-08-08,103.53
2025-08-11,103.48
2025-08-12,103.84
2025-08-13,104.55
2025-08-14,104.4
2025-08-15,104.11
2025-08-18,104.26
2025-08-19,104.06
2025-08-20,103.33
2025-08-21,103.44
2025-08-22,104.91
2025-08-25,104.82
2025-08-26,104.4
2025-08-27,104.21
2025-08-28,104.35
2025-08-29,104.05
