,VETO FP Equity_DX_SI_QTY,VETO FP Equity_DX_SHORT_INTEREST_VALUE,VETO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VETO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VETO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VETO FP Equity_DX_SI_MV,VETO FP Equity_DX_DSS,VETO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VETO FP Equity_DX_SUPPLY_SI_QTY,VETO FP Equity_DX_BROKER_SI_QTY,VETO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VETO FP Equity_DX_BROKER_SI_MV_NEW_x,VETO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VETO FP Equity_DX_SUPPLY_SI_QTY_INC_x,VETO FP Equity_DX_BROKER_SI_MV_INC_x,VETO FP Equity_DX_SUPPLY_SI_MV_NEW,VETO FP Equity_DX_BROKER_SI_QTY_ADD,VETO FP Equity_DX_BROKER_SI_QTY_NEW,VETO FP Equity_DX_SUPPLY_SI_MV_DEC,VETO FP Equity_DX_BROKER_SI_QTY_INC,VETO FP Equity_DX_SUPPLY_SI_QTY_DEC,VETO FP Equity_DX_BROKER_SI_MV_NEW_y,VETO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VETO FP Equity_DX_BROKER_SI_MV_INC_y,VETO FP Equity_DX_SUPPLY_SI_QTY_INC_y,VETO FP Equity_DX_BROKER_SI_MV_ADD,VETO FP Equity_DX_SUPPLY_SI_QTY_ADD,VETO FP Equity_DX_BROKER_SI_QTY_DEC,VETO FP Equity_DX_SUPPLY_SI_MV,VETO FP Equity_DX_BROKER_SI_MV_DEC,VETO FP Equity_DX_SUPPLY_SI_MV_RMV,VETO FP Equity_DX_BROKER_SI_MV_RMV,VETO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VETO FP Equity_DX_UTILIZATION_QUANTITY,VETO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VETO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VETO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VETO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VETO FP Equity_DX_ACTIVE_UTILIZATION_MV,VETO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VETO FP Equity_DX_BROKER_SI_CON_RATIO,VETO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VETO FP Equity_DX_DEMAND_SUPPLY_RATIO,VETO FP Equity_PX_LAST
2006-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2006-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7
2006-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55000.0,1090255.44,,1.24,0.0,,0.0,,0.0,22.51
2006-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55000.0,1097036.23,,1.24,0.0,,0.0,,0.0,22.65
2006-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6000.0,120997.61,,0.13,0.0,,0.0,,0.0,22.9
2006-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6000.0,121790.18,,0.13,0.0,,0.0,,0.0,23.05
2006-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9
2006-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1
2006-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.85
2006-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65
2006-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
2006-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07
