,BAIN FP Equity_DX_SI_QTY,BAIN FP Equity_DX_SHORT_INTEREST_VALUE,BAIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BAIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BAIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BAIN FP Equity_DX_SI_MV,BAIN FP Equity_DX_DSS,BAIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BAIN FP Equity_DX_SUPPLY_SI_QTY,BAIN FP Equity_DX_BROKER_SI_QTY,BAIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BAIN FP Equity_DX_BROKER_SI_MV_NEW_x,BAIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BAIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,BAIN FP Equity_DX_BROKER_SI_MV_INC_x,BAIN FP Equity_DX_SUPPLY_SI_MV_NEW,BAIN FP Equity_DX_BROKER_SI_QTY_ADD,BAIN FP Equity_DX_BROKER_SI_QTY_NEW,BAIN FP Equity_DX_SUPPLY_SI_MV_DEC,BAIN FP Equity_DX_BROKER_SI_QTY_INC,BAIN FP Equity_DX_SUPPLY_SI_QTY_DEC,BAIN FP Equity_DX_BROKER_SI_MV_NEW_y,BAIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BAIN FP Equity_DX_BROKER_SI_MV_INC_y,BAIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,BAIN FP Equity_DX_BROKER_SI_MV_ADD,BAIN FP Equity_DX_SUPPLY_SI_QTY_ADD,BAIN FP Equity_DX_BROKER_SI_QTY_DEC,BAIN FP Equity_DX_SUPPLY_SI_MV,BAIN FP Equity_DX_BROKER_SI_MV_DEC,BAIN FP Equity_DX_SUPPLY_SI_MV_RMV,BAIN FP Equity_DX_BROKER_SI_MV_RMV,BAIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BAIN FP Equity_DX_UTILIZATION_QUANTITY,BAIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BAIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BAIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BAIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BAIN FP Equity_DX_ACTIVE_UTILIZATION_MV,BAIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BAIN FP Equity_DX_BROKER_SI_CON_RATIO,BAIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BAIN FP Equity_DX_DEMAND_SUPPLY_RATIO,BAIN FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.8596
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9449
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1282
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0429
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5674
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6708
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1645
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4204
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5602
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3714
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0666
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.219
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2372
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0847
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6945
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7308
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9868
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.749
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9868
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6147
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
