,PIG FP Equity_DX_SI_QTY,PIG FP Equity_DX_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PIG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PIG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PIG FP Equity_DX_SI_MV,PIG FP Equity_DX_DSS,PIG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY,PIG FP Equity_DX_BROKER_SI_QTY,PIG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PIG FP Equity_DX_BROKER_SI_MV_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_x,PIG FP Equity_DX_BROKER_SI_MV_INC_x,PIG FP Equity_DX_SUPPLY_SI_MV_NEW,PIG FP Equity_DX_BROKER_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_NEW,PIG FP Equity_DX_SUPPLY_SI_MV_DEC,PIG FP Equity_DX_BROKER_SI_QTY_INC,PIG FP Equity_DX_SUPPLY_SI_QTY_DEC,PIG FP Equity_DX_BROKER_SI_MV_NEW_y,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PIG FP Equity_DX_BROKER_SI_MV_INC_y,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_y,PIG FP Equity_DX_BROKER_SI_MV_ADD,PIG FP Equity_DX_SUPPLY_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_DEC,PIG FP Equity_DX_SUPPLY_SI_MV,PIG FP Equity_DX_BROKER_SI_MV_DEC,PIG FP Equity_DX_SUPPLY_SI_MV_RMV,PIG FP Equity_DX_BROKER_SI_MV_RMV,PIG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PIG FP Equity_DX_UTILIZATION_QUANTITY,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PIG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PIG FP Equity_DX_ACTIVE_UTILIZATION_MV,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PIG FP Equity_DX_BROKER_SI_CON_RATIO,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PIG FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-06-14,1757729.0,29004698.8,10.47,7.94,5.13,34.49,2.0,19798544.44,1064042.0,1199822.0,17558006.79,,,240174.0,4.62,,,,1.38,308663.0,28582.0,,,4.62,240174.0,,45094.0,16458.0,20.8,0.4,,,45.74,45.74,1262062.0,20825581.29,,23.71,46.74,10.66,0.3569,57.35,0.7557
2006-06-21,1609177.0,29037023.43,9.59,6.9,4.7,33.15,1.0,22062047.38,909941.0,1222637.0,16419559.9,,,30402.0,1.61,,,,4.72,28414.0,240893.0,,,1.61,30402.0,,56389.0,5600.0,18.73,0.0,,,33.71,33.71,1789332.0,32287855.97,,36.23,34.08,9.15,0.3384,55.78,0.5962
2006-06-28,1470571.0,27521622.02,8.76,6.64,4.29,31.25,1.0,21434088.23,851408.0,1145294.0,15934034.57,,,2869.0,0.31,,,,1.1,13843.0,61402.0,,,0.31,2869.0,,,91186.0,18.07,1.8,,,32.52,32.52,1766328.0,33056691.29,,36.91,32.86,7.56,0.4063,62.18,0.5618
2006-07-03,1918728.0,38937913.94,11.43,9.28,5.6,43.28,2.0,22599712.76,816115.0,1113637.0,16561917.92,,,11095.0,0.04,,,,0.09,3471.0,46388.0,,,0.04,11095.0,,,35128.0,18.4,0.0,,,80.84,30.26,193459.0,3925981.12,,0.0,1036.49,5.6,0.5421,72.94,0.7115
2006-07-04,1929499.0,39360702.37,11.5,9.97,5.63,43.82,2.0,22975034.42,820089.0,1126258.0,16729357.75,,,7134.0,0.3,,,,0.0,12621.0,3161.0,,,0.3,7134.0,,,,18.65,,,,80.9,30.43,193648.0,3950311.09,,0.0,954.09,5.67,0.5334,72.31,0.716
2006-07-05,1983920.0,38931113.0,11.82,10.93,5.79,44.6,2.0,22131169.76,872978.0,1127799.0,17130733.68,,,52889.0,0.01,,,,,1541.0,,,,0.01,52889.0,,,,19.7,,,,31.76,31.76,1875440.0,36802374.37,,42.12,31.86,5.64,0.523,71.54,0.7218
2006-07-06,1943377.0,38821106.87,11.58,11.02,5.67,44.03,2.0,21950885.0,861348.0,1098857.0,17206379.8,,,,0.15,,,,0.13,6167.0,11629.0,,,0.15,,,,35109.0,19.47,0.68,,,32.41,32.41,1796000.0,35877088.15,,39.83,32.83,5.61,0.5427,72.9,0.7313
2006-07-07,1947290.0,38504269.72,11.6,10.49,5.69,43.95,2.0,21663246.53,881115.0,1095583.0,17422515.2,,,7200.0,,,,,,,,,,,7200.0,,12566.0,3274.0,19.88,0.08,,,33.11,33.11,1780035.0,35197093.27,,39.77,33.33,5.54,0.5425,72.89,0.7317
2006-07-10,1954351.0,38281925.43,11.65,10.93,5.71,43.87,2.0,21505367.69,887375.0,1097882.0,17381946.02,,,6260.0,0.04,,,,,2299.0,,,,0.04,6260.0,,,,19.93,,,,83.93,33.31,169892.0,3327853.02,,0.0,552.82,5.6,0.5404,72.74,0.7337
2006-07-11,1981881.0,37422852.73,11.81,11.45,5.79,43.17,2.0,21022841.69,899448.0,1113351.0,16983819.94,,,22002.0,0.27,,,,0.25,15469.0,9929.0,,,0.27,22002.0,,,,19.63,,,,33.55,33.55,1781682.0,33642596.65,,39.03,33.47,5.64,0.5348,72.28,0.7392
2006-07-12,1924543.0,37205814.62,11.47,11.11,5.62,42.29,2.0,21161834.94,867033.0,1094637.0,16761729.44,,,6236.0,,,,,0.71,,38651.0,,,,6236.0,,,18714.0,18.99,0.39,,,32.96,32.96,1763199.0,34086666.36,,38.44,33.07,5.58,0.5546,73.73,0.7317
2006-07-13,1306826.0,23903922.25,7.79,7.88,3.82,28.33,1.0,9054006.61,889402.0,494982.0,16268574.59,,,22369.0,,,,,,,,,,,22369.0,,,599655.0,19.31,13.4,,,33.81,33.81,1741190.0,31849129.4,,37.89,33.76,7.89,0.4025,61.61,0.4968
2006-07-14,1346428.0,23892068.98,8.02,8.11,3.93,28.16,1.0,9010888.13,917400.0,507805.0,16279061.4,,,28195.0,0.25,,,,0.01,13769.0,198.0,,,0.25,28195.0,,,946.0,19.16,0.06,,,34.57,34.57,1736500.0,30813810.9,,37.0,34.12,7.94,0.4022,61.57,0.5073
2006-07-17,1350273.0,23793575.91,8.05,8.25,3.94,28.06,1.0,9016893.6,914711.0,511704.0,16118403.92,,,5021.0,0.09,,,,0.17,5027.0,7710.0,,,0.09,5021.0,,,1128.0,18.94,0.03,,,34.58,34.58,1730730.0,30497725.74,,36.58,34.12,7.97,0.4043,61.7,0.5104
2006-07-18,811081.0,14185008.2,4.83,4.82,2.37,16.73,1.0,8367182.25,925575.0,478425.0,16187395.54,,,10911.0,,,,,0.0,,47.0,,,,10911.0,,,33279.0,19.0,0.71,,,35.13,35.13,1709424.0,29896142.87,,36.1,34.48,15.09,0.1637,28.56,0.3078
2006-07-19,513607.0,9834072.52,3.06,3.08,1.5,10.74,1.0,7484132.67,323297.0,390876.0,6190192.39,,,5109.0,,,,,12.47,,607387.0,,,,5109.0,,,87549.0,6.61,1.98,,,13.33,13.33,2102494.0,40256613.46,,44.2,13.01,16.58,0.2198,37.13,0.2117
2006-07-20,537166.0,10564672.25,3.2,3.22,1.57,11.66,1.0,8126501.52,318288.0,413196.0,6259905.5,,,1936.0,0.71,,,,0.0,25777.0,6944.0,,,0.71,1936.0,,,3457.0,6.9,0.01,,,13.35,13.35,2065025.0,40613725.19,,44.98,13.3,15.4,0.2347,40.2,0.2254
2006-07-21,550041.0,10172697.78,3.28,3.12,1.61,11.59,1.0,7833595.56,324704.0,423565.0,6005217.18,,,9962.0,0.17,,,,0.07,10369.0,3546.0,,,0.17,9962.0,,,,6.97,,,,13.63,13.63,2056880.0,38040834.45,,44.45,13.55,16.81,0.2235,37.96,0.231
2006-07-24,534489.0,10182048.75,3.18,3.11,1.56,11.34,1.0,8100810.39,309072.0,425238.0,5887840.85,,,1812.0,0.06,,,,0.36,2722.0,17444.0,,,0.06,1812.0,,,1049.0,6.54,0.02,,,12.96,12.96,2076067.0,39549205.68,,44.5,12.81,15.0,0.2335,40.01,0.2241
2006-07-25,385879.0,7385051.48,2.3,2.29,1.13,8.2,1.0,5277163.85,311294.0,275739.0,5957624.58,,,3289.0,0.01,,4498.0,,0.01,410.0,1067.0,,,0.01,3289.0,0.1,,154406.0,6.67,3.32,,,13.03,13.03,2077666.0,39762905.93,,44.86,12.94,19.45,0.1644,19.7,0.1615
2006-07-26,401054.0,7778050.0,2.39,2.4,1.17,8.53,1.0,5602603.19,160478.0,288883.0,3112313.82,,,4650.0,0.3,,,,3.31,13144.0,155467.0,,,0.3,4650.0,,,,3.44,,,,5.77,5.77,2620671.0,50825350.38,,57.0,5.7,18.97,0.1653,19.94,0.1442
2006-07-27,402132.0,7777677.2,2.4,2.42,1.17,8.76,1.0,5687367.95,158846.0,294056.0,3072257.15,,,5010.0,0.15,,,,0.13,5324.0,6641.0,,,0.15,5010.0,,,151.0,3.47,0.0,,,5.73,5.73,2611764.0,50514401.53,,57.32,5.7,19.61,0.1678,20.12,0.1451
2006-07-28,403517.0,7768876.56,2.4,2.5,1.18,8.77,1.0,5688291.57,146267.0,295451.0,2816065.41,,,12.0,0.03,,,,0.28,1404.0,12591.0,,,0.03,12.0,,,10.0,3.19,0.0,,,5.2,5.2,2665444.0,51317553.92,,58.39,5.18,19.59,0.1678,20.36,0.1435
2006-07-31,388928.0,7889322.24,2.32,2.47,1.14,8.57,1.0,5713961.23,141619.0,281687.0,2872711.47,,,,,,,,0.09,,4648.0,,,,,,,13764.0,3.1,0.28,,,5.0,5.0,2690862.0,54583566.7,,59.46,4.96,19.01,0.1668,20.05,0.1373
2006-08-01,381447.0,7666924.35,2.27,2.39,1.11,8.64,1.0,5503707.09,142072.0,273822.0,2855587.48,,,921.0,0.02,,,,0.0,367.0,468.0,,,0.02,921.0,,,8232.0,3.24,0.14,,,5.05,5.05,2669647.0,53658782.42,,59.96,5.13,18.64,0.1699,20.82,0.1357
2006-08-02,504503.0,10362770.75,3.0,3.14,1.47,11.47,1.0,5076351.26,291776.0,247138.0,5993240.47,,,154487.0,,,,,0.11,,4784.0,,,,154487.0,,,26684.0,6.63,0.59,,,10.38,10.38,2519806.0,51758209.4,,58.12,10.24,15.81,0.1764,30.73,0.1794
2006-08-03,506702.0,9956586.11,3.02,3.15,1.48,11.48,1.0,4777157.84,295540.0,243115.0,5807297.9,,,6115.0,0.01,,,,0.05,384.0,2351.0,,,0.01,6115.0,,,4406.0,6.76,0.1,,,10.52,10.52,2514469.0,49408778.96,,58.11,10.42,15.81,0.1774,30.85,0.1803
2006-08-04,477638.0,9486585.09,2.84,2.99,1.39,11.3,1.0,4418657.08,287069.0,222474.0,5701607.69,,,,,,,,0.02,,8470.0,,,,,,,20641.0,6.64,0.12,,,10.28,10.28,2504591.0,49744818.53,,57.96,10.28,16.08,0.1821,31.5,0.1711
2006-08-07,534292.0,10644801.11,3.18,3.33,1.56,12.29,1.0,5367566.43,296804.0,269413.0,5913282.53,,,9735.0,0.0,,50170.0,,,923.0,,,,0.0,9735.0,1.19,,4153.0,6.79,0.3,,,10.54,10.54,2518943.0,50185380.37,,58.26,10.44,14.79,0.1607,29.01,0.1898
2006-08-08,528677.0,10379064.86,3.15,3.27,1.54,12.0,1.0,5199476.11,299733.0,264845.0,5884402.48,,,2930.0,0.09,,,,,4232.0,,,,0.09,2930.0,,,8800.0,6.8,0.29,,,10.6,10.6,2528075.0,49631541.37,,58.29,10.44,15.14,0.1653,29.73,0.187
2006-08-09,516839.0,10187683.73,3.08,3.22,1.51,11.68,1.0,5154405.52,340879.0,261492.0,6719244.18,,,41533.0,,,,,0.01,,388.0,,,,41533.0,,,3354.0,7.66,0.07,,,12.05,12.05,2486948.0,49021532.18,,55.7,12.1,15.39,0.163,28.96,0.1828
2006-08-10,517479.0,10213990.78,3.08,3.25,1.51,11.65,1.0,5163357.19,341535.0,261595.0,6741211.41,,,656.0,0.0,,,,,103.0,,,,0.0,656.0,,,,7.69,,,,13.24,13.24,2237849.0,44170621.52,,50.08,13.31,15.02,0.1628,29.0,0.2006
2006-08-11,527535.0,10440391.4,3.14,3.29,1.54,11.9,1.0,5177061.44,351701.0,261588.0,6960478.64,,,10180.0,,,,,0.0,,14.0,,,,10180.0,,,7.0,7.93,0.0,,,13.61,13.61,2232098.0,44175223.96,,50.05,13.67,14.99,0.1629,29.04,0.2042
2006-08-14,484833.0,9744939.48,2.89,3.08,1.41,10.92,1.0,4394551.99,351994.0,218639.0,7074931.43,,,293.0,0.0,,,,,64.0,,,,0.0,293.0,,,43013.0,7.93,1.0,,,13.62,13.62,2232154.0,44865357.04,,50.27,13.63,13.86,0.1728,31.7,0.1876
2006-08-15,479521.0,9684690.87,2.85,3.08,1.4,10.87,1.0,4328978.31,350599.0,214342.0,7080905.6,,,425.0,0.01,,,,0.01,149.0,1821.0,,,0.01,425.0,,,4446.0,7.95,0.09,,,13.54,13.54,2239481.0,45229888.13,,50.56,13.59,14.12,0.1743,31.8,0.1851
2006-08-16,483733.0,9820954.16,2.88,3.1,1.41,11.01,1.0,4351886.24,356060.0,214353.0,7228882.34,,,5461.0,0.0,,,,,11.0,,,,0.0,5461.0,,,,8.11,,,,13.89,13.89,2207257.0,44812675.22,,50.75,13.78,14.0,0.1765,32.32,0.1887
2006-08-17,465368.0,9534290.39,2.77,3.01,1.36,10.68,1.0,4062862.21,353683.0,198308.0,7246128.72,,,609.0,,,,,0.02,,2986.0,,,,609.0,,,16045.0,8.13,0.37,,,13.79,13.79,2211016.0,45298491.97,,50.91,13.77,14.55,0.1844,33.2,0.1815
2006-08-18,592263.0,12348230.38,3.53,4.44,1.73,13.83,1.0,6806086.77,384310.0,326443.0,8012569.44,,,,3.08,,,,0.0,129294.0,4373.0,,,3.08,,,35000.0,1160.0,8.98,0.02,,,14.79,14.79,2213553.0,46150886.34,,51.22,14.92,25.42,0.1759,27.11,0.228
2006-08-21,594000.0,12222043.72,3.54,4.42,1.73,13.84,1.0,6047874.63,386004.0,293931.0,7942353.14,,,1694.0,,,,,,,,,,,1694.0,,,32512.0,9.02,0.76,,,14.71,14.71,2238294.0,46054759.46,,51.83,14.82,25.45,0.175,26.81,0.2263
2006-08-22,572906.0,11858755.34,3.41,4.26,1.67,13.42,1.0,5667676.37,384866.0,273810.0,7966458.26,,,,0.0,,,,0.0,57.0,1138.0,,,0.0,,,,20178.0,9.03,0.45,,,14.67,14.67,2237905.0,46323075.47,,51.92,14.81,24.25,0.1692,26.37,0.2184
2006-08-23,556180.0,11321235.42,3.31,4.41,1.62,12.92,1.0,5462784.12,374233.0,268371.0,7617641.58,,,5195.0,0.0,,,,0.41,227.0,15828.0,,,0.0,5195.0,,,5666.0,8.72,0.15,,,12.47,12.47,2627789.0,53489549.95,,60.4,12.61,23.87,0.1769,27.62,0.1853
2006-08-24,522893.0,10569880.81,3.11,4.14,1.53,12.08,1.0,5420951.87,341226.0,268175.0,6897621.79,,,590.0,,,,,0.78,,33596.0,,,,590.0,,,196.0,7.92,0.01,,,11.37,11.37,2660458.0,53779117.28,,60.76,11.53,25.41,0.1883,29.53,0.1742
2006-08-25,462447.0,9335775.68,2.75,3.77,1.35,10.59,1.0,4867575.21,308381.0,241115.0,6225526.04,,,2154.0,0.17,,,,0.8,7940.0,35000.0,,,0.17,2154.0,,,35000.0,7.07,0.8,,,10.51,10.51,2626024.0,53013579.95,,59.91,10.56,21.17,0.205,33.86,0.1576
2006-08-28,462030.0,9543325.03,2.75,3.81,1.35,10.62,1.0,4978978.82,307923.0,241052.0,6360213.13,,,,,,,,0.0,,458.0,,,,,,,63.0,7.06,0.0,,,10.25,10.25,2696288.0,55692385.24,,61.83,10.25,21.61,0.2057,33.8,0.1538
2006-08-29,462057.0,9352353.05,2.75,4.02,1.35,10.64,1.0,4885536.11,307534.0,241372.0,6224700.72,,,409.0,0.01,,,,0.0,319.0,797.0,,,0.01,409.0,,,,7.12,,,,10.24,10.24,2697126.0,54591694.46,,61.83,10.32,21.11,0.2044,33.73,0.1538
2006-08-30,463274.0,9495475.12,2.76,4.11,1.35,10.64,1.0,4941818.5,309502.0,241106.0,6343694.1,,,2280.0,,,,,0.01,,312.0,,,,2280.0,,,266.0,7.09,0.01,,,10.43,10.43,2657363.0,54466523.58,,61.53,10.34,21.36,0.2059,33.96,0.1561
2006-08-31,430806.0,8742608.1,2.56,3.96,1.26,9.88,1.0,4218614.94,310503.0,207879.0,6301226.17,,,1002.0,0.0,,,,,231.0,,,,0.0,1002.0,,,33458.0,7.11,0.76,,,10.46,10.46,2658375.0,53948020.24,,61.69,10.34,15.64,0.21,36.77,0.1451
2006-09-01,422571.0,8545675.41,2.52,4.53,1.23,9.67,1.0,4041354.54,310263.0,199839.0,6274464.86,,,,,,,,0.01,,241.0,,,,,,,8040.0,7.11,0.2,,,10.46,10.46,2656555.0,53723650.55,,61.37,10.38,15.88,0.2127,37.52,0.1424
2006-09-04,422283.0,8677650.77,2.51,4.72,1.23,9.66,1.0,4105661.93,309941.0,199795.0,6369093.14,,,,,,,,0.01,,322.0,,,,,,,44.0,7.08,0.0,,,10.45,10.45,2656330.0,54585915.33,,61.47,10.33,16.15,0.2127,37.48,0.1424
2006-09-05,421168.0,8565590.71,2.51,4.78,1.23,9.68,1.0,4061338.08,308556.0,199695.0,6275321.03,,,300.0,,,,,0.01,,1685.0,,,,300.0,,,100.0,7.13,0.0,,,10.51,10.51,2626241.0,53411715.75,,60.82,10.5,15.98,0.2117,37.34,0.1435
