,PIG FP Equity_DX_SI_QTY,PIG FP Equity_DX_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PIG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PIG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PIG FP Equity_DX_SI_MV,PIG FP Equity_DX_DSS,PIG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY,PIG FP Equity_DX_BROKER_SI_QTY,PIG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PIG FP Equity_DX_BROKER_SI_MV_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_x,PIG FP Equity_DX_BROKER_SI_MV_INC_x,PIG FP Equity_DX_SUPPLY_SI_MV_NEW,PIG FP Equity_DX_BROKER_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_NEW,PIG FP Equity_DX_SUPPLY_SI_MV_DEC,PIG FP Equity_DX_BROKER_SI_QTY_INC,PIG FP Equity_DX_SUPPLY_SI_QTY_DEC,PIG FP Equity_DX_BROKER_SI_MV_NEW_y,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PIG FP Equity_DX_BROKER_SI_MV_INC_y,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_y,PIG FP Equity_DX_BROKER_SI_MV_ADD,PIG FP Equity_DX_SUPPLY_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_DEC,PIG FP Equity_DX_SUPPLY_SI_MV,PIG FP Equity_DX_BROKER_SI_MV_DEC,PIG FP Equity_DX_SUPPLY_SI_MV_RMV,PIG FP Equity_DX_BROKER_SI_MV_RMV,PIG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PIG FP Equity_DX_UTILIZATION_QUANTITY,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PIG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PIG FP Equity_DX_ACTIVE_UTILIZATION_MV,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PIG FP Equity_DX_BROKER_SI_CON_RATIO,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PIG FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,302811.0,4466314.26,1.82,3.28,0.89,5.1,0.0,3340690.56,93263.0,226495.0,1375583.67,3.54,,4133.0,,,,210000.0,0.0,,3709.0,3.54,,,4133.0,,,1359.0,1.57,0.0,,,9.23,9.23,917308.0,13529844.7,,15.23,9.35,11.97,0.54,71.86,0.2996
2006-01-11,363792.0,5276537.4,2.19,3.95,1.07,6.12,1.0,2467132.82,210875.0,170097.0,3058587.94,,125000.0,1824.0,0.48,2.11,,,0.16,28601.0,9212.0,,125000.0,0.48,1824.0,,,85000.0,3.56,1.44,,,16.06,16.06,1102182.0,15986345.33,,18.25,16.3,35.34,0.2803,35.63,0.2771
2006-01-18,97153.0,1438915.75,0.59,1.0,0.28,1.69,0.0,309649.85,93348.0,20907.0,1382560.58,,,,,,,,1.93,,117527.0,,,,,,,149189.0,1.62,2.49,,,7.83,7.83,1098546.0,16270368.84,,18.7,7.98,19.63,0.2462,40.44,0.0815
2006-01-25,134891.0,2236501.18,0.81,0.92,0.4,2.57,0.0,751955.56,89537.0,45353.0,1484529.04,,56475.0,2394.0,0.5,1.08,,,0.16,24446.0,10278.0,,56475.0,0.5,2394.0,,,,1.71,,0.91,,6.84,6.84,1220349.0,20233462.42,52402.0,22.95,6.92,28.1,0.2305,29.01,0.103
2006-02-01,141462.0,2494130.15,0.85,0.83,0.41,2.83,0.0,901936.36,90306.0,51156.0,1592193.79,,,892.0,0.15,,,,0.0,6000.0,123.0,,,0.15,892.0,,,197.0,1.8,0.0,,,6.75,6.75,1247062.0,21987070.26,,24.62,6.81,26.69,0.2313,27.45,0.1058
2006-02-08,192696.0,3326556.22,1.16,1.01,0.56,3.8,0.0,1769982.16,90167.0,102529.0,1556574.06,,,44.0,0.99,,,,0.01,51374.0,184.0,,,0.99,44.0,,,,1.78,,,,6.62,6.62,1271982.0,21958523.43,,24.67,6.72,22.96,0.2889,43.59,0.1415
2006-02-15,122059.0,2095373.38,0.74,0.67,0.36,2.37,0.0,572309.77,88721.0,33338.0,1523063.61,0.32,,620.0,,,,16193.0,0.04,,2066.0,0.32,,,620.0,,,44087.0,1.72,0.87,,0.81,6.51,6.51,1274534.0,21879784.5,,24.58,6.53,30.76,0.2369,31.73,0.0895
2006-02-22,119291.0,2154427.5,0.72,0.66,0.35,2.37,0.0,558333.2,88375.0,30915.0,1596076.24,,,,,,,,0.0,,345.0,,,,,,,2423.0,1.75,0.03,,,6.63,6.63,1243589.0,22459551.34,,24.63,6.63,31.36,0.2409,32.34,0.0896
2006-03-01,104836.0,1928258.61,0.63,0.56,0.31,2.2,0.0,371264.64,84651.0,20185.0,1556993.97,,,108.0,0.02,,2984.0,,0.06,136.0,3833.0,,,0.02,108.0,0.06,,13851.0,1.77,0.29,,,5.58,5.58,1431782.0,26334903.81,,29.73,5.63,36.45,0.3013,37.62,0.0691
2006-03-08,105796.0,1841207.17,0.63,0.79,0.31,2.17,0.0,353427.68,85488.0,20308.0,1487779.49,,,837.0,0.0,,,,,123.0,,,,0.0,837.0,,,,1.75,,,,5.6,5.6,1440501.0,25069575.18,,28.95,5.71,36.32,0.2996,37.42,0.0693
2006-03-15,105265.0,1961042.6,0.63,0.99,0.31,2.19,0.0,377770.6,84987.0,20278.0,1583272.0,,,9.0,0.01,,,,0.0,15.0,510.0,,,0.01,9.0,,,46.0,1.77,0.0,,,5.7,5.7,1407314.0,26217666.9,,29.17,5.72,36.44,0.3007,37.53,0.0705
2006-03-22,180145.0,3370225.84,1.08,1.92,0.53,3.93,0.0,1112345.71,120687.0,59457.0,2257861.42,,,554.0,0.87,,,,0.0,39180.0,52.0,,,0.87,554.0,,35198.0,,2.63,,,,7.68,7.68,1451262.0,27150799.06,,31.34,7.74,20.98,0.4376,61.93,0.1146
2006-03-29,180092.0,3832977.22,1.08,1.69,0.53,4.25,0.0,1311740.95,118461.0,61632.0,2521257.55,,,,0.07,,,,0.0,2374.0,2227.0,,,0.07,,,,199.0,2.8,0.0,,,7.94,7.94,1373875.0,29240785.7,,32.28,7.97,20.87,0.4305,61.35,0.1207
2006-04-05,188855.0,4226247.58,1.13,1.41,0.55,4.86,0.0,1912312.41,103401.0,85454.0,2313935.17,,,537.0,,,25000.0,,0.36,,15597.0,,,,537.0,0.64,,1178.0,2.67,0.0,,,6.66,6.66,1450223.0,32453477.26,,36.96,6.73,19.33,0.3823,56.68,0.1216
2006-04-12,214827.0,4502638.76,1.28,1.52,0.63,5.24,0.0,1822459.21,127874.0,86952.0,2680158.59,,,1233.0,0.0,,,,0.1,1498.0,1949.0,,,0.0,1233.0,,25190.0,,3.13,,,,9.38,9.38,1234816.0,25880966.48,,29.68,9.55,19.49,0.3793,56.36,0.1576
2006-04-19,433123.0,9662193.6,2.58,2.92,1.27,10.91,1.0,1518028.25,365075.0,68048.0,8144165.35,,,,,,,,0.37,,16919.0,,,,,,254120.0,18904.0,9.18,0.43,,,25.59,25.59,1061355.0,23676917.38,,26.52,25.71,23.57,0.3056,45.97,0.3036
2006-04-26,421100.0,9191128.18,2.51,2.5,1.23,10.48,1.0,1144296.55,368673.0,52427.0,8046831.63,,,3598.0,0.0,,,,,490.0,,,,0.0,3598.0,,,16111.0,9.17,0.43,,,27.38,27.38,977992.0,21346116.91,,24.01,27.64,26.64,0.3557,51.88,0.3127
2006-05-03,403560.0,8970884.69,2.4,2.4,1.18,9.9,1.0,1115847.7,353363.0,50197.0,7855036.99,,,,0.0,,,,0.48,123.0,15310.0,,,0.0,,,,2354.0,8.66,0.07,,,25.49,25.49,1033160.0,22966496.26,,25.23,25.57,29.73,0.3191,45.92,0.2911
2006-05-10,418201.0,9457510.85,2.48,2.49,1.22,10.66,1.0,2073523.77,326512.0,91689.0,7383987.09,,,2327.0,,,59000.0,,0.68,,29178.0,,,,2327.0,1.51,,17508.0,8.32,0.4,,,23.19,23.19,1081433.0,24456336.39,,27.12,23.47,24.67,0.2628,37.79,0.297
2006-05-17,1108278.0,21559208.58,6.58,7.07,3.24,25.36,1.0,9829564.11,602977.0,505301.0,11729644.47,,,7447.0,1.23,,360000.0,,0.07,56898.0,2708.0,,,1.23,7447.0,8.08,271725.0,3286.0,13.84,0.13,,,34.36,34.36,1151760.0,22405059.09,,26.11,34.64,7.86,0.6719,81.36,0.6316
2006-05-24,1481962.0,25959875.59,8.8,8.19,4.33,30.61,1.0,11999971.16,796924.0,685038.0,13959904.44,,,194666.0,3.4,,,,0.03,179737.0,719.0,,,3.4,194666.0,,,,16.5,,,,44.15,44.15,1008311.0,17662820.04,,20.25,44.9,7.88,0.6997,83.12,0.8209
2006-05-31,1527388.0,29136863.08,9.1,7.54,4.46,33.87,1.0,13998432.65,793574.0,733814.0,15138430.43,,,12443.0,0.73,,16782.0,,0.0,32128.0,20754.0,,,0.73,12443.0,0.37,4961.0,133.0,17.59,0.0,,,40.5,40.5,1165819.0,22239475.87,,25.24,41.07,7.68,0.6371,79.21,0.7795
2006-06-07,1698774.0,30814224.89,10.12,8.45,4.96,36.17,1.0,16463370.15,807356.0,907618.0,14644708.09,,,13782.0,0.36,,141100.0,,0.09,32704.0,2649.0,,,0.36,13782.0,3.12,2649.0,,17.18,,,,40.11,40.11,1205442.0,21865628.31,,24.92,40.81,10.29,0.4918,68.78,0.844
