,ALHRS FP Equity_DX_SI_QTY,ALHRS FP Equity_DX_SHORT_INTEREST_VALUE,ALHRS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHRS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHRS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHRS FP Equity_DX_SI_MV,ALHRS FP Equity_DX_DSS,ALHRS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHRS FP Equity_DX_SUPPLY_SI_QTY,ALHRS FP Equity_DX_BROKER_SI_QTY,ALHRS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHRS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHRS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHRS FP Equity_DX_BROKER_SI_MV_INC_x,ALHRS FP Equity_DX_SUPPLY_SI_MV_NEW,ALHRS FP Equity_DX_BROKER_SI_QTY_ADD,ALHRS FP Equity_DX_SUPPLY_SI_MV_DEC,ALHRS FP Equity_DX_BROKER_SI_QTY_INC,ALHRS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHRS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHRS FP Equity_DX_BROKER_SI_MV_INC_y,ALHRS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHRS FP Equity_DX_BROKER_SI_MV_ADD,ALHRS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHRS FP Equity_DX_BROKER_SI_QTY_DEC,ALHRS FP Equity_DX_SUPPLY_SI_MV,ALHRS FP Equity_DX_BROKER_SI_MV_DEC,ALHRS FP Equity_DX_SUPPLY_SI_MV_RMV,ALHRS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHRS FP Equity_DX_UTILIZATION_QUANTITY,ALHRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHRS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHRS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHRS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHRS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHRS FP Equity_DX_BROKER_SI_CON_RATIO,ALHRS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHRS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHRS FP Equity_PX_LAST
2021-04-19,44524.0,1585054.4,1.16,1.83,0.29,1.63,0.0,1263088.0,28437.0,35480.0,1012357.2,,2024.0,0.05,,,0.1,1252.0,2594.0,,0.05,2024.0,,500.0,,1.04,,,15.82,15.82,151344.0,5387846.4,,2.6,28.49,18.69,0.2832,44.87,0.2477,35.6
2021-04-20,39674.0,1388590.0,1.03,1.7,0.26,1.41,0.0,1046570.0,29883.0,29902.0,1045905.0,,6420.0,0.02,,,0.19,942.0,4974.0,,0.02,6420.0,,,6520.0,1.06,0.24,,16.62,16.62,149953.0,5248355.0,,2.5,29.74,16.03,0.2974,47.42,0.2206,35.0
2021-04-21,42987.0,1502395.65,1.12,1.86,0.28,1.53,0.0,1360149.15,33196.0,38917.0,1160200.2,,3313.0,0.1,,5702.0,,3313.0,,,0.1,3313.0,0.22,,,1.16,,,18.44,18.44,146856.0,5132617.2,,2.36,33.01,15.81,0.3235,50.96,0.2387,34.95
2021-04-22,46232.0,1627366.4,1.2,2.05,0.3,1.64,0.0,1392124.8,33828.0,39549.0,1190745.6,,2613.0,0.02,,,0.07,632.0,1981.0,,0.02,2613.0,,,,1.19,,,17.5,17.5,159517.0,5614998.4,,2.81,29.69,15.62,0.3296,51.74,0.2391,35.2
2021-04-23,57517.0,2013095.0,1.5,2.59,0.38,2.04,0.0,1600095.0,39996.0,45717.0,1399860.0,,3668.0,0.22,,,,6168.0,,,0.22,3668.0,,2500.0,,1.4,,,19.62,19.62,163810.0,5733350.0,,2.97,32.1,19.02,0.305,48.15,0.2822,35.0
2021-04-26,53078.0,1847114.4,1.38,2.43,0.35,1.88,0.0,1436474.4,35557.0,41278.0,1237383.6,,,,,,0.16,,4439.0,,,,,,4439.0,1.24,0.16,,17.45,17.45,168249.0,5855065.2,,3.11,28.55,20.9,0.2721,42.82,0.2604,34.8
2021-04-27,48342.0,1682301.6,1.26,2.24,0.32,1.7,0.0,1271661.6,33919.0,36542.0,1180381.2,,,,,,0.06,,1638.0,,,,,,4736.0,1.18,0.17,,16.28,16.28,174458.0,6071138.4,,3.31,26.25,23.45,0.3042,46.0,0.232,34.8
2021-04-28,47440.0,1650912.0,1.23,2.35,0.31,1.67,0.0,1240272.0,33919.0,35640.0,1180381.2,,,,,,,,,,,,,,902.0,1.18,0.03,,16.29,16.29,174275.0,6064770.0,,3.31,26.29,24.0,0.2976,44.79,0.2279,34.8
2021-04-29,46638.0,1606679.1,1.21,2.34,0.31,1.64,0.0,1200169.1,33117.0,34838.0,1140880.65,,,,,,0.03,,802.0,,,,,,802.0,1.15,0.03,,15.91,15.91,175078.0,6031437.1,,3.33,25.68,24.44,0.3046,45.91,0.224,34.45
2021-04-30,46002.0,1573268.4,1.2,2.29,0.3,1.6,0.0,1169708.4,32481.0,34202.0,1110850.2,,,,,,0.03,,636.0,,,,,,636.0,1.12,0.03,,15.63,15.63,175344.0,5996764.8,,3.31,25.28,24.82,0.3009,45.24,0.2214,34.2
2021-05-03,55989.0,1931620.5,1.46,2.77,0.37,1.95,0.0,1352020.5,37277.0,39189.0,1286056.5,,4809.0,0.18,,,0.0,5000.0,13.0,,0.18,4809.0,,,13.0,1.28,0.0,,17.89,17.89,171136.0,5904192.0,,3.14,28.93,25.39,0.2472,35.32,0.2686,34.5
2021-05-04,60497.0,2014550.1,1.57,3.06,0.4,2.11,0.0,1415150.1,40264.0,42497.0,1340791.2,,2299.0,,,3499.0,0.01,,512.0,,,2299.0,0.12,1200.0,191.0,1.38,0.0,,19.32,19.32,168114.0,5598196.2,,3.02,31.35,23.93,0.2173,32.9,0.2903,33.3
2021-05-05,84567.0,2828766.15,2.2,4.32,0.56,2.89,0.0,2226666.15,64846.0,66567.0,2169098.7,,24582.0,0.84,,,,24582.0,,,0.84,24582.0,,,512.0,2.16,0.04,,31.22,31.22,142869.0,4778968.05,,2.12,50.47,21.2,0.2259,36.36,0.4071,33.45
2021-05-06,85067.0,2828477.75,2.21,4.43,0.56,2.88,0.0,2229977.75,64846.0,67067.0,2156129.5,,,0.02,,,,500.0,,,0.02,,,,,2.16,,,31.23,31.23,142788.0,4747701.0,,4.75,31.25,22.06,0.2236,35.48,0.4097,33.25
2021-05-07,65923.0,2165570.55,1.71,3.42,0.43,2.22,0.0,1538135.55,44803.0,46823.0,1471778.55,,1100.0,0.03,,,0.71,1100.0,21143.0,,0.03,1100.0,,,21344.0,1.48,0.72,,21.35,21.35,165041.0,5421596.85,,5.47,21.32,21.48,0.1973,29.18,0.3142,32.85
2021-05-10,48608.0,1596772.8,1.26,2.46,0.32,1.64,0.0,1224056.7,35541.0,37262.0,1167521.85,,1609.0,0.18,,,0.49,5345.0,14607.0,,0.18,1609.0,,3736.0,14906.0,1.17,0.5,,16.94,16.94,174303.0,5725853.55,,5.74,16.92,25.74,0.2185,32.37,0.2316,32.85
2021-05-11,50618.0,1609652.4,1.32,2.62,0.33,1.67,0.0,1248849.6,37551.0,39272.0,1194121.8,,1560.0,0.05,,450.0,,1560.0,,,0.05,1560.0,0.01,450.0,,1.22,,,17.9,17.9,172197.0,5475864.6,,5.65,17.71,25.18,0.2126,30.88,0.2413,31.8
2021-05-12,50718.0,1615368.3,1.32,2.61,0.33,1.65,0.0,1253998.2,37651.0,39372.0,1199184.35,,100.0,0.0,,,,100.0,,,0.0,100.0,,,,1.2,,,17.94,17.94,172210.0,5484888.5,,5.51,17.89,24.74,0.2123,31.09,0.2417,31.85
2021-05-13,54288.0,1699214.4,1.41,2.75,0.36,1.75,0.0,1302956.4,39907.0,41628.0,1249089.1,,1806.0,0.04,,992.0,0.01,1314.0,50.0,,0.04,1806.0,0.03,500.0,50.0,1.26,0.0,,19.19,19.19,168096.0,5261404.8,,5.35,19.07,23.82,0.2032,29.52,0.261,31.3
2021-05-14,57148.0,1745871.4,1.49,3.09,0.38,1.81,0.0,1359108.4,39907.0,44488.0,1219158.85,,,0.09,,,,2860.0,,,0.09,,,,,1.24,,,19.31,19.31,166793.0,5095526.15,,5.21,19.19,22.54,0.1899,27.81,0.2765,30.55
2021-05-17,78802.0,2293138.2,2.05,4.27,0.52,2.42,0.0,1924732.2,57277.0,66142.0,1666760.7,,17370.0,0.66,,,,21807.0,,,0.66,17370.0,,,153.0,1.71,0.01,,27.71,27.71,149423.0,4348209.3,,4.58,27.17,19.57,0.2451,40.49,0.3812,29.1
2021-05-18,74867.0,2043869.1,1.95,3.95,0.49,2.15,0.0,1495958.1,53076.0,54797.0,1448974.8,,7410.0,0.01,,,0.39,266.0,11611.0,,0.01,7410.0,,,11611.0,1.47,0.4,,25.37,25.37,156123.0,4262157.9,,4.54,24.52,22.97,0.2131,32.14,0.3579,27.3
2021-05-19,69456.0,1910040.0,1.81,3.4,0.46,1.92,0.0,1284332.5,46447.0,46703.0,1277292.5,,2683.0,0.06,,,0.25,2683.0,9312.0,,0.06,2683.0,,,10777.0,1.27,0.32,,22.41,22.41,160848.0,4423320.0,,4.41,22.39,21.58,0.1872,24.66,0.3351,27.5
2021-05-20,79900.0,2153305.0,2.08,3.77,0.53,2.2,0.0,1449856.1,51196.0,53798.0,1379732.2,,6764.0,0.36,,,0.05,13089.0,2015.0,,0.36,6764.0,,,5994.0,1.39,0.17,,24.86,24.86,154782.0,4171374.9,,4.25,24.69,19.28,0.2253,36.64,0.3879,26.95
2021-05-21,68893.0,1887668.2,1.79,3.23,0.45,1.88,0.0,1279333.4,43866.0,46691.0,1201928.4,,,,,,0.2,,7330.0,,,,,,7107.0,1.19,0.21,,21.53,21.53,159912.0,4381588.8,,4.33,21.56,22.27,0.2558,40.28,0.3381,27.4
2021-05-24,43544.0,1173510.8,1.13,2.09,0.29,1.2,0.0,836231.55,30550.0,31029.0,823322.5,,1530.0,0.03,,1330.0,0.41,1258.0,14846.0,,0.03,1530.0,0.04,,18250.0,0.83,0.49,,14.96,14.96,173628.0,4679274.6,,4.75,14.9,24.8,0.2204,31.04,0.2133,26.95
2021-05-25,42597.0,1199105.55,1.11,2.02,0.28,1.17,0.0,854296.2,27861.0,30348.0,784287.15,,,,,,0.06,,2689.0,,,,,,681.0,0.76,0.02,,13.65,13.65,176317.0,4963323.55,,4.79,13.73,25.91,0.2217,31.3,0.2086,28.15
2021-05-26,34936.0,1055067.2,0.91,1.56,0.23,1.01,0.0,792327.2,23815.0,26236.0,719213.0,,,,,,0.1,,4046.0,,,,,,4112.0,0.69,0.11,,11.65,11.65,180563.0,5453002.6,,5.16,11.82,29.27,0.2579,34.49,0.1709,30.2
2021-05-27,38536.0,1136812.0,1.0,1.68,0.25,1.15,0.0,874262.0,27415.0,29636.0,808742.5,,3600.0,0.12,,,,3400.0,,,0.12,3600.0,,,,0.82,,,13.36,13.36,177763.0,5244008.5,,5.36,13.29,27.78,0.2542,31.13,0.1878,29.5
2021-05-28,37232.0,1085312.8,0.97,1.58,0.25,1.1,0.0,825877.8,26111.0,28332.0,761135.65,,,,,,0.04,,1304.0,,,,,,1304.0,0.77,0.04,,12.73,12.73,179067.0,5219803.05,,5.28,12.7,26.82,0.2511,32.15,0.1815,29.15
2021-05-31,45383.0,1381912.35,1.18,1.95,0.3,1.35,0.0,1101772.35,33962.0,36183.0,1034142.9,,7351.0,0.25,,,,7851.0,,,0.25,7351.0,,500.0,,1.0,,,16.5,16.5,171816.0,5231797.2,,5.05,16.52,25.85,0.2714,37.17,0.2205,30.45
2021-06-01,55894.0,1671230.6,1.45,2.39,0.37,1.7,0.0,1312849.2,44373.0,43908.0,1326752.7,,10411.0,0.23,,,,7725.0,,,0.23,10411.0,,,,1.35,,,21.18,21.18,165087.0,4936101.3,,5.03,21.12,26.94,0.285,38.99,0.2668,29.9
