,ALHRS FP Equity_DX_SI_QTY,ALHRS FP Equity_DX_SHORT_INTEREST_VALUE,ALHRS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHRS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHRS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHRS FP Equity_DX_SI_MV,ALHRS FP Equity_DX_DSS,ALHRS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHRS FP Equity_DX_SUPPLY_SI_QTY,ALHRS FP Equity_DX_BROKER_SI_QTY,ALHRS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHRS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHRS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHRS FP Equity_DX_BROKER_SI_MV_INC_x,ALHRS FP Equity_DX_SUPPLY_SI_MV_NEW,ALHRS FP Equity_DX_BROKER_SI_QTY_ADD,ALHRS FP Equity_DX_SUPPLY_SI_MV_DEC,ALHRS FP Equity_DX_BROKER_SI_QTY_INC,ALHRS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHRS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHRS FP Equity_DX_BROKER_SI_MV_INC_y,ALHRS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHRS FP Equity_DX_BROKER_SI_MV_ADD,ALHRS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHRS FP Equity_DX_BROKER_SI_QTY_DEC,ALHRS FP Equity_DX_SUPPLY_SI_MV,ALHRS FP Equity_DX_BROKER_SI_MV_DEC,ALHRS FP Equity_DX_SUPPLY_SI_MV_RMV,ALHRS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHRS FP Equity_DX_UTILIZATION_QUANTITY,ALHRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHRS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHRS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHRS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHRS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHRS FP Equity_DX_BROKER_SI_CON_RATIO,ALHRS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHRS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHRS FP Equity_PX_LAST
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3
2021-02-09,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,47953.0,1577653.7,,1.29,0.0,,0.0,,0.0,32.9
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,86673.0,2946882.0,,2.88,0.0,,0.0,,0.0,34.0
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,61583.0,2457161.7,,2.27,0.0,,0.0,,0.0,39.9
2021-02-12,4546.0,198660.2,0.03,0.07,0.03,0.18,0.0,99330.1,2273.0,2273.0,99330.1,,,,,2273.0,,,,,,,0.09,2273.0,,0.09,,,3.16,3.16,69758.0,3048424.6,,2.92,3.01,,1.0,100.0,0.0631,43.7
2021-02-15,4546.0,215480.4,0.03,0.06,0.03,0.2,0.0,107740.2,2273.0,2273.0,107740.2,,,,,,,,,,,,,,,0.1,,,3.1,3.1,71052.0,3367864.8,,3.23,2.98,,1.0,100.0,0.062,47.4
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.1,,2273.0,,,,,,2273.0,0.0,0.1,,0.0,0.0,73125.0,2954250.0,,3.17,0.0,,0.0,,0.0,40.4
2021-02-17,2260.0,81586.0,0.01,0.02,0.01,0.09,0.0,81586.0,2260.0,2260.0,81586.0,,,,,2260.0,,,,,,,0.09,2260.0,,0.09,,,3.49,3.49,62565.0,2258596.5,,2.36,3.73,,1.0,100.0,0.0349,36.1
2021-02-18,9584.0,374734.4,0.06,0.09,0.06,0.35,0.0,93214.4,9584.0,2384.0,374734.4,,6876.0,0.0,,,,124.0,,,0.0,6876.0,,448.0,,0.35,,,13.54,13.54,61189.0,2392489.9,,2.31,13.01,,1.0,100.0,0.1354,39.1
2021-02-19,9584.0,392944.0,0.06,0.08,0.06,0.37,0.0,97744.0,9584.0,2384.0,392944.0,,,,,,,,,,,,,,,0.37,,,30.89,30.89,21440.0,879040.0,,0.82,31.31,,1.0,100.0,0.3089,41.0
2021-02-22,12892.0,513746.2,0.34,0.11,0.09,0.52,0.0,221884.8,12768.0,5568.0,508804.8,,3184.0,,,3184.0,,,,,,3184.0,0.13,,,0.52,,,18.19,18.19,57431.0,2288625.35,,2.29,18.62,44.8,0.5054,55.2,0.1836,39.85
2021-02-23,12892.0,496342.0,0.34,0.11,0.09,0.51,0.0,214368.0,12768.0,5568.0,491568.0,,,,,,,,,,,,,,,0.51,,,18.18,18.18,57455.0,2212017.5,,2.22,18.66,44.89,0.5052,55.11,0.1836,38.5
2021-02-24,12892.0,471202.6,0.34,0.1,0.09,0.49,0.0,203510.4,12768.0,5568.0,466670.4,,,,,,,,,,,,,,,0.49,,,18.06,18.06,57931.0,2117378.05,,2.13,18.77,45.44,0.5042,54.56,0.1824,36.55
2021-02-25,12892.0,460889.0,0.34,0.1,0.09,0.47,0.0,199056.0,12768.0,5568.0,456456.0,,,,,,,,,,,,,,,0.47,,,18.18,18.18,57455.0,2054016.25,,2.06,18.49,44.51,0.506,55.49,0.1836,35.75
2021-02-26,12644.0,441275.6,0.33,0.1,0.08,0.45,0.0,189995.6,12644.0,5444.0,441275.6,,,,,,0.0,,124.0,,,,,,124.0,0.45,0.01,,18.07,18.07,57331.0,2000851.9,,2.0,18.44,42.0,0.5128,58.0,0.1807,34.9
2021-03-01,12644.0,482368.6,0.33,0.1,0.08,0.45,0.0,207688.6,12644.0,5444.0,482368.6,,,,,,,,,,,,,,,0.44,,,18.04,18.04,57431.0,2190992.65,,2.12,17.25,39.37,0.5226,60.63,0.1804,38.15
2021-03-02,3184.0,120036.8,0.08,0.02,0.02,0.12,0.0,120036.8,3184.0,3184.0,120036.8,,,,,,0.32,,9460.0,,,,,,2260.0,0.12,0.08,,4.55,4.55,66791.0,2518020.7,,2.51,4.6,,1.0,100.0,0.0455,37.7
2021-03-03,3184.0,116056.8,0.08,0.02,0.02,0.12,0.0,116056.8,3184.0,3184.0,116056.8,,,,,,,,,,,,,,,0.12,,,4.55,4.55,66791.0,2434531.95,,2.45,4.68,,1.0,100.0,0.0455,36.45
2021-03-04,3724.0,132946.8,0.1,0.03,0.02,0.13,0.0,123307.8,3454.0,3454.0,123307.8,,,,,270.0,,,,,,,0.01,270.0,,0.13,,,4.9,4.9,67061.0,2394077.7,,2.41,5.01,14.69,0.7494,85.31,0.0528,35.7
2021-03-05,3724.0,129781.4,0.1,0.03,0.02,0.13,0.0,120371.9,3454.0,3454.0,120371.9,,,,,,,,,,,,,,,0.12,,,4.9,4.9,67061.0,2337075.85,,2.34,5.02,14.82,0.7475,85.18,0.0528,34.85
2021-03-08,9024.0,309072.0,0.23,0.07,0.06,0.31,0.0,209062.0,6104.0,6104.0,209062.0,,1150.0,,,2650.0,,,,,,1150.0,0.09,1500.0,,0.21,,,8.66,8.66,64411.0,2206076.75,,2.21,8.83,41.87,0.4275,49.47,0.128,34.25
2021-03-09,15542.0,534644.8,0.4,0.11,0.1,0.53,0.0,322087.2,9363.0,9363.0,322087.2,,3259.0,0.11,,,,3259.0,,,0.11,3259.0,,,,0.32,,,13.28,13.28,61152.0,2103628.8,,2.08,13.34,33.07,0.4872,61.2,0.2204,34.4
2021-03-10,13853.0,482084.4,0.36,0.1,0.09,0.48,0.0,359275.2,10324.0,10324.0,359275.2,,961.0,0.13,,,,3611.0,,,0.13,961.0,,,2650.0,0.35,0.09,,14.64,14.64,60191.0,2094646.8,,2.07,14.64,30.59,0.5101,64.34,0.1965,34.8
2021-03-11,19574.0,678239.1,0.51,0.14,0.13,0.68,0.0,555959.25,10324.0,16045.0,357726.6,,,,,5721.0,,,,,,,0.2,,,0.36,,,14.66,14.66,60121.0,2083192.65,,2.07,14.76,34.99,0.3369,41.6,0.2779,34.65
2021-03-12,12516.0,455582.4,0.33,0.09,0.08,0.45,0.0,455582.4,6795.0,12516.0,247338.0,,,,,,0.12,,3529.0,,,,,,3529.0,0.24,0.12,,100.0,9.71,0.0,0.0,,0.0,100.0,44.54,0.506,55.46,0.1789,36.4
2021-03-15,12816.0,467784.0,0.33,0.09,0.08,0.47,0.0,456834.0,7095.0,12516.0,258967.5,,300.0,,,,,,,,,300.0,,,,0.26,,,10.14,10.14,62880.0,2295120.0,,2.27,10.22,45.69,0.5037,54.31,0.1832,36.5
2021-03-16,12816.0,467784.0,0.33,0.09,0.08,0.47,0.0,456834.0,7095.0,12516.0,258967.5,,,,,,,,,,,,,,,0.26,,,10.14,10.14,62880.0,2295120.0,,2.28,10.24,45.79,0.5035,54.21,0.1832,36.5
2021-03-17,12816.0,462016.8,0.33,0.09,0.08,0.46,0.0,451201.8,7095.0,12516.0,255774.75,,,,,,,,,,,,,,,0.26,,,10.14,10.14,62880.0,2266824.0,,2.25,10.25,46.01,0.5032,53.99,0.1832,36.05
2021-03-18,12816.0,449200.8,0.33,0.09,0.08,0.46,0.0,438685.8,7095.0,12516.0,248679.75,,,,,,,,,,,,,,,0.26,,,10.3,10.3,61772.0,2165108.6,,2.17,10.6,46.35,0.5027,53.65,0.1861,35.05
2021-03-19,12816.0,447278.4,0.33,0.09,0.08,0.45,0.0,436808.4,7095.0,12516.0,247615.5,,,,,,,,,,,,,,,0.25,,,10.87,10.87,58181.0,2030516.9,,2.02,10.99,45.87,0.5034,54.13,0.1963,34.9
2021-03-22,12516.0,456834.0,0.33,0.09,0.08,0.45,0.0,456834.0,6795.0,12516.0,248017.5,,,,,,0.01,,300.0,,,,,,,0.24,,,100.0,10.39,0.0,0.0,,0.0,100.0,44.54,0.506,55.46,0.1914,36.5
2021-03-23,9721.0,357732.8,0.25,0.07,0.06,0.36,0.0,357732.8,6795.0,9721.0,250056.0,,,,,,,,,,,,,,2795.0,0.25,0.1,,100.0,9.42,0.0,0.0,,0.0,100.0,41.23,0.5154,58.77,0.1348,36.8
2021-03-24,9721.0,358218.85,0.25,0.09,0.06,0.36,0.0,358218.85,4000.0,9721.0,147400.0,,,,,,0.1,,2795.0,,,,,,,0.15,,,100.0,6.2,0.0,0.0,,0.0,100.0,41.1,0.5158,58.9,0.1506,36.85
2021-03-25,9721.0,350928.1,0.25,0.1,0.06,0.36,0.0,350928.1,4000.0,9721.0,144400.0,,,,,,,,,,,,,,,0.15,,,100.0,6.26,0.0,0.0,,0.0,100.0,40.53,0.5179,59.47,0.1522,36.1
2021-03-26,9721.0,350928.1,0.25,0.12,0.06,0.35,0.0,350928.1,4000.0,9721.0,144400.0,,,,,,,,,,,,,,,0.14,,,100.0,6.34,0.0,0.0,,0.0,100.0,41.19,0.5155,58.81,0.1542,36.1
2021-03-29,9721.0,350442.05,0.25,0.14,0.06,0.35,0.0,350442.05,4000.0,9721.0,144200.0,,,,,,,,,,,,,,,0.14,,,100.0,6.34,0.0,0.0,,0.0,100.0,41.14,0.5157,58.86,0.1542,36.05
2021-03-30,9721.0,369884.05,0.25,0.17,0.06,0.36,0.0,369884.05,4000.0,9721.0,152200.0,,,,,,,,,,,,,,,0.14,,,100.0,6.39,0.0,0.0,,0.0,100.0,42.38,0.5116,57.62,0.1553,38.05
2021-03-31,9721.0,371828.25,0.25,0.21,0.06,0.37,0.0,371828.25,4000.0,9721.0,153000.0,,,,,,,,,,,,,,,0.15,,,100.0,6.31,0.0,0.0,,0.0,100.0,41.32,0.5151,58.68,0.1533,38.25
2021-04-01,9721.0,376688.75,0.25,0.24,0.06,0.37,0.0,376688.75,4000.0,9721.0,155000.0,,,,,,,,,,,,,,,0.15,,,100.0,6.27,0.0,0.0,,0.0,100.0,41.56,0.5142,58.44,0.1523,38.75
2021-04-02,9721.0,376688.75,0.25,0.28,0.06,0.37,0.0,376688.75,4000.0,9721.0,155000.0,,,,,,,,,,,,,,,0.15,,,100.0,6.29,0.0,0.0,,0.0,100.0,41.57,0.5142,58.43,0.153,
2021-04-05,9721.0,376688.75,0.25,0.28,0.06,0.38,0.0,376688.75,4000.0,9721.0,155000.0,,,,,,,,,,,,,,,0.15,,,100.0,6.29,0.0,0.0,,0.0,100.0,41.11,0.5158,58.89,0.153,
2021-04-06,11629.0,444809.25,0.3,0.33,0.08,0.45,0.0,427443.75,5454.0,11175.0,208615.5,,,,,1454.0,,,,,,,0.06,1454.0,,0.21,,,100.0,4.58,0.0,0.0,,0.0,100.0,34.21,0.3729,49.19,0.0976,38.25
2021-04-07,11629.0,444227.8,0.3,0.35,0.08,0.44,0.0,426885.0,5454.0,11175.0,208342.8,,,,,,,,,,,,,,,0.21,,,100.0,4.43,0.0,0.0,,0.0,100.0,34.46,0.3736,49.12,0.0945,38.2
2021-04-08,15811.0,613466.8,0.41,0.5,0.1,0.61,0.0,595851.6,9636.0,15357.0,373876.8,,,0.16,,,,4182.0,,,0.16,,,4182.0,,0.37,,,6.67,6.67,134858.0,5232490.4,,2.91,11.28,32.58,0.3052,36.07,0.1094,38.8
2021-04-09,15213.0,591785.7,0.4,0.52,0.1,0.59,0.0,574125.1,9038.0,14759.0,351578.2,,,,,,0.02,,598.0,,,,,,598.0,0.35,0.02,,5.82,5.82,146127.0,5684340.3,,2.97,10.58,30.12,0.3049,37.6,0.098,38.9
2021-04-12,13005.0,491589.0,0.34,0.46,0.09,0.5,0.0,474427.8,6131.0,12551.0,231751.8,,,,,,0.18,,4584.0,,,,,1677.0,2208.0,0.24,0.09,,3.85,3.85,152990.0,5783022.0,,3.11,7.12,30.17,0.3265,44.33,0.0817,37.8
2021-04-13,17883.0,653623.65,0.47,0.66,0.12,0.67,0.0,516086.0,10629.0,14120.0,388489.95,,4309.0,0.06,,,0.08,1569.0,2079.0,,0.06,4309.0,,2268.0,,0.4,,,6.47,6.47,153702.0,5617808.1,,3.04,11.56,27.33,0.3071,39.58,0.1088,36.55
2021-04-14,24861.0,903697.35,0.65,0.96,0.16,0.91,0.0,666695.35,15831.0,18341.0,575456.85,,5656.0,0.04,,3309.0,0.02,1366.0,454.0,,0.04,5656.0,0.12,,454.0,0.58,0.02,,8.92,8.92,161555.0,5872524.25,,3.1,15.7,28.91,0.2607,31.07,0.1402,36.35
2021-04-15,37102.0,1350512.8,0.96,1.5,0.24,1.35,0.0,818199.2,20861.0,22478.0,759340.4,,5030.0,0.15,,,,4137.0,,,0.15,5030.0,,,,0.76,,,11.6,11.6,159010.0,5787964.0,,2.9,20.74,21.65,0.2085,26.06,0.2063,36.4
2021-04-16,40748.0,1495451.6,1.06,1.68,0.27,1.49,0.0,1256167.6,28507.0,34228.0,1046206.9,,8470.0,0.31,,4104.0,0.03,8404.0,824.0,,0.31,8470.0,0.15,,758.0,1.04,0.03,,15.86,15.86,151274.0,5551755.8,,2.63,28.3,19.33,0.2698,42.59,0.2267,36.7
