,DSP5 FP Equity_DX_SI_QTY,DSP5 FP Equity_DX_SHORT_INTEREST_VALUE,DSP5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DSP5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DSP5 FP Equity_DX_SI_MV,DSP5 FP Equity_DX_DSS,DSP5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DSP5 FP Equity_DX_SUPPLY_SI_QTY,DSP5 FP Equity_DX_BROKER_SI_QTY,DSP5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,DSP5 FP Equity_DX_BROKER_SI_MV_INC_x,DSP5 FP Equity_DX_BROKER_SI_QTY_ADD,DSP5 FP Equity_DX_SUPPLY_SI_MV_DEC,DSP5 FP Equity_DX_BROKER_SI_QTY_INC,DSP5 FP Equity_DX_SUPPLY_SI_QTY_DEC,DSP5 FP Equity_DX_BROKER_SI_MV_INC_y,DSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,DSP5 FP Equity_DX_BROKER_SI_MV_ADD,DSP5 FP Equity_DX_SUPPLY_SI_QTY_ADD,DSP5 FP Equity_DX_BROKER_SI_QTY_DEC,DSP5 FP Equity_DX_SUPPLY_SI_MV,DSP5 FP Equity_DX_BROKER_SI_MV_DEC,DSP5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DSP5 FP Equity_DX_UTILIZATION_QUANTITY,DSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DSP5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DSP5 FP Equity_DX_ACTIVE_UTILIZATION_MV,DSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DSP5 FP Equity_DX_BROKER_SI_CON_RATIO,DSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DSP5 FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-06-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9032.0,727527.6,0.71,0.0,0.0,0.0,0.0,0.0
2016-06-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9032.0,718856.88,0.73,0.0,,0.0,,0.0
2016-06-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9032.0,737462.8,0.72,0.0,,0.0,,0.0
2016-06-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9953.0,802709.45,0.81,0.0,,0.0,,0.0
2016-06-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10219.0,791870.31,0.82,0.0,,0.0,,0.0
2016-06-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10396.0,817853.32,0.81,0.0,,0.0,,0.0
2016-06-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10396.0,812447.4,0.82,0.0,,0.0,,0.0
2016-06-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10396.0,793318.76,0.81,0.0,,0.0,,0.0
2016-06-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10534.0,861891.88,0.8,0.0,,0.0,,0.0
2016-06-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10534.0,905924.0,0.86,0.0,,0.0,,0.0
