,MLAIG FP Equity_DX_SI_QTY,MLAIG FP Equity_DX_SHORT_INTEREST_VALUE,MLAIG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLAIG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLAIG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLAIG FP Equity_DX_SI_MV,MLAIG FP Equity_DX_DSS,MLAIG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLAIG FP Equity_DX_SUPPLY_SI_QTY,MLAIG FP Equity_DX_BROKER_SI_QTY,MLAIG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLAIG FP Equity_DX_BROKER_SI_QTY_ADD,MLAIG FP Equity_DX_SUPPLY_SI_MV_DEC,MLAIG FP Equity_DX_SUPPLY_SI_QTY_DEC,MLAIG FP Equity_DX_BROKER_SI_MV_ADD,MLAIG FP Equity_DX_SUPPLY_SI_QTY_ADD,MLAIG FP Equity_DX_BROKER_SI_QTY_DEC,MLAIG FP Equity_DX_SUPPLY_SI_MV,MLAIG FP Equity_DX_BROKER_SI_MV_DEC,MLAIG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLAIG FP Equity_DX_UTILIZATION_QUANTITY,MLAIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLAIG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLAIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLAIG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLAIG FP Equity_DX_BROKER_SI_CON_RATIO,MLAIG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLAIG FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-07-07,100.0,300.0,0.0,0.43,0.0,0.0,0.0,0.0,100.0,0.0,300.0,,,,,100.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,1.0
2025-07-08,200.0,600.0,0.0,0.86,0.0,0.0,0.0,300.0,100.0,100.0,300.0,100.0,,,0.0,,,0.0,,100.0,11.11,0.0,0.0,0.0,100.0,1.0,100.0,0.2222
2025-07-09,200.0,600.0,0.0,0.86,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-10,200.0,600.0,0.0,1.48,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-11,200.0,600.0,0.0,1.48,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-14,200.0,600.0,0.0,1.96,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-15,200.0,600.0,0.0,1.96,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-16,200.0,600.0,0.0,1.96,0.0,0.0,0.0,300.0,100.0,100.0,300.0,,,,,,,0.0,,100.0,5.56,0.0,0.0,0.0,100.0,1.0,100.0,0.1111
2025-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,100.0,,,100.0,0.0,0.0,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
