,MFA8 FP Equity_DX_SI_QTY,MFA8 FP Equity_DX_SHORT_INTEREST_VALUE,MFA8 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MFA8 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MFA8 FP Equity_DX_SI_MV,MFA8 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MFA8 FP Equity_DX_SUPPLY_SI_QTY,MFA8 FP Equity_DX_BROKER_SI_QTY,MFA8 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MFA8 FP Equity_DX_SUPPLY_SI_MV,MFA8 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MFA8 FP Equity_DX_UTILIZATION_QUANTITY,MFA8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MFA8 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MFA8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MFA8 FP Equity_DX_ACTIVE_UTILIZATION_MV,MFA8 FP Equity_DX_BROKER_SI_CON_RATIO,MFA8 FP Equity_DX_DEMAND_SUPPLY_RATIO,MFA8 FP Equity_PX_LAST
2025-04-04,,,,,,,,,,,,,,,,,,,98.35
2025-04-07,,,,,,,,,,,,,,,,,,,98.35
2025-04-08,,,,,,,,,,,,,,,,,,,98.35
2025-04-09,,,,,,,,,,,,,,,,,,,98.35
2025-04-10,,,,,,,,,,,,,,,,,,,98.0
2025-04-11,,,,,,,,,,,,,,,,,,,98.0
2025-04-14,,,,,,,,,,,,,,,,,,,98.4
2025-04-15,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.0,39439901.4,39.44,0.0,0.0,0.0,98.6
2025-04-16,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.0,39427901.43,39.43,0.0,0.0,0.0,98.57
2025-04-17,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400999.0,39554541.36,39.55,0.0,0.0,0.0,98.64
2025-04-18,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400999.0,39554541.36,39.55,0.0,0.0,0.0,
2025-04-21,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400999.0,39554541.36,39.55,0.0,0.0,0.0,
2025-04-22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599999.0,59183901.36,59.18,0.0,0.0,0.0,98.64
2025-04-23,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599999.0,59381901.03,59.38,0.0,0.0,0.0,98.97
2025-04-24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599999.0,59339901.1,59.34,0.0,0.0,0.0,98.9
2025-04-25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599999.0,59441900.93,59.34,0.0,0.0,0.0,99.07
