,ALMLB FP Equity_DX_SI_QTY,ALMLB FP Equity_DX_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMLB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMLB FP Equity_DX_SI_MV,ALMLB FP Equity_DX_DSS,ALMLB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SUPPLY_SI_QTY,ALMLB FP Equity_DX_BROKER_SI_QTY,ALMLB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMLB FP Equity_DX_BROKER_SI_MV_INC_x,ALMLB FP Equity_DX_BROKER_SI_QTY_ADD,ALMLB FP Equity_DX_SUPPLY_SI_MV_DEC,ALMLB FP Equity_DX_BROKER_SI_QTY_INC,ALMLB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMLB FP Equity_DX_BROKER_SI_MV_INC_y,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMLB FP Equity_DX_BROKER_SI_MV_ADD,ALMLB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMLB FP Equity_DX_BROKER_SI_QTY_DEC,ALMLB FP Equity_DX_SUPPLY_SI_MV,ALMLB FP Equity_DX_BROKER_SI_MV_DEC,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMLB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMLB FP Equity_DX_BROKER_SI_CON_RATIO,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMLB FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-11-05,1300.0,4004.0,0.04,0.09,0.03,0.0,0.0,4004.0,0.0,1300.0,0.0,,,1300.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-11-06,1300.0,3952.0,0.04,0.1,0.03,0.0,0.0,3952.0,0.0,1300.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-11-09,1300.0,3978.0,0.04,0.1,0.03,0.0,0.0,3978.0,0.0,1300.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-11-10,1300.0,4030.0,0.04,0.1,0.03,0.0,0.0,4030.0,0.0,1300.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-11-11,4700.0,14899.0,0.16,0.34,0.1,0.01,0.0,14899.0,3400.0,4700.0,10778.0,,,3400.0,,,,,,0.01,3400.0,,0.01,,100.0,89.47,0.0,0.0,0.0,100.0,27.92,0.5975,72.08,1.2368
2020-11-12,6000.0,19680.0,0.21,0.42,0.12,0.02,0.0,9840.0,3000.0,3000.0,9840.0,,,,0.0,,400.0,,,,,1700.0,0.01,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100.0,391.0,0.0,0.0,,0.0,,0.0
2020-12-01,3500.0,13930.0,0.12,0.15,0.07,0.01,0.0,13930.0,3500.0,3500.0,13930.0,,,3500.0,,,,,,0.01,3500.0,,0.01,,100.0,87.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.875
2020-12-02,6500.0,24765.0,0.22,0.26,0.13,0.03,0.0,13335.0,3500.0,3500.0,13335.0,,,,,,,,,,,,0.01,,100.0,87.5,0.0,0.0,0.0,100.0,,1.0,100.0,1.625
2020-12-03,1000.0,3860.0,0.03,0.04,0.02,0.0,0.0,1930.0,500.0,500.0,1930.0,,,,0.01,,3000.0,,,,,3000.0,0.0,0.01,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-04,1000.0,3810.0,0.03,0.04,0.02,0.0,0.0,1905.0,500.0,500.0,1905.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-07,1000.0,3650.0,0.03,0.04,0.02,0.0,0.0,1825.0,500.0,500.0,1825.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-08,1000.0,3740.0,0.03,0.04,0.02,0.0,0.0,1870.0,500.0,500.0,1870.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-09,1000.0,3850.0,0.03,0.04,0.02,0.0,0.0,1925.0,500.0,500.0,1925.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-11,5900.0,21594.0,0.2,0.24,0.12,0.02,0.0,10797.0,2950.0,2950.0,10797.0,,,2950.0,,,,,,0.01,2950.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2020-12-21,2900.0,11107.0,0.1,0.12,0.06,0.01,0.0,11107.0,2900.0,2900.0,11107.0,,,2900.0,,,,,,0.01,2900.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2020-12-22,5800.0,22330.0,0.2,0.25,0.12,0.02,0.0,11165.0,2900.0,2900.0,11165.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2021-02-10,2995.0,16831.9,0.1,0.12,0.06,0.02,0.0,16831.9,2995.0,2995.0,16831.9,,,2995.0,,,,,,0.02,2995.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-02-11,2995.0,16652.2,0.1,0.1,0.06,0.02,0.0,16652.2,2995.0,2995.0,16652.2,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-02-12,5990.0,32465.8,0.2,0.2,0.12,0.03,0.0,16232.9,2995.0,2995.0,16232.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100.0,600.0,0.0,0.0,,0.0,,0.0
2021-03-05,2900.0,17516.0,0.1,0.06,0.06,0.02,0.0,17516.0,2900.0,2900.0,17516.0,,,2900.0,,,,,,0.02,2900.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-08,2900.0,17342.0,0.1,0.07,0.06,0.02,0.0,17342.0,2900.0,2900.0,17342.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-09,5800.0,37004.0,0.2,0.14,0.12,0.03,0.0,18502.0,2900.0,2900.0,18502.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2021-03-25,130.0,777.4,0.0,0.0,0.0,0.0,0.0,777.4,130.0,130.0,777.4,,,130.0,,,,,,0.0,130.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-26,130.0,785.2,0.0,0.0,0.0,0.0,0.0,785.2,130.0,130.0,785.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-29,130.0,785.2,0.0,0.0,0.0,0.0,0.0,785.2,130.0,130.0,785.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-30,130.0,819.0,0.0,0.0,0.0,0.0,0.0,819.0,130.0,130.0,819.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-03-31,130.0,819.0,0.0,0.0,0.0,0.0,0.0,819.0,130.0,130.0,819.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-01,130.0,811.2,0.0,0.0,0.0,0.0,0.0,811.2,130.0,130.0,811.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-02,130.0,811.2,0.0,0.0,0.0,0.0,0.0,811.2,130.0,130.0,811.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-05,130.0,811.2,0.0,0.0,0.0,0.0,0.0,811.2,130.0,130.0,811.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-06,130.0,871.0,0.0,0.0,0.0,0.0,0.0,871.0,130.0,130.0,871.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-07,130.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,858.0,,,,,,,,,,,130.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-12,2200.0,14388.0,0.07,0.1,0.04,0.01,0.0,7194.0,1100.0,1100.0,7194.0,,,1100.0,,,,,,0.01,1100.0,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
