,MLMGL FP Equity_DX_SI_QTY,MLMGL FP Equity_DX_SHORT_INTEREST_VALUE,MLMGL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMGL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMGL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMGL FP Equity_DX_SI_MV,MLMGL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMGL FP Equity_DX_SUPPLY_SI_QTY,MLMGL FP Equity_DX_BROKER_SI_QTY,MLMGL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMGL FP Equity_DX_SUPPLY_SI_MV,MLMGL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMGL FP Equity_DX_UTILIZATION_QUANTITY,MLMGL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMGL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMGL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMGL FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMGL FP Equity_DX_BROKER_SI_CON_RATIO,MLMGL FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMGL FP Equity_PX_LAST
2009-11-30,,,,,,,,,,,,,,,,,,,,14.34
2009-12-01,,,,,,,,,,,,,,,,,,,,14.34
2009-12-02,,,,,,,,,,,,,,,,,,,,15.74
2009-12-03,,,,,,,,,,,,,,,,,,,,15.71
2009-12-18,,,,,,,,,,,,,,,,,,,,15.2
2010-06-02,,,,,,,,,,,,,,,,,,,,15.2
2010-06-22,,,,,,,,,,,,,,,,,,,,15.0
2010-06-23,,,,,,,,,,,,,,,,,,,,15.0
2010-06-24,,,,,,,,,,,,,,,,,,,,15.0
2010-06-25,,,,,,,,,,,,,,,,,,,,15.0
2010-11-01,,,,,,,,,,,,,,,,,,,,14.5
2010-11-02,,,,,,,,,,,,,,,,,,,,14.5
2010-11-03,,,,,,,,,,,,,,,,,,,,14.5
2010-11-04,,,,,,,,,,,,,,,,,,,,14.5
2010-11-05,,,,,,,,,,,,,,,,,,,,14.5
2010-11-08,,,,,,,,,,,,,,,,,,,,14.5
2010-11-09,,,,,,,,,,,,,,,,,,,,14.5
2010-11-10,,,,,,,,,,,,,,,,,,,,14.5
2010-11-11,,,,,,,,,,,,,,,,,,,,14.5
2010-11-12,,,,,,,,,,,,,,,,,,,,14.5
2010-11-15,,,,,,,,,,,,,,,,,,,,14.5
2010-11-16,,,,,,,,,,,,,,,,,,,,14.5
2010-11-17,,,,,,,,,,,,,,,,,,,,14.5
2010-11-18,,,,,,,,,,,,,,,,,,,,14.5
2010-11-19,,,,,,,,,,,,,,,,,,,,14.5
2010-11-22,,,,,,,,,,,,,,,,,,,,14.5
2010-11-23,,,,,,,,,,,,,,,,,,,,14.5
2010-11-24,,,,,,,,,,,,,,,,,,,,14.5
2010-11-25,,,,,,,,,,,,,,,,,,,,14.5
2010-11-26,,,,,,,,,,,,,,,,,,,,14.5
2010-11-29,,,,,,,,,,,,,,,,,,,,15.2
2010-11-30,,,,,,,,,,,,,,,,,,,,15.2
2010-12-01,,,,,,,,,,,,,,,,,,,,15.2
2010-12-02,,,,,,,,,,,,,,,,,,,,15.2
2010-12-03,,,,,,,,,,,,,,,,,,,,15.2
2010-12-06,,,,,,,,,,,,,,,,,,,,15.2
2010-12-07,,,,,,,,,,,,,,,,,,,,15.2
2010-12-08,,,,,,,,,,,,,,,,,,,,15.2
2010-12-10,,,,,,,,,,,,,,,,,,,,15.2
2010-12-13,,,,,,,,,,,,,,,,,,,,15.2
2010-12-14,,,,,,,,,,,,,,,,,,,,15.2
2010-12-15,,,,,,,,,,,,,,,,,,,,15.2
2010-12-17,,,,,,,,,,,,,,,,,,,,15.6
2010-12-20,,,,,,,,,,,,,,,,,,,,15.6
2010-12-21,,,,,,,,,,,,,,,,,,,,15.6
2010-12-22,,,,,,,,,,,,,,,,,,,,15.6
2010-12-23,,,,,,,,,,,,,,,,,,,,15.6
2010-12-24,,,,,,,,,,,,,,,,,,,,15.6
2010-12-27,,,,,,,,,,,,,,,,,,,,15.6
2010-12-29,,,,,,,,,,,,,,,,,,,,17.7
2010-12-30,,,,,,,,,,,,,,,,,,,,18.2
2010-12-31,,,,,,,,,,,,,,,,,,,,18.2
2011-01-03,,,,,,,,,,,,,,,,,,,,18.2
2011-01-04,,,,,,,,,,,,,,,,,,,,18.2
2011-01-05,,,,,,,,,,,,,,,,,,,,18.2
2011-01-06,,,,,,,,,,,,,,,,,,,,18.2
2011-01-07,,,,,,,,,,,,,,,,,,,,18.2
2011-01-11,,,,,,,,,,,,,,,,,,,,18.2
2011-01-12,,,,,,,,,,,,,,,,,,,,18.2
2011-01-13,,,,,,,,,,,,,,,,,,,,18.2
2011-01-14,,,,,,,,,,,,,,,,,,,,18.2
2011-01-17,,,,,,,,,,,,,,,,,,,,18.19
2011-01-18,,,,,,,,,,,,,,,,,,,,18.19
2011-01-19,,,,,,,,,,,,,,,,,,,,18.19
2011-01-20,,,,,,,,,,,,,,,,,,,,18.19
2011-01-21,,,,,,,,,,,,,,,,,,,,18.19
2011-01-24,,,,,,,,,,,,,,,,,,,,18.19
2011-01-25,,,,,,,,,,,,,,,,,,,,18.19
2011-01-26,,,,,,,,,,,,,,,,,,,,18.19
2011-01-27,,,,,,,,,,,,,,,,,,,,18.19
2011-02-01,,,,,,,,,,,,,,,,,,,,18.19
2011-02-02,,,,,,,,,,,,,,,,,,,,18.19
2011-03-01,,,,,,,,,,,,,,,,,,,,18.19
2011-03-02,,,,,,,,,,,,,,,,,,,,18.19
2011-04-01,,,,,,,,,,,,,,,,,,,,18.19
2011-04-21,,,,,,,,,,,,,,,,,,,,18.25
2011-04-26,,,,,,,,,,,,,,,,,,,,18.26
2011-04-29,,,,,,,,,,,,,,,,,,,,18.26
2011-05-03,,,,,,,,,,,,,,,,,,,,18.26
2011-05-06,,,,,,,,,,,,,,,,,,,,18.26
2011-05-13,,,,,,,,,,,,,,,,,,,,18.26
2011-05-17,,,,,,,,,,,,,,,,,,,,18.26
2011-05-20,,,,,,,,,,,,,,,,,,,,18.26
2011-05-24,,,,,,,,,,,,,,,,,,,,18.26
2011-05-27,,,,,,,,,,,,,,,,,,,,18.26
2011-05-31,,,,,,,,,,,,,,,,,,,,18.26
2011-06-03,,,,,,,,,,,,,,,,,,,,18.26
2011-06-09,,,,,,,,,,,,,,,,,,,,18.26
2011-06-10,,,,,,,,,,,,,,,,,,,,18.26
2011-06-14,,,,,,,,,,,,,,,,,,,,18.26
2011-06-17,,,,,,,,,,,,,,,,,,,,18.26
2011-06-22,,,,,,,,,,,,,,,,,,,,18.26
2011-06-24,,,,,,,,,,,,,,,,,,,,18.26
2011-06-27,,,,,,,,,,,,,,,,,,,,18.0
2011-06-28,,,,,,,,,,,,,,,,,,,,17.99
2011-07-01,,,,,,,,,,,,,,,,,,,,17.99
2011-07-05,,,,,,,,,,,,,,,,,,,,17.99
2011-07-12,,,,,,,,,,,,,,,,,,,,17.99
2011-07-15,,,,,,,,,,,,,,,,,,,,17.99
2011-07-19,,,,,,,,,,,,,,,,,,,,17.99
2011-07-20,,,,,,,,,,,,,,,,,,,,17.99
2011-07-26,,,,,,,,,,,,,,,,,,,,17.89
2011-07-29,,,,,,,,,,,,,,,,,,,,17.89
2011-08-02,,,,,,,,,,,,,,,,,,,,17.89
2011-08-05,,,,,,,,,,,,,,,,,,,,17.1
2011-08-16,,,,,,,,,,,,,,,,,,,,17.1
2011-08-19,,,,,,,,,,,,,,,,,,,,17.11
2011-08-23,,,,,,,,,,,,,,,,,,,,17.71
2011-08-26,,,,,,,,,,,,,,,,,,,,17.71
2011-09-02,,,,,,,,,,,,,,,,,,,,17.71
2011-09-06,,,,,,,,,,,,,,,,,,,,17.71
2011-09-09,,,,,,,,,,,,,,,,,,,,17.71
2011-09-13,,,,,,,,,,,,,,,,,,,,17.71
2011-09-16,,,,,,,,,,,,,,,,,,,,17.71
2011-09-20,,,,,,,,,,,,,,,,,,,,17.71
2011-09-23,,,,,,,,,,,,,,,,,,,,17.71
2011-09-27,,,,,,,,,,,,,,,,,,,,17.71
2011-09-30,,,,,,,,,,,,,,,,,,,,17.71
2011-10-04,,,,,,,,,,,,,,,,,,,,17.71
2011-10-07,,,,,,,,,,,,,,,,,,,,17.71
2011-10-10,,,,,,,,,,,,,,,,,,,,17.5
2011-10-11,,,,,,,,,,,,,,,,,,,,17.49
2011-10-18,,,,,,,,,,,,,,,,,,,,17.49
2011-10-21,,,,,,,,,,,,,,,,,,,,17.49
2011-10-25,,,,,,,,,,,,,,,,,,,,17.49
2011-10-28,,,,,,,,,,,,,,,,,,,,17.49
2011-11-01,,,,,,,,,,,,,,,,,,,,17.49
2011-11-04,,,,,,,,,,,,,,,,,,,,17.44
2011-11-09,,,,,,,,,,,,,,,,,,,,17.44
2011-11-15,,,,,,,,,,,,,,,,,,,,17.44
2011-11-22,,,,,,,,,,,,,,,,,,,,17.44
2011-11-29,,,,,,,,,,,,,,,,,,,,17.44
2011-12-02,,,,,,,,,,,,,,,,,,,,17.29
2011-12-06,,,,,,,,,,,,,,,,,,,,17.29
2011-12-09,,,,,,,,,,,,,,,,,,,,17.29
2011-12-12,,,,,,,,,,,,,,,,,,,,17.3
2011-12-13,,,,,,,,,,,,,,,,,,,,17.29
2011-12-16,,,,,,,,,,,,,,,,,,,,17.29
2011-12-20,,,,,,,,,,,,,,,,,,,,17.29
2011-12-23,,,,,,,,,,,,,,,,,,,,17.29
2011-12-27,,,,,,,,,,,,,,,,,,,,17.29
2011-12-30,,,,,,,,,,,,,,,,,,,,17.29
2012-01-04,,,,,,,,,,,,,,,,,,,,17.29
2012-01-09,,,,,,,,,,,,,,,,,,,,17.29
2012-01-13,,,,,,,,,,,,,,,,,,,,17.29
2012-01-20,,,,,,,,,,,,,,,,,,,,17.29
2012-01-24,,,,,,,,,,,,,,,,,,,,17.29
2012-02-01,,,,,,,,,,,,,,,,,,,,17.51
2012-02-03,,,,,,,,,,,,,,,,,,,,17.51
2012-02-07,,,,,,,,,,,,,,,,,,,,17.51
2012-02-10,,,,,,,,,,,,,,,,,,,,17.51
2012-02-14,,,,,,,,,,,,,,,,,,,,17.1
2012-02-17,,,,,,,,,,,,,,,,,,,,17.1
2012-02-21,,,,,,,,,,,,,,,,,,,,17.1
2012-02-24,,,,,,,,,,,,,,,,,,,,17.1
2012-03-02,,,,,,,,,,,,,,,,,,,,17.1
2012-03-06,,,,,,,,,,,,,,,,,,,,17.1
2012-03-09,,,,,,,,,,,,,,,,,,,,17.1
2012-03-13,,,,,,,,,,,,,,,,,,,,17.1
2012-03-16,,,,,,,,,,,,,,,,,,,,17.1
2012-03-27,,,,,,,,,,,,,,,,,,,,17.1
2012-03-29,,,,,,,,,,,,,,,,,,,,17.6
2012-04-03,,,,,,,,,,,,,,,,,,,,17.6
2012-04-11,,,,,,,,,,,,,,,,,,,,15.84
2012-04-13,,,,,,,,,,,,,,,,,,,,17.42
2012-04-17,,,,,,,,,,,,,,,,,,,,17.42
2012-04-20,,,,,,,,,,,,,,,,,,,,17.42
2012-04-24,,,,,,,,,,,,,,,,,,,,17.42
2012-04-25,,,,,,,,,,,,,,,,,,,,17.4
2012-04-27,,,,,,,,,,,,,,,,,,,,17.41
2012-05-02,,,,,,,,,,,,,,,,,,,,17.4
2012-05-04,,,,,,,,,,,,,,,,,,,,17.39
2012-05-11,,,,,,,,,,,,,,,,,,,,17.39
2012-05-15,,,,,,,,,,,,,,,,,,,,17.39
2012-05-18,,,,,,,,,,,,,,,,,,,,17.39
2012-05-22,,,,,,,,,,,,,,,,,,,,17.39
2012-05-25,,,,,,,,,,,,,,,,,,,,17.39
2012-05-29,,,,,,,,,,,,,,,,,,,,17.39
2012-06-01,,,,,,,,,,,,,,,,,,,,17.39
2012-06-05,,,,,,,,,,,,,,,,,,,,17.39
2012-06-08,,,,,,,,,,,,,,,,,,,,17.39
2012-06-12,,,,,,,,,,,,,,,,,,,,17.39
2012-06-19,,,,,,,,,,,,,,,,,,,,17.39
2012-06-22,,,,,,,,,,,,,,,,,,,,17.39
2012-06-26,,,,,,,,,,,,,,,,,,,,17.39
2012-06-27,,,,,,,,,,,,,,,,,,,,17.05
2012-07-03,,,,,,,,,,,,,,,,,,,,17.05
2012-07-06,,,,,,,,,,,,,,,,,,,,17.51
2012-07-10,,,,,,,,,,,,,,,,,,,,17.51
2012-07-17,,,,,,,,,,,,,,,,,,,,17.51
2012-07-24,,,,,,,,,,,,,,,,,,,,17.51
2012-07-27,,,,,,,,,,,,,,,,,,,,17.51
2012-07-30,,,,,,,,,,,,,,,,,,,,17.51
2012-08-14,,,,,,,,,,,,,,,,,,,,17.49
2012-08-17,,,,,,,,,,,,,,,,,,,,17.49
2012-08-21,,,,,,,,,,,,,,,,,,,,17.49
2012-08-24,,,,,,,,,,,,,,,,,,,,17.49
2012-08-31,,,,,,,,,,,,,,,,,,,,17.49
2012-09-04,,,,,,,,,,,,,,,,,,,,17.49
2012-09-07,,,,,,,,,,,,,,,,,,,,17.39
2012-09-12,,,,,,,,,,,,,,,,,,,,17.39
2012-09-14,,,,,,,,,,,,,,,,,,,,17.39
2012-09-18,,,,,,,,,,,,,,,,,,,,17.39
2012-09-21,,,,,,,,,,,,,,,,,,,,17.39
2012-10-05,,,,,,,,,,,,,,,,,,,,17.39
2012-10-09,,,,,,,,,,,,,,,,,,,,17.39
2012-10-12,,,,,,,,,,,,,,,,,,,,17.29
2012-10-16,,,,,,,,,,,,,,,,,,,,17.29
2012-10-19,,,,,,,,,,,,,,,,,,,,17.29
2012-10-23,,,,,,,,,,,,,,,,,,,,17.29
2012-10-26,,,,,,,,,,,,,,,,,,,,17.29
2012-10-31,,,,,,,,,,,,,,,,,,,,17.29
2012-11-02,,,,,,,,,,,,,,,,,,,,17.51
2012-11-06,,,,,,,,,,,,,,,,,,,,17.51
2012-11-09,,,,,,,,,,,,,,,,,,,,17.51
2012-11-29,,,,,,,,,,,,,,,,,,,,16.99
2012-12-04,,,,,,,,,,,,,,,,,,,,16.99
2012-12-07,,,,,,,,,,,,,,,,,,,,16.99
2013-01-04,,,,,,,,,,,,,,,,,,,,16.99
2013-01-07,,,,,,,,,,,,,,,,,,,,16.99
2013-01-08,,,,,,,,,,,,,,,,,,,,16.99
2013-02-01,,,,,,,,,,,,,,,,,,,,16.99
2013-02-05,,,,,,,,,,,,,,,,,,,,16.99
2013-02-08,,,,,,,,,,,,,,,,,,,,16.99
2013-03-01,,,,,,,,,,,,,,,,,,,,17.11
2013-04-19,,,,,,,,,,,,,,,,,,,,16.99
2013-04-23,,,,,,,,,,,,,,,,,,,,16.99
2013-04-26,,,,,,,,,,,,,,,,,,,,16.99
2013-04-30,,,,,,,,,,,,,,,,,,,,16.99
2013-05-03,,,,,,,,,,,,,,,,,,,,16.99
2013-05-10,,,,,,,,,,,,,,,,,,,,17.11
2013-05-14,,,,,,,,,,,,,,,,,,,,17.11
2013-05-17,,,,,,,,,,,,,,,,,,,,17.11
2013-05-24,,,,,,,,,,,,,,,,,,,,17.11
2013-05-31,,,,,,,,,,,,,,,,,,,,17.11
2013-06-04,,,,,,,,,,,,,,,,,,,,17.11
2013-06-07,,,,,,,,,,,,,,,,,,,,17.11
2013-06-11,,,,,,,,,,,,,,,,,,,,17.11
2013-06-18,,,,,,,,,,,,,,,,,,,,17.11
2013-06-21,,,,,,,,,,,,,,,,,,,,17.11
2013-06-25,,,,,,,,,,,,,,,,,,,,17.11
2013-06-28,,,,,,,,,,,,,,,,,,,,17.11
2013-07-05,,,,,,,,,,,,,,,,,,,,17.11
2013-08-09,,,,,,,,,,,,,,,,,,,,17.11
2013-08-13,,,,,,,,,,,,,,,,,,,,17.11
2013-08-16,,,,,,,,,,,,,,,,,,,,17.11
2013-08-28,,,,,,,,,,,,,,,,,,,,17.11
2013-08-30,,,,,,,,,,,,,,,,,,,,17.11
2013-09-03,,,,,,,,,,,,,,,,,,,,17.11
2013-09-06,,,,,,,,,,,,,,,,,,,,17.11
2013-09-10,,,,,,,,,,,,,,,,,,,,17.11
2013-10-01,,,,,,,,,,,,,,,,,,,,17.11
2013-10-04,,,,,,,,,,,,,,,,,,,,17.11
2013-10-08,,,,,,,,,,,,,,,,,,,,17.11
2013-10-11,,,,,,,,,,,,,,,,,,,,17.11
2013-10-15,,,,,,,,,,,,,,,,,,,,17.11
2013-10-18,,,,,,,,,,,,,,,,,,,,17.11
2013-10-22,,,,,,,,,,,,,,,,,,,,17.11
2013-10-25,,,,,,,,,,,,,,,,,,,,17.11
2013-11-08,,,,,,,,,,,,,,,,,,,,17.11
2013-12-06,,,,,,,,,,,,,,,,,,,,16.98
2013-12-13,,,,,,,,,,,,,,,,,,,,18.6
2013-12-16,,,,,,,,,,,,,,,,,,,,19.0
2013-12-18,,,,,,,,,,,,,,,,,,,,22.2
2015-05-22,,,,,,,,,,,,,,,,,,,,4.6
2015-05-26,,,,,,,,,,,,,,,,,,,,5.56
2015-06-01,,,,,,,,,,,,,,,,,,,,5.56
2015-06-08,,,,,,,,,,,,,,,,,,,,5.56
2015-06-11,,,,,,,,,,,,,,,,,,,,6.72
2015-06-15,,,,,,,,,,,,,,,,,,,,8.12
2015-06-17,,,,,,,,,,,,,,,,,,,,8.93
2015-06-18,,,,,,,,,,,,,,,,,,,,9.8
2015-06-22,,,,,,,,,,,,,,,,,,,,10.77
2015-06-23,,,,,,,,,,,,,,,,,,,,11.0
2015-06-25,,,,,,,,,,,,,,,,,,,,13.21
2015-06-30,,,,,,,,,,,,,,,,,,,,15.0
2015-07-02,,,,,,,,,,,,,,,,,,,,17.0
2015-07-03,,,,,,,,,,,,,,,,,,,,17.0
2015-08-25,,,,,,,,,,,,,,,,,,,,18.5
2015-08-27,,,,,,,,,,,,,,,,,,,,19.5
2015-09-08,,,,,,,,,,,,,,,,,,,,20.0
2015-09-15,,,,,,,,,,,,,,,,,,,,21.8
2015-09-16,,,,,,,,,,,,,,,,,,,,21.8
2015-09-23,,,,,,,,,,,,,,,,,,,,19.62
2015-09-25,,,,,,,,,,,,,,,,,,,,21.8
2015-10-07,,,,,,,,,,,,,,,,,,,,16.0
2015-10-08,,,,,,,,,,,,,,,,,,,,17.51
2015-10-09,,,,,,,,,,,,,,,,,,,,19.21
2015-10-12,,,,,,,,,,,,,,,,,,,,21.11
2015-10-13,,,,,,,,,,,,,,,,,,,,21.8
2015-11-26,,,,,,,,,,,,,,,,,,,,22.2
2015-12-14,,,,,,,,,,,,,,,,,,,,22.0
2015-12-29,,,,,,,,,,,,,,,,,,,,16.04
2016-01-12,,,,,,,,,,,,,,,,,,,,15.0
2016-01-13,,,,,,,,,,,,,,,,,,,,16.0
2016-02-16,,,,,,,,,,,,,,,,,,,,14.4
2016-02-19,,,,,,,,,,,,,,,,,,,,17.6
2016-03-22,,,,,,,,,,,,,,,,,,,,12.9
2016-03-31,,,,,,,,,,,,,,,,,,,,9.0
2016-04-01,,,,,,,,,,,,,,,,,,,,8.5
2016-04-12,,,,,,,,,,,,,,,,,,,,7.0
2016-04-15,,,,,,,,,,,,,,,,,,,,7.0
2016-04-20,,,,,,,,,,,,,,,,,,,,7.0
2016-05-17,,,,,,,,,,,,,,,,,,,,6.0
2016-06-17,,,,,,,,,,,,,,,,,,,,6.0
2016-08-09,,,,,,,,,,,,,,,,,,,,6.0
2016-09-02,,,,,,,,,,,,,,,,,,,,6.0
2016-10-03,,,,,,,,,,,,,,,,,,,,6.0
2016-10-05,,,,,,,,,,,,,,,,,,,,6.0
2016-10-11,,,,,,,,,,,,,,,,,,,,6.0
2016-10-24,,,,,,,,,,,,,,,,,,,,6.5
2016-10-27,,,,,,,,,,,,,,,,,,,,7.0
2016-11-18,,,,,,,,,,,,,,,,,,,,6.5
2016-11-22,,,,,,,,,,,,,,,,,,,,6.5
2016-11-28,,,,,,,,,,,,,,,,,,,,6.5
2016-12-07,,,,,,,,,,,,,,,,,,,,5.86
2016-12-09,,,,,,,,,,,,,,,,,,,,5.86
2016-12-12,,,,,,,,,,,,,,,,,,,,5.86
2016-12-15,,,,,,,,,,,,,,,,,,,,4.8
2016-12-16,,,,,,,,,,,,,,,,,,,,5.0
2016-12-21,,,,,,,,,,,,,,,,,,,,5.0
2017-01-02,,,,,,,,,,,,,,,,,,,,5.35
2017-01-05,,,,,,,,,,,,,,,,,,,,5.0
2017-01-20,,,,,,,,,,,,,,,,,,,,5.95
2017-01-23,,,,,,,,,,,,,,,,,,,,5.96
2017-02-10,,,,,,,,,,,,,,,,,,,,6.2
2017-02-17,,,,,,,,,,,,,,,,,,,,8.0
2017-02-21,,,,,,,,,,,,,,,,,,,,8.01
2017-02-22,,,,,,,,,,,,,,,,,,,,8.0
2017-03-03,,,,,,,,,,,,,,,,,,,,8.0
2017-03-14,,,,,,,,,,,,,,,,,,,,8.0
2017-03-20,,,,,,,,,,,,,,,,,,,,8.0
2017-03-22,,,,,,,,,,,,,,,,,,,,8.0
2017-03-23,,,,,,,,,,,,,,,,,,,,8.0
2017-03-24,,,,,,,,,,,,,,,,,,,,8.0
2017-03-27,,,,,,,,,,,,,,,,,,,,8.0
2017-04-03,,,,,,,,,,,,,,,,,,,,8.05
2017-04-11,,,,,,,,,,,,,,,,,,,,8.05
2017-04-12,,,,,,,,,,,,,,,,,,,,8.0
2017-04-13,,,,,,,,,,,,,,,,,,,,8.0
2017-04-18,,,,,,,,,,,,,,,,,,,,8.0
2017-04-19,,,,,,,,,,,,,,,,,,,,8.0
2017-04-20,,,,,,,,,,,,,,,,,,,,8.0
2017-04-27,,,,,,,,,,,,,,,,,,,,7.61
2017-04-28,,,,,,,,,,,,,,,,,,,,8.0
2017-05-02,,,,,,,,,,,,,,,,,,,,8.0
2017-05-03,,,,,,,,,,,,,,,,,,,,7.61
2017-05-04,,,,,,,,,,,,,,,,,,,,7.61
2017-05-05,,,,,,,,,,,,,,,,,,,,7.61
2017-05-08,,,,,,,,,,,,,,,,,,,,7.61
2017-05-10,,,,,,,,,,,,,,,,,,,,7.6
2017-05-11,,,,,,,,,,,,,,,,,,,,7.6
2017-05-12,,,,,,,,,,,,,,,,,,,,7.56
2017-05-15,,,,,,,,,,,,,,,,,,,,7.6
2017-05-16,,,,,,,,,,,,,,,,,,,,7.75
2017-05-22,,,,,,,,,,,,,,,,,,,,8.0
2017-05-29,,,,,,,,,,,,,,,,,,,,7.67
2017-06-02,,,,,,,,,,,,,,,,,,,,7.01
2017-06-06,,,,,,,,,,,,,,,,,,,,8.0
2017-06-08,,,,,,,,,,,,,,,,,,,,7.2
2017-06-13,,,,,,,,,,,,,,,,,,,,8.0
2017-06-16,,,,,,,,,,,,,,,,,,,,8.9
2017-07-03,,,,,,,,,,,,,,,,,,,,8.02
2017-07-11,,,,,,,,,,,,,,,,,,,,8.01
2017-07-26,,,,,,,,,,,,,,,,,,,,8.26
2017-07-27,,,,,,,,,,,,,,,,,,,,8.25
2017-08-01,,,,,,,,,,,,,,,,,,,,7.9
2017-08-16,,,,,,,,,,,,,,,,,,,,7.89
2017-08-18,,,,,,,,,,,,,,,,,,,,7.88
2017-08-21,,,,,,,,,,,,,,,,,,,,7.88
2017-09-04,,,,,,,,,,,,,,,,,,,,7.87
2017-09-05,,,,,,,,,,,,,,,,,,,,9.0
2017-09-06,,,,,,,,,,,,,,,,,,,,8.91
2017-09-18,,,,,,,,,,,,,,,,,,,,9.0
2017-09-26,,,,,,,,,,,,,,,,,,,,10.0
2017-09-29,,,,,,,,,,,,,,,,,,,,10.0
2017-10-02,,,,,,,,,,,,,,,,,,,,10.01
2017-10-05,,,,,,,,,,,,,,,,,,,,9.8
2017-10-06,,,,,,,,,,,,,,,,,,,,9.75
2017-10-09,,,,,,,,,,,,,,,,,,,,9.75
2017-10-13,,,,,,,,,,,,,,,,,,,,9.8
2017-10-20,,,,,,,,,,,,,,,,,,,,10.0
2017-10-24,,,,,,,,,,,,,,,,,,,,10.01
2017-10-27,,,,,,,,,,,,,,,,,,,,10.01
2017-10-31,,,,,,,,,,,,,,,,,,,,10.01
2017-11-02,,,,,,,,,,,,,,,,,,,,10.0
2017-11-06,,,,,,,,,,,,,,,,,,,,11.0
2017-11-07,,,,,,,,,,,,,,,,,,,,10.5
2017-11-13,,,,,,,,,,,,,,,,,,,,10.0
2017-11-24,,,,,,,,,,,,,,,,,,,,10.01
2017-11-27,,,,,,,,,,,,,,,,,,,,10.0
2017-11-28,,,,,,,,,,,,,,,,,,,,9.98
2017-12-05,,,,,,,,,,,,,,,,,,,,9.98
2017-12-12,,,,,,,,,,,,,,,,,,,,9.98
2017-12-14,,,,,,,,,,,,,,,,,,,,9.97
2017-12-18,,,,,,,,,,,,,,,,,,,,9.97
2017-12-19,,,,,,,,,,,,,,,,,,,,9.96
2017-12-20,,,,,,,,,,,,,,,,,,,,9.96
2017-12-22,,,,,,,,,,,,,,,,,,,,9.96
2018-01-05,,,,,,,,,,,,,,,,,,,,9.95
2018-01-09,,,,,,,,,,,,,,,,,,,,9.95
2018-01-11,,,,,,,,,,,,,,,,,,,,9.95
2018-01-15,,,,,,,,,,,,,,,,,,,,9.95
2018-01-19,,,,,,,,,,,,,,,,,,,,9.95
2018-01-26,,,,,,,,,,,,,,,,,,,,9.95
2018-01-29,,,,,,,,,,,,,,,,,,,,9.95
2018-02-05,,,,,,,,,,,,,,,,,,,,9.9
2018-02-06,,,,,,,,,,,,,,,,,,,,9.5
2018-02-07,,,,,,,,,,,,,,,,,,,,9.5
2018-02-08,,,,,,,,,,,,,,,,,,,,10.5
2018-02-09,,,,,,,,,,,,,,,,,,,,10.5
2018-02-13,,,,,,,,,,,,,,,,,,,,9.5
2018-02-14,,,,,,,,,,,,,,,,,,,,9.4
