,ALDNE FP Equity_DX_SI_QTY,ALDNE FP Equity_DX_SHORT_INTEREST_VALUE,ALDNE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDNE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDNE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDNE FP Equity_DX_SI_MV,ALDNE FP Equity_DX_DSS,ALDNE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDNE FP Equity_DX_SUPPLY_SI_QTY,ALDNE FP Equity_DX_BROKER_SI_QTY,ALDNE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDNE FP Equity_DX_BROKER_SI_MV_NEW_x,ALDNE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDNE FP Equity_DX_BROKER_SI_MV_INC_x,ALDNE FP Equity_DX_BROKER_SI_QTY_ADD,ALDNE FP Equity_DX_BROKER_SI_QTY_NEW,ALDNE FP Equity_DX_SUPPLY_SI_MV_DEC,ALDNE FP Equity_DX_BROKER_SI_QTY_INC,ALDNE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDNE FP Equity_DX_BROKER_SI_MV_NEW_y,ALDNE FP Equity_DX_BROKER_SI_MV_INC_y,ALDNE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDNE FP Equity_DX_BROKER_SI_MV_ADD,ALDNE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDNE FP Equity_DX_BROKER_SI_QTY_DEC,ALDNE FP Equity_DX_SUPPLY_SI_MV,ALDNE FP Equity_DX_BROKER_SI_MV_DEC,ALDNE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDNE FP Equity_DX_UTILIZATION_QUANTITY,ALDNE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDNE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDNE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDNE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDNE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDNE FP Equity_DX_BROKER_SI_CON_RATIO,ALDNE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDNE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALDNE FP Equity_PX_LAST
2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.45
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.55
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.52
2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.65
2018-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.32
2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
