,ALAGO FP Equity_DX_SI_QTY,ALAGO FP Equity_DX_SHORT_INTEREST_VALUE,ALAGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAGO FP Equity_DX_SI_MV,ALAGO FP Equity_DX_DSS,ALAGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAGO FP Equity_DX_SUPPLY_SI_QTY,ALAGO FP Equity_DX_BROKER_SI_QTY,ALAGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAGO FP Equity_DX_BROKER_SI_MV_NEW_x,ALAGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAGO FP Equity_DX_BROKER_SI_MV_INC_x,ALAGO FP Equity_DX_BROKER_SI_QTY_ADD,ALAGO FP Equity_DX_BROKER_SI_QTY_NEW,ALAGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALAGO FP Equity_DX_BROKER_SI_QTY_INC,ALAGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAGO FP Equity_DX_BROKER_SI_MV_NEW_y,ALAGO FP Equity_DX_BROKER_SI_MV_INC_y,ALAGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAGO FP Equity_DX_BROKER_SI_MV_ADD,ALAGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAGO FP Equity_DX_BROKER_SI_QTY_DEC,ALAGO FP Equity_DX_SUPPLY_SI_MV,ALAGO FP Equity_DX_BROKER_SI_MV_DEC,ALAGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAGO FP Equity_DX_UTILIZATION_QUANTITY,ALAGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAGO FP Equity_DX_BROKER_SI_CON_RATIO,ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAGO FP Equity_PX_LAST
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
