,AF FP Equity_DX_SI_QTY,AF FP Equity_DX_SHORT_INTEREST_VALUE,AF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AF FP Equity_DX_SI_MV,AF FP Equity_DX_DSS,AF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AF FP Equity_DX_SUPPLY_SI_QTY,AF FP Equity_DX_BROKER_SI_QTY,AF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AF FP Equity_DX_BROKER_SI_MV_NEW_x,AF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AF FP Equity_DX_SUPPLY_SI_QTY_INC_x,AF FP Equity_DX_BROKER_SI_MV_INC_x,AF FP Equity_DX_SUPPLY_SI_MV_NEW,AF FP Equity_DX_BROKER_SI_QTY_ADD,AF FP Equity_DX_BROKER_SI_QTY_NEW,AF FP Equity_DX_SUPPLY_SI_MV_DEC,AF FP Equity_DX_BROKER_SI_QTY_INC,AF FP Equity_DX_SUPPLY_SI_QTY_DEC,AF FP Equity_DX_BROKER_SI_MV_NEW_y,AF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AF FP Equity_DX_BROKER_SI_MV_INC_y,AF FP Equity_DX_SUPPLY_SI_QTY_INC_y,AF FP Equity_DX_BROKER_SI_MV_ADD,AF FP Equity_DX_SUPPLY_SI_QTY_ADD,AF FP Equity_DX_BROKER_SI_QTY_DEC,AF FP Equity_DX_SUPPLY_SI_MV,AF FP Equity_DX_BROKER_SI_MV_DEC,AF FP Equity_DX_SUPPLY_SI_MV_RMV,AF FP Equity_DX_BROKER_SI_MV_RMV,AF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AF FP Equity_DX_UTILIZATION_QUANTITY,AF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AF FP Equity_DX_ACTIVE_UTILIZATION_MV,AF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AF FP Equity_DX_BROKER_SI_CON_RATIO,AF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AF FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,13468574.0,233951984.97,5.0,6.51,5.0,246.39,1.0,80757433.04,9814250.0,4649191.0,170475602.58,7.73,,31953.0,3.75,,,413300.0,0.29,200569.0,90959.0,7.73,,3.75,31953.0,,26216.0,157675.0,180.47,1.99,,,39.85,39.85,14815824.0,257354003.01,,272.49,39.84,11.66,0.2562,46.73,0.5468
2006-01-11,14475610.0,249563953.37,5.37,7.68,5.37,264.81,2.0,64420232.76,11682685.0,3736606.0,201413070.3,,,1146558.0,1.92,,7000.0,,2.81,103949.0,153889.0,,,1.92,1146558.0,0.14,875767.0,1023533.0,214.86,19.04,,,46.62,46.62,13375941.0,230605322.74,,245.96,46.63,9.81,0.3408,56.39,0.5777
2006-01-18,14738559.0,245481489.85,5.47,7.91,5.47,270.52,2.0,68972735.63,11426463.0,4141081.0,190316106.27,,63642.0,313957.0,19.45,1.17,,,14.9,1045980.0,797383.0,,63642.0,19.45,313957.0,,163562.0,641505.0,207.01,8.0,,,41.22,41.22,16294599.0,271398475.18,,296.06,41.15,11.87,0.3212,53.96,0.5317
2006-01-25,13917789.0,229873825.65,5.17,7.53,5.17,258.31,2.0,47222593.61,11815839.0,2859108.0,195156868.25,,236256.0,359540.0,,4.22,,,2.83,,200474.0,,236256.0,,359540.0,,288622.0,1281973.0,214.02,20.16,5.4,,43.16,43.16,15563749.0,257059402.47,294568.0,282.91,43.07,12.69,0.397,60.99,0.5083
2006-02-01,13796178.0,238362394.13,5.12,8.27,5.12,268.27,2.0,47724421.67,11695882.0,2762242.0,202074693.08,,,16331.0,1.34,,,,0.0,2195.0,136289.0,,,1.34,16331.0,,,99061.0,222.12,1.61,,,42.56,42.56,15783432.0,272697020.81,,300.8,42.48,12.84,0.4045,61.59,0.5021
2006-02-08,14113581.0,258251827.74,5.24,7.79,5.24,278.69,2.0,54228162.73,11818630.0,2963594.0,216258566.76,,,128150.0,0.24,,517920.0,,2.93,7410.0,177424.0,,,0.24,128150.0,8.63,172021.0,323978.0,228.96,5.94,,,32.81,32.81,24199174.0,442799096.5,,471.4,32.69,9.79,0.3909,60.74,0.3918
2006-02-15,15493401.0,291981918.62,5.75,8.02,5.75,308.45,2.0,64230401.97,12767551.0,3408250.0,240611731.22,6.61,385519.0,316624.0,9.52,7.68,,325643.0,0.0,458088.0,117118.0,6.61,385519.0,9.52,316624.0,,503491.0,52775.0,255.01,6.58,2.75,5.65,44.62,44.62,15847931.0,298663237.31,139596.0,317.3,44.56,12.72,0.3469,55.78,0.5414
2006-02-22,15662702.0,283545805.83,5.81,8.06,5.81,303.04,2.0,69364954.78,12466404.0,3831630.0,225682424.91,,,233596.0,7.65,,,,7.27,453380.0,185487.0,,,7.65,233596.0,,36263.0,30000.0,241.6,0.71,7.68,,47.87,47.87,13576060.0,245770804.6,385519.0,263.49,47.83,12.69,0.3491,55.9,0.6014
2006-03-01,15915310.0,291958446.93,5.91,8.74,5.91,308.45,2.0,80204367.05,12172288.0,4372120.0,223294569.82,,,334083.0,9.55,,82000.0,,12.35,477037.0,641355.0,,,9.55,334083.0,1.67,19556.0,18547.0,236.24,0.39,0.09,,41.88,41.88,16893166.0,309896728.94,6400.0,328.96,41.8,13.57,0.3018,50.79,0.5476
2006-03-08,14373304.0,256069063.41,5.34,8.61,5.34,282.01,2.0,63955214.11,11388910.0,3589843.0,202900287.71,,,380654.0,2.24,,29616.0,,24.95,89768.0,1307125.0,,,2.24,380654.0,0.73,143094.0,901661.0,224.16,17.57,,,38.46,38.46,18224122.0,324673704.25,,356.39,38.61,14.95,0.2916,50.22,0.4854
