,ETH0 FP Equity_PX_LAST
2021-12-15,32.86
2021-12-16,36.17
2021-12-17,34.83
2021-12-20,33.77
2021-12-21,35.33
2021-12-22,35.49
2021-12-23,34.91
2021-12-24,36.1
2021-12-27,36.07
2021-12-28,34.07
2021-12-29,33.29
2021-12-30,33.04
2021-12-31,33.49
2022-01-03,33.22
2022-01-04,34.08
2022-01-05,33.62
2022-01-06,29.94
2022-01-07,28.0
2022-01-10,27.91
2022-01-11,28.26
2022-01-12,29.42
2022-01-13,28.83
2022-01-14,28.74
2022-01-17,28.3
2022-01-18,27.38
2022-01-19,27.23
2022-01-20,28.66
2022-01-24,20.08
2022-01-25,21.57
2022-01-26,23.09
2022-01-27,22.31
2022-01-28,22.06
2022-01-31,23.61
2022-02-01,24.82
2022-02-02,23.5
2022-02-03,23.04
2022-02-04,25.71
2022-02-07,27.43
2022-02-08,26.97
2022-02-09,27.93
2022-02-10,27.92
2022-02-11,27.03
2022-02-15,27.46
2022-02-16,26.95
2022-02-17,27.41
2022-02-21,23.96
2022-02-22,22.93
2022-02-23,23.91
2022-02-24,22.18
2022-02-25,24.13
2022-02-28,25.03
2022-03-01,26.27
2022-03-02,26.77
2022-03-03,26.21
2022-03-04,24.36
2022-03-07,24.11
2022-03-08,23.3
2022-03-09,24.85
2022-03-14,23.42
2022-03-15,23.68
2022-03-16,24.43
2022-03-17,25.22
2022-03-18,26.22
2022-03-21,26.58
2022-03-22,27.3
2022-03-23,27.42
2022-03-24,28.13
2022-03-25,28.46
2022-03-28,30.75
2022-03-29,31.05
2022-03-30,30.12
2022-03-31,30.25
2022-04-01,31.05
2022-04-04,31.25
2022-04-05,31.66
2022-04-06,29.76
2022-04-07,29.04
2022-04-08,30.26
2022-04-11,27.78
2022-04-12,28.1
2022-04-13,28.67
2022-04-14,28.16
2022-04-19,28.84
2022-04-20,28.22
2022-04-21,28.95
2022-04-22,27.82
2022-04-25,26.9
2022-04-26,27.19
2022-04-27,27.15
2022-04-28,27.59
2022-04-29,27.06
2022-05-02,26.85
2022-05-03,26.85
2022-05-04,26.79
2022-05-05,27.63
2022-05-06,25.54
2022-05-09,22.36
2022-05-10,22.3
2022-05-11,21.77
2022-05-18,18.6
2022-05-19,18.71
2022-05-20,18.59
2022-05-25,18.36
2022-05-26,17.93
2022-05-27,16.54
2022-05-30,17.67
2022-05-31,18.18
2022-06-01,17.77
2022-06-02,16.97
2022-06-03,16.5
2022-06-06,17.56
2022-06-07,16.61
2022-06-08,16.92
2022-06-09,16.81
2022-06-10,16.4
2022-06-13,11.68
2022-06-14,11.71
2022-06-15,10.55
2022-06-16,10.66
2022-06-17,10.29
2022-06-20,10.67
2022-06-21,11.14
2022-06-22,10.37
2022-06-23,10.35
2022-06-24,10.76
2022-06-27,11.17
2022-06-28,11.3
2022-06-29,10.58
2022-06-30,9.85
2022-07-01,10.18
2022-07-04,10.6
2022-07-05,10.58
2022-07-06,11.102
2022-07-07,11.953
2022-07-08,12.159
2022-07-11,11.272
2022-07-12,10.697
2022-07-13,10.491
2022-07-14,11.088
2022-07-15,12.128
2022-07-18,14.569
2022-07-19,14.911
2022-07-20,15.723
2022-07-21,14.837
2022-07-22,15.433
2022-07-25,14.949
2022-07-26,13.604
2022-07-27,14.678
2022-07-29,16.837
2022-08-01,16.263
2022-08-02,15.87
2022-08-03,16.352
2022-08-04,15.768
2022-08-05,16.508
2022-08-09,16.523
2022-08-10,17.841
2022-08-11,18.452
2022-08-12,18.506
2022-08-15,18.707
2022-08-16,18.534
2022-08-17,18.033
2022-08-18,18.498
2022-08-19,16.833
2022-08-23,16.389
2022-08-24,16.733
2022-08-25,17.035
2022-08-26,16.017
2022-08-29,15.253
2022-08-30,15.174
2022-08-31,15.403
2022-09-01,15.494
2022-09-02,16.277
2022-09-05,16.073
2022-09-06,16.791
2022-09-07,15.489
2022-09-08,16.489
2022-09-09,17.24
2022-09-12,17.033
2022-09-13,15.941
2022-09-14,15.84
2022-09-15,16.475
2022-09-16,14.577
2022-09-19,13.508
2022-09-20,13.652
2022-09-21,13.673
2022-09-22,12.974
2022-09-23,13.509
2022-09-26,13.792
2022-09-27,14.461
2022-09-28,13.836
2022-09-29,13.687
2022-09-30,14.004
2022-10-03,13.551
2022-10-04,13.565
2022-10-05,13.472
2022-10-06,13.895
2022-10-07,13.69
2022-10-10,13.527
2022-10-11,13.291
2022-10-12,13.374
2022-10-13,12.789
2022-10-14,13.471
2022-10-17,13.549
2022-10-18,13.425
2022-10-19,13.379
2022-10-20,13.359
2022-10-21,13.192
2022-10-24,13.613
2022-10-25,14.042
2022-10-26,15.797
2022-10-27,15.678
2022-10-28,15.493
2022-10-31,15.965
2022-11-01,16.054
2022-11-02,15.87
2022-11-03,15.931
2022-11-04,16.34
2022-11-07,16.0
2022-11-08,15.637
2022-11-09,11.678
2022-11-10,11.975
2022-11-11,12.026
2022-11-14,11.963
2022-11-15,12.285
2022-11-16,12.048
2022-11-17,11.773
2022-11-18,11.755
2022-11-21,10.9
2022-11-22,11.055
2022-11-23,11.258
2022-11-24,11.549
2022-11-25,11.464
2022-11-28,11.363
2022-11-29,11.705
2022-11-30,12.382
2022-12-01,12.384
2022-12-02,12.209
2022-12-05,12.381
2022-12-06,12.108
2022-12-07,11.77
2022-12-08,11.806
2022-12-09,12.215
2022-12-12,11.928
2022-12-13,12.072
2022-12-14,12.528
2022-12-15,12.191
2022-12-16,12.088
2022-12-19,11.174
2022-12-20,11.459
2022-12-21,11.465
2022-12-22,11.484
2022-12-23,11.577
2022-12-27,11.537
2022-12-28,11.318
2022-12-29,11.315
2022-12-30,11.238
2023-01-02,11.448
2023-01-03,11.55
2023-01-04,11.896
2023-01-05,11.858
2023-01-06,11.936
2023-01-09,12.365
2023-01-10,12.42
2023-01-11,12.527
2023-01-12,13.078
2023-01-13,13.077
2023-01-16,13.077
2023-01-17,14.54
2023-01-18,14.717
2023-01-19,14.239
2023-01-20,14.395
2023-01-23,15.093
2023-01-24,15.131
2023-01-25,14.395
2023-01-26,14.843
2023-01-27,14.673
2023-01-30,15.085
2023-01-31,14.681
2023-02-01,14.574
2023-02-02,14.574
2023-02-03,15.132
2023-02-06,15.299
2023-02-07,15.334
2023-02-08,15.703
2023-02-09,15.302
2023-02-10,14.529
2023-02-13,14.306
2023-02-14,14.126
2023-02-15,14.544
2023-02-16,15.81
2023-02-17,15.664
2023-02-20,15.975
2023-02-21,16.095
2023-02-22,15.502
2023-02-23,15.81
2023-02-24,15.752
2023-02-27,15.635
2023-02-28,15.394
2023-03-01,15.657
2023-03-02,15.57
2023-03-03,14.883
2023-03-06,14.766
2023-03-07,14.792
2023-03-08,14.811
2023-03-09,14.654
2023-03-10,13.407
2023-03-13,15.552
2023-03-14,15.731
2023-03-15,16.038
2023-03-16,15.713
2023-03-17,16.241
2023-03-20,17.036
2023-03-21,16.322
2023-03-22,16.784
2023-03-23,17.1
2023-03-24,16.925
2023-03-27,16.419
