,ALWEC FP Equity_DX_SI_QTY,ALWEC FP Equity_DX_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALWEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALWEC FP Equity_DX_SI_MV,ALWEC FP Equity_DX_DSS,ALWEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SUPPLY_SI_QTY,ALWEC FP Equity_DX_BROKER_SI_QTY,ALWEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALWEC FP Equity_DX_BROKER_SI_QTY_ADD,ALWEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALWEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALWEC FP Equity_DX_BROKER_SI_MV_ADD,ALWEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALWEC FP Equity_DX_BROKER_SI_QTY_DEC,ALWEC FP Equity_DX_SUPPLY_SI_MV,ALWEC FP Equity_DX_BROKER_SI_MV_DEC,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALWEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALWEC FP Equity_DX_BROKER_SI_CON_RATIO,ALWEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALWEC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALWEC FP Equity_PX_LAST
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2005-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2005-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2005-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2005-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2005-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44
2005-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2005-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2005-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29
2005-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2005-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2005-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2005-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2005-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2005-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2005-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2005-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2005-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2005-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2005-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2005-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2005-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
2005-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
2005-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2005-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99
2005-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2005-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2005-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2005-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2005-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
2005-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2005-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2005-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
