,CRLA FP Equity_DX_SI_QTY,CRLA FP Equity_DX_SHORT_INTEREST_VALUE,CRLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CRLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRLA FP Equity_DX_SI_MV,CRLA FP Equity_DX_DSS,CRLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRLA FP Equity_DX_SUPPLY_SI_QTY,CRLA FP Equity_DX_BROKER_SI_QTY,CRLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRLA FP Equity_DX_BROKER_SI_MV_INC_x,CRLA FP Equity_DX_BROKER_SI_QTY_ADD,CRLA FP Equity_DX_SUPPLY_SI_MV_DEC,CRLA FP Equity_DX_BROKER_SI_QTY_INC,CRLA FP Equity_DX_SUPPLY_SI_QTY_DEC,CRLA FP Equity_DX_BROKER_SI_MV_INC_y,CRLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRLA FP Equity_DX_BROKER_SI_MV_ADD,CRLA FP Equity_DX_SUPPLY_SI_QTY_ADD,CRLA FP Equity_DX_BROKER_SI_QTY_DEC,CRLA FP Equity_DX_SUPPLY_SI_MV,CRLA FP Equity_DX_BROKER_SI_MV_DEC,CRLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRLA FP Equity_DX_UTILIZATION_QUANTITY,CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRLA FP Equity_DX_ACTIVE_UTILIZATION_MV,CRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRLA FP Equity_DX_BROKER_SI_CON_RATIO,CRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRLA FP Equity_DX_DEMAND_SUPPLY_RATIO,CRLA FP Equity_PX_LAST
2007-05-16,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8170.0,315012.84,0.59,0.0,,0.0,,0.0,72.0
2007-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22826.0,886219.94,1.65,0.0,,0.0,,0.0,72.5
2007-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,22826.0,887442.31,1.66,0.0,,0.0,,0.0,72.6
2007-05-21,6000.0,232950.13,0.24,112.78,0.47,0.43,0.0,0.0,6000.0,0.0,232950.13,,,,,,,,,,6000.0,,0.43,,26.29,26.29,16826.0,653269.81,1.22,26.27,,1.0,100.0,0.2629,72.5
2007-05-22,6000.0,231664.89,0.24,71.74,0.47,0.46,0.0,231664.89,6000.0,6000.0,231664.89,,,6000.0,,,,,,0.46,,,0.43,,100.0,26.29,0.0,0.0,0.0,100.0,,1.0,100.0,0.2629,72.1
2007-05-23,6000.0,232950.13,0.24,52.88,0.47,0.45,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.44,,100.0,26.29,0.0,0.0,0.0,100.0,,1.0,100.0,0.2629,72.5
2007-05-24,6000.0,232950.13,0.24,21.27,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.44,,100.0,26.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.2623,72.5
2007-05-25,6000.0,232950.13,0.24,19.6,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.44,,100.0,14.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.1401,72.5
2007-05-28,6000.0,232950.13,0.24,18.76,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.44,,100.0,13.52,0.0,0.0,0.0,100.0,,1.0,100.0,0.1352,72.5
2007-05-29,6000.0,232950.13,0.24,16.94,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.44,,100.0,13.45,0.0,0.0,0.0,100.0,,1.0,100.0,0.1345,72.5
