,ACE29 FP Equity_PX_LAST
2024-08-27,10.1555
2024-08-28,10.1554
2024-08-29,10.1529
2024-08-30,10.1536
2024-09-02,10.1355
2024-09-03,10.1576
2024-09-04,10.1832
2024-09-05,10.1932
2024-09-06,10.2132
2024-09-09,10.2179
2024-09-10,10.2266
2024-09-11,10.2305
2024-09-12,10.2085
2024-09-13,10.233
2024-09-16,10.2405
2024-09-17,10.2256
2024-09-18,10.2116
2024-09-19,10.2472
2024-09-20,10.2301
2024-09-23,10.2591
2024-09-24,10.2839
2024-09-25,10.2635
2024-09-26,10.2714
2024-09-27,10.2918
2024-09-30,10.2914
2024-10-01,10.3175
2024-10-02,10.3104
2024-10-03,10.3042
2024-10-04,10.2736
2024-10-07,10.2622
2024-10-08,10.2578
2024-10-09,10.253
2024-10-10,10.2653
2024-10-11,10.2584
2024-10-14,10.2473
2024-10-15,10.2876
2024-10-16,10.3094
2024-10-17,10.3184
2024-10-18,10.3346
2024-10-21,10.2987
2024-10-22,10.2813
2024-10-23,10.2938
2024-10-24,10.3154
2024-10-25,10.3007
2024-10-28,10.3136
2024-10-29,10.2839
2024-10-30,10.2437
2024-10-31,10.2331
2024-11-01,10.2455
2024-11-04,10.2466
2024-11-05,10.242
2024-11-06,10.2977
2024-11-07,10.2751
2024-11-08,10.2993
2024-11-11,10.3339
2024-11-12,10.3102
2024-11-13,10.3009
2024-11-14,10.3335
2024-11-15,10.3207
2024-11-18,10.3104
2024-11-19,10.3131
2024-11-20,10.3116
2024-11-21,10.3139
2024-11-22,10.3365
2024-11-25,10.3535
2024-11-26,10.3518
2024-11-27,10.3621
2024-11-28,10.3854
2024-11-29,10.4124
2024-12-02,10.4362
2024-12-03,10.423
2024-12-04,10.4336
2024-12-05,10.422
2024-12-06,10.4283
2024-12-09,10.4346
2024-12-10,10.4419
2024-12-11,10.4437
2024-12-12,10.4165
2024-12-13,10.3939
2024-12-16,10.393
2024-12-17,10.39
2024-12-18,10.3922
2024-12-19,10.3635
2024-12-20,10.3717
2024-12-23,10.3547
2024-12-24,10.3591
2024-12-27,10.3546
2024-12-30,10.362
2024-12-31,10.3678
2025-01-02,10.363
2025-01-03,10.3237
2025-01-06,10.3159
2025-01-07,10.3062
2025-01-08,10.2915
2025-01-09,10.2964
2025-01-10,10.2739
2025-01-13,10.2592
2025-01-14,10.2579
2025-01-15,10.3032
2025-01-16,10.3089
2025-01-17,10.3264
2025-01-20,10.3305
2025-01-21,10.328
2025-01-22,10.3307
2025-01-23,10.3235
2025-01-24,10.3043
2025-01-27,10.318
2025-01-28,10.3192
2025-01-29,10.3293
2025-01-30,10.3564
2025-01-31,10.399
2025-02-03,10.4197
2025-02-04,10.4312
2025-02-05,10.4325
2025-02-06,10.4322
2025-02-07,10.4156
2025-02-10,10.4347
2025-02-11,10.4136
2025-02-12,10.3998
2025-02-13,10.4328
2025-02-14,10.4272
2025-02-17,10.4152
2025-02-18,10.4225
2025-02-19,10.3906
2025-02-20,10.4081
