,ALCAT FP Equity_DX_SI_QTY,ALCAT FP Equity_DX_SHORT_INTEREST_VALUE,ALCAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCAT FP Equity_DX_SI_MV,ALCAT FP Equity_DX_DSS,ALCAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCAT FP Equity_DX_SUPPLY_SI_QTY,ALCAT FP Equity_DX_BROKER_SI_QTY,ALCAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCAT FP Equity_DX_BROKER_SI_MV_NEW_x,ALCAT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALCAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCAT FP Equity_DX_BROKER_SI_MV_INC_x,ALCAT FP Equity_DX_SUPPLY_SI_MV_NEW,ALCAT FP Equity_DX_BROKER_SI_QTY_ADD,ALCAT FP Equity_DX_BROKER_SI_QTY_NEW,ALCAT FP Equity_DX_SUPPLY_SI_MV_DEC,ALCAT FP Equity_DX_BROKER_SI_QTY_INC,ALCAT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCAT FP Equity_DX_BROKER_SI_MV_NEW_y,ALCAT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALCAT FP Equity_DX_BROKER_SI_MV_INC_y,ALCAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCAT FP Equity_DX_BROKER_SI_MV_ADD,ALCAT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCAT FP Equity_DX_BROKER_SI_QTY_DEC,ALCAT FP Equity_DX_SUPPLY_SI_MV,ALCAT FP Equity_DX_BROKER_SI_MV_DEC,ALCAT FP Equity_DX_SUPPLY_SI_MV_RMV,ALCAT FP Equity_DX_BROKER_SI_MV_RMV,ALCAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCAT FP Equity_DX_UTILIZATION_QUANTITY,ALCAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCAT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALCAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCAT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCAT FP Equity_DX_BROKER_SI_CON_RATIO,ALCAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCAT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.24,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.26,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.28,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.32,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.3,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.24,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.25,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.25,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.24,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.23,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.23,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.23,0.0,,0.0,,0.0
