,AFLT FP Equity_DX_SI_QTY,AFLT FP Equity_DX_SHORT_INTEREST_VALUE,AFLT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AFLT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AFLT FP Equity_DX_SI_MV,AFLT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AFLT FP Equity_DX_SUPPLY_SI_QTY,AFLT FP Equity_DX_BROKER_SI_QTY,AFLT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AFLT FP Equity_DX_BROKER_SI_MV_NEW_x,AFLT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AFLT FP Equity_DX_SUPPLY_SI_QTY_INC_x,AFLT FP Equity_DX_BROKER_SI_MV_INC_x,AFLT FP Equity_DX_SUPPLY_SI_MV_NEW,AFLT FP Equity_DX_BROKER_SI_QTY_ADD,AFLT FP Equity_DX_BROKER_SI_QTY_NEW,AFLT FP Equity_DX_SUPPLY_SI_MV_DEC,AFLT FP Equity_DX_BROKER_SI_QTY_INC,AFLT FP Equity_DX_SUPPLY_SI_QTY_DEC,AFLT FP Equity_DX_BROKER_SI_MV_NEW_y,AFLT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AFLT FP Equity_DX_BROKER_SI_MV_INC_y,AFLT FP Equity_DX_SUPPLY_SI_QTY_INC_y,AFLT FP Equity_DX_BROKER_SI_MV_ADD,AFLT FP Equity_DX_SUPPLY_SI_QTY_ADD,AFLT FP Equity_DX_BROKER_SI_QTY_DEC,AFLT FP Equity_DX_SUPPLY_SI_MV,AFLT FP Equity_DX_BROKER_SI_MV_DEC,AFLT FP Equity_DX_SUPPLY_SI_MV_RMV,AFLT FP Equity_DX_BROKER_SI_MV_RMV,AFLT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AFLT FP Equity_DX_UTILIZATION_QUANTITY,AFLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AFLT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AFLT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AFLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AFLT FP Equity_DX_ACTIVE_UTILIZATION_MV,AFLT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AFLT FP Equity_DX_BROKER_SI_CON_RATIO,AFLT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AFLT FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9366.0,936880.98,,0.94,0.0,0.0,0.0,0.0,0.0
2015-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9366.0,936506.34,,0.94,0.0,,0.0,,0.0
2015-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9366.0,936131.7,,0.94,0.0,,0.0,,0.0
2015-12-16,2200.0,219934.0,0.04,0.2,0.22,109967.0,1100.0,1100.0,109967.0,,,,,,1100.0,,,,,,,,,0.11,1100.0,,0.11,,,,4.18,4.18,25207.0,2519943.79,,2.52,4.18,,1.0,100.0,0.0836
2015-12-17,2200.0,219890.0,0.04,0.2,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2015-12-18,2200.0,219868.0,0.04,0.2,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2015-12-21,2200.0,219868.0,0.04,0.2,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2015-12-22,2200.0,219890.0,0.04,0.2,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2015-12-23,2200.0,219934.0,0.04,0.24,0.22,109967.0,1100.0,1100.0,109967.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518944.09,,2.52,4.18,,1.0,100.0,0.0837
2015-12-24,2200.0,219934.0,0.04,0.24,0.22,109967.0,1100.0,1100.0,109967.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518944.09,,2.52,4.18,,1.0,100.0,0.0837
2015-12-25,2200.0,219934.0,0.04,0.24,0.22,109967.0,1100.0,1100.0,109967.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518944.09,,2.52,4.18,,1.0,100.0,0.0837
