,AL2SI FP Equity_DX_SI_QTY,AL2SI FP Equity_DX_SHORT_INTEREST_VALUE,AL2SI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AL2SI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AL2SI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AL2SI FP Equity_DX_SI_MV,AL2SI FP Equity_DX_DSS,AL2SI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AL2SI FP Equity_DX_SUPPLY_SI_QTY,AL2SI FP Equity_DX_BROKER_SI_QTY,AL2SI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AL2SI FP Equity_DX_SUPPLY_SI_QTY_INC_x,AL2SI FP Equity_DX_BROKER_SI_MV_INC_x,AL2SI FP Equity_DX_BROKER_SI_QTY_ADD,AL2SI FP Equity_DX_SUPPLY_SI_MV_DEC,AL2SI FP Equity_DX_BROKER_SI_QTY_INC,AL2SI FP Equity_DX_SUPPLY_SI_QTY_DEC,AL2SI FP Equity_DX_BROKER_SI_MV_INC_y,AL2SI FP Equity_DX_SUPPLY_SI_QTY_INC_y,AL2SI FP Equity_DX_BROKER_SI_MV_ADD,AL2SI FP Equity_DX_SUPPLY_SI_QTY_ADD,AL2SI FP Equity_DX_BROKER_SI_QTY_DEC,AL2SI FP Equity_DX_SUPPLY_SI_MV,AL2SI FP Equity_DX_BROKER_SI_MV_DEC,AL2SI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AL2SI FP Equity_DX_UTILIZATION_QUANTITY,AL2SI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AL2SI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AL2SI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AL2SI FP Equity_DX_ACTIVE_UTILIZATION_MV,AL2SI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AL2SI FP Equity_DX_BROKER_SI_CON_RATIO,AL2SI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AL2SI FP Equity_DX_DEMAND_SUPPLY_RATIO,AL2SI FP Equity_PX_LAST
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2018-06-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,73199.0,682214.68,0.69,0.0,,0.0,,0.0,9.32
2018-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,183737.0,1694055.14,1.71,0.0,,0.0,,0.0,9.22
2018-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,275165.0,2553531.2,2.54,0.0,,0.0,,0.0,9.28
2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,275165.0,2553531.2,2.55,0.0,,0.0,,0.0,9.28
2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,275165.0,2603060.9,2.56,0.0,,0.0,,0.0,9.46
2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,280164.0,2672764.56,2.65,0.0,,0.0,,0.0,9.54
2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,280164.0,2650351.44,2.67,0.0,,0.0,,0.0,9.46
2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,280164.0,2689574.4,2.66,0.0,,0.0,,0.0,9.6
2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,280164.0,2633541.6,2.68,0.0,,0.0,,0.0,9.4
