,COVH FP Equity_DX_SI_QTY,COVH FP Equity_DX_SHORT_INTEREST_VALUE,COVH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,COVH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COVH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COVH FP Equity_DX_SI_MV,COVH FP Equity_DX_DSS,COVH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COVH FP Equity_DX_SUPPLY_SI_QTY,COVH FP Equity_DX_BROKER_SI_QTY,COVH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COVH FP Equity_DX_BROKER_SI_MV_NEW_x,COVH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COVH FP Equity_DX_SUPPLY_SI_QTY_INC_x,COVH FP Equity_DX_BROKER_SI_MV_INC_x,COVH FP Equity_DX_SUPPLY_SI_MV_NEW,COVH FP Equity_DX_BROKER_SI_QTY_ADD,COVH FP Equity_DX_BROKER_SI_QTY_NEW,COVH FP Equity_DX_SUPPLY_SI_MV_DEC,COVH FP Equity_DX_BROKER_SI_QTY_INC,COVH FP Equity_DX_SUPPLY_SI_QTY_DEC,COVH FP Equity_DX_BROKER_SI_MV_NEW_y,COVH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COVH FP Equity_DX_BROKER_SI_MV_INC_y,COVH FP Equity_DX_SUPPLY_SI_QTY_INC_y,COVH FP Equity_DX_BROKER_SI_MV_ADD,COVH FP Equity_DX_SUPPLY_SI_QTY_ADD,COVH FP Equity_DX_BROKER_SI_QTY_DEC,COVH FP Equity_DX_SUPPLY_SI_MV,COVH FP Equity_DX_BROKER_SI_MV_DEC,COVH FP Equity_DX_SUPPLY_SI_MV_RMV,COVH FP Equity_DX_BROKER_SI_MV_RMV,COVH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COVH FP Equity_DX_UTILIZATION_QUANTITY,COVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COVH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COVH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COVH FP Equity_DX_ACTIVE_UTILIZATION_MV,COVH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COVH FP Equity_DX_BROKER_SI_CON_RATIO,COVH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COVH FP Equity_DX_DEMAND_SUPPLY_RATIO,COVH FP Equity_PX_LAST
1992-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0136
1992-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3429
1992-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3429
1992-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3886
1992-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3429
1992-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5806
1992-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8184
1992-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3429
1992-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8641
1992-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8031
1992-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7421
1992-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7421
1992-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.989
1992-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2939
1992-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9037
1992-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2939
1992-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2939
1992-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0561
1992-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2115
1992-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4645
1992-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4645
1992-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0224
1992-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2267
1992-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9614
1992-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4859
1992-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3792
1992-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3792
1992-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5316
1992-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5316
1992-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3792
1992-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1596
1992-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8699
1992-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
1992-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
1992-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
1992-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
1992-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
1992-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0071
