,ALERS FP Equity_DX_SI_QTY,ALERS FP Equity_DX_SHORT_INTEREST_VALUE,ALERS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALERS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALERS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALERS FP Equity_DX_SI_MV,ALERS FP Equity_DX_DSS,ALERS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALERS FP Equity_DX_SUPPLY_SI_QTY,ALERS FP Equity_DX_BROKER_SI_QTY,ALERS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALERS FP Equity_DX_BROKER_SI_MV_NEW_x,ALERS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALERS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALERS FP Equity_DX_BROKER_SI_MV_INC_x,ALERS FP Equity_DX_SUPPLY_SI_MV_NEW,ALERS FP Equity_DX_BROKER_SI_QTY_ADD,ALERS FP Equity_DX_BROKER_SI_QTY_NEW,ALERS FP Equity_DX_SUPPLY_SI_MV_DEC,ALERS FP Equity_DX_BROKER_SI_QTY_INC,ALERS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALERS FP Equity_DX_BROKER_SI_MV_NEW_y,ALERS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALERS FP Equity_DX_BROKER_SI_MV_INC_y,ALERS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALERS FP Equity_DX_BROKER_SI_MV_ADD,ALERS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALERS FP Equity_DX_BROKER_SI_QTY_DEC,ALERS FP Equity_DX_SUPPLY_SI_MV,ALERS FP Equity_DX_BROKER_SI_MV_DEC,ALERS FP Equity_DX_SUPPLY_SI_MV_RMV,ALERS FP Equity_DX_BROKER_SI_MV_RMV,ALERS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALERS FP Equity_DX_UTILIZATION_QUANTITY,ALERS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALERS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALERS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALERS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALERS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALERS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALERS FP Equity_DX_BROKER_SI_CON_RATIO,ALERS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALERS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALERS FP Equity_PX_LAST
2005-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2005-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98
2005-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2005-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2005-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2005-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2005-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2005-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2005-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
2005-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2005-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2005-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2005-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63
2005-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78
2005-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2005-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
