,ALHGR FP Equity_DX_SI_QTY,ALHGR FP Equity_DX_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHGR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHGR FP Equity_DX_SI_MV,ALHGR FP Equity_DX_DSS,ALHGR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY,ALHGR FP Equity_DX_BROKER_SI_QTY,ALHGR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHGR FP Equity_DX_BROKER_SI_MV_INC_x,ALHGR FP Equity_DX_SUPPLY_SI_MV_NEW,ALHGR FP Equity_DX_BROKER_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_NEW,ALHGR FP Equity_DX_SUPPLY_SI_MV_DEC,ALHGR FP Equity_DX_BROKER_SI_QTY_INC,ALHGR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHGR FP Equity_DX_BROKER_SI_MV_INC_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHGR FP Equity_DX_BROKER_SI_MV_ADD,ALHGR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV,ALHGR FP Equity_DX_BROKER_SI_MV_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV_RMV,ALHGR FP Equity_DX_BROKER_SI_MV_RMV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHGR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHGR FP Equity_DX_BROKER_SI_CON_RATIO,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHGR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHGR FP Equity_PX_LAST
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.14
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.16
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02
2019-11-01,7959.0,144694.62,0.06,0.83,0.06,0.14,0.0,11580.66,7322.0,637.0,133113.96,,,,,,637.0,,,,,,,,,0.01,7322.0,,0.13,,,,2.88,2.88,247040.0,4491187.2,,4.47,2.87,8.0,0.8527,92.0,0.0313,18.18
2019-11-04,12800.0,234240.0,0.1,1.33,0.1,0.24,0.0,100247.4,12800.0,5478.0,234240.0,,,5478.0,0.09,,,,,4841.0,,,,0.09,5478.0,,,,0.23,,,,5.03,5.03,241791.0,4424775.3,,4.41,5.01,43.78,0.5077,56.22,0.0503,18.3
2019-11-05,12800.0,236288.0,0.1,1.31,0.1,0.23,0.0,101123.88,12800.0,5478.0,236288.0,,,,,,,,,,,,,,,,,,0.23,,,,5.02,5.02,242009.0,4467486.14,,4.45,5.0,42.8,0.5104,57.2,0.0502,18.46
2019-11-06,12724.0,247863.52,0.1,1.29,0.1,0.23,0.0,105230.96,12724.0,5402.0,247863.52,,,,,,,,0.0,,76.0,,,,,,,76.0,0.23,0.0,,,4.99,4.99,242226.0,4718562.48,,4.55,4.91,42.46,0.5114,57.54,0.0499,19.48
2019-11-07,12724.0,245573.2,0.1,1.27,0.1,0.25,0.0,104258.6,12724.0,5402.0,245573.2,,,,,,,,,,,,,,,,,,0.25,,,,4.99,4.99,242516.0,4680558.8,,4.71,5.0,42.46,0.5114,57.54,0.0499,19.3
2019-11-08,16927.0,328383.8,0.13,1.67,0.13,0.33,0.0,186337.0,12724.0,9605.0,246845.6,,,,0.08,,,,,4203.0,,,,0.08,,,,,0.25,,,,4.98,4.98,242662.0,4707642.8,,4.7,5.01,43.48,0.5085,56.52,0.0663,19.4
2019-11-11,12890.0,249550.4,0.1,1.25,0.1,0.25,0.0,107796.48,12890.0,5568.0,249550.4,,,166.0,,,,,,,,,,,166.0,,,4037.0,0.25,0.08,,,5.05,5.05,242586.0,4696464.96,,4.7,5.05,43.2,0.5093,56.8,0.0505,19.36
2019-11-12,12890.0,250066.0,0.1,1.25,0.1,0.25,0.0,108019.2,12890.0,5568.0,250066.0,,,,,,,,,,,,,,,,,,0.25,,,,5.04,5.04,242921.0,4712667.4,,4.71,5.03,43.2,0.5093,56.8,0.0504,19.4
2019-11-13,8361.0,163039.5,0.06,0.81,0.06,0.16,0.0,20260.5,8361.0,1039.0,163039.5,,,,,,,,0.09,,4529.0,,,,,,,4529.0,0.16,0.09,,,3.27,3.27,247450.0,4825275.0,,4.8,3.27,12.43,0.7823,87.57,0.0327,19.5
2019-11-14,10361.0,202039.5,0.08,0.98,0.08,0.2,0.0,39760.5,9361.0,2039.0,182539.5,,,,0.02,,,,,1000.0,,,,0.02,,,1000.0,,0.18,,,,100.0,3.66,0.0,0.0,,0.0,100.0,19.64,0.5478,70.7,0.0405,19.5
2019-11-15,8645.0,165292.4,0.06,0.81,0.06,0.17,0.0,25295.76,7645.0,1323.0,146172.4,,,,,,,,0.03,,1716.0,,,,,,,716.0,0.15,0.01,,,2.96,2.96,250607.0,4791605.84,,4.84,2.99,15.3,0.7408,84.7,0.0335,19.12
2019-11-18,9645.0,185184.0,0.07,0.9,0.07,0.18,0.0,25401.6,8645.0,1323.0,165984.0,,,,,,,,,,,,,,,,1000.0,,0.17,,,,3.35,3.35,249607.0,4792454.4,,4.78,3.34,15.3,0.7408,84.7,0.0373,19.2
2019-11-19,8868.0,167605.2,0.07,0.82,0.07,0.17,0.0,10319.4,8645.0,546.0,163390.5,,,,,,,,,,,,,,,,,777.0,0.17,0.01,,,3.35,3.35,249607.0,4717572.3,,4.77,3.37,6.94,0.8708,93.06,0.0343,18.9
2019-11-20,13495.0,246958.5,0.1,1.23,0.1,0.26,0.0,94665.9,8645.0,5173.0,158203.5,,,,0.09,,,,,4627.0,,,,0.09,,,,,0.17,,,,3.35,3.35,249607.0,4567808.1,,4.67,3.43,41.4,0.5148,58.6,0.0523,18.3
2019-11-21,13495.0,253706.0,0.1,1.23,0.1,0.25,0.0,116052.4,7322.0,6173.0,137653.6,,,,0.01,,,,0.03,1000.0,1323.0,,,0.01,,,,,0.14,,,,2.84,2.84,250930.0,4717484.0,,4.65,2.89,44.94,0.5051,55.06,0.0523,18.8
2019-11-22,13495.0,253706.0,0.33,1.22,0.1,0.25,0.0,116052.4,7322.0,6173.0,137653.6,,,,,,,,,,,,,,,,,,0.13,,,,2.84,2.84,250930.0,4717484.0,,4.72,2.76,46.41,0.5026,53.59,0.0523,18.8
2019-11-25,13495.0,266391.3,0.33,1.21,0.1,0.25,0.0,121855.02,7322.0,6173.0,144536.28,,,,,,,,,,,,,,,,,,0.14,,,,2.84,2.84,250930.0,4953358.2,,4.8,2.79,45.74,0.5036,54.26,0.0523,19.74
2019-11-26,13495.0,264502.0,0.33,1.2,0.1,0.27,0.0,120990.8,7322.0,6173.0,143511.2,,,,,,,,,,,,,,,,,,0.14,,,,2.84,2.84,250930.0,4918228.0,,4.94,2.84,45.74,0.5036,54.26,0.0523,19.6
2019-11-27,18495.0,362502.0,0.45,1.55,0.14,0.36,0.0,120990.8,12322.0,6173.0,241511.2,,,,,,,,,,,,,,,,5000.0,,0.24,,,,100.0,4.77,0.0,0.0,,0.0,100.0,33.38,0.3412,39.59,0.0716,19.6
2019-11-28,18495.0,362502.0,0.45,1.54,0.14,0.36,0.0,120990.8,12322.0,6173.0,241511.2,,,,,,,,,,,,,,,,,,0.24,,,,100.0,4.78,0.0,0.0,,0.0,100.0,33.38,0.3412,39.59,0.0717,19.6
2019-11-29,23495.0,460502.0,0.57,1.95,0.17,0.47,0.0,218990.8,12322.0,11173.0,241511.2,,,,,,5000.0,,,,,,,,,0.1,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,25.97,0.2558,30.8,0.0993,19.6
2019-12-02,18495.0,366201.0,0.45,1.4,0.14,0.37,0.0,221225.4,7322.0,11173.0,144975.6,,,,,,,,0.1,,5000.0,,,,,,,,0.14,,,,3.4,3.4,207886.0,4116142.8,,4.08,3.39,32.88,0.3393,39.01,0.0859,19.8
2019-12-03,17495.0,341152.5,0.42,2.53,0.13,0.35,0.0,198373.5,7322.0,10173.0,142779.0,,,,,,,,,,,,,,,,,1000.0,0.14,0.02,,,3.4,3.4,207886.0,4053777.0,,4.09,3.42,29.48,0.3429,41.32,0.0813,19.5
2019-12-04,22495.0,441351.9,0.54,4.05,0.17,0.44,0.0,199594.26,12322.0,10173.0,241757.64,,,,,,,,,,,,,,,,5000.0,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,23.26,0.2568,32.12,0.0951,19.62
2019-12-05,22495.0,439102.4,0.54,4.39,0.17,0.45,0.0,198576.96,12322.0,10173.0,240525.44,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,23.2,0.2567,32.03,0.0951,19.52
2019-12-06,17322.0,342629.16,0.42,3.86,0.13,0.34,0.0,98900.0,12322.0,5000.0,243729.16,,,,,,,,,,,,,,,,,5173.0,0.24,0.1,,,100.0,5.21,0.0,0.0,,0.0,100.0,30.01,0.3439,41.68,0.0732,19.78
2019-12-09,17322.0,339511.2,0.42,3.83,0.13,0.35,0.0,98000.0,12322.0,5000.0,241511.2,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.79,0.344,41.72,0.0732,19.6
2019-12-10,17322.0,344361.36,0.42,4.04,0.13,0.34,0.0,99400.0,12322.0,5000.0,244961.36,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.88,0.3439,41.67,0.0732,19.88
2019-12-11,17322.0,342975.6,0.42,4.08,0.13,0.35,0.0,99000.0,12322.0,5000.0,243975.6,,,,,,,,,,,,,,,,,,0.25,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.79,0.344,41.72,0.0732,19.8
2019-12-12,17322.0,344014.92,0.42,4.09,0.13,0.35,0.0,99300.0,12322.0,5000.0,244714.92,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.88,0.3439,41.67,0.0732,19.86
2019-12-13,17322.0,344361.36,0.42,4.09,0.13,0.35,0.0,99400.0,12322.0,5000.0,244961.36,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.81,0.3439,41.71,0.0732,19.88
2019-12-16,17322.0,341243.4,0.42,4.04,0.13,0.35,0.0,98500.0,12322.0,5000.0,242743.4,,,,,,,,,,,,,,,,,,0.25,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.79,0.344,41.72,0.0732,19.7
2019-12-17,17322.0,338471.88,0.42,4.11,0.13,0.35,0.0,97700.0,12322.0,5000.0,240771.88,,,,,,,,,,,,,,,,,,0.24,,,,100.0,5.21,0.0,0.0,,0.0,100.0,29.88,0.3439,41.67,0.0732,19.54
