,AFRN FP Equity_DX_SI_QTY,AFRN FP Equity_DX_SHORT_INTEREST_VALUE,AFRN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AFRN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AFRN FP Equity_DX_SI_MV,AFRN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AFRN FP Equity_DX_SUPPLY_SI_QTY,AFRN FP Equity_DX_BROKER_SI_QTY,AFRN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AFRN FP Equity_DX_BROKER_SI_MV_NEW_x,AFRN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AFRN FP Equity_DX_SUPPLY_SI_QTY_INC_x,AFRN FP Equity_DX_BROKER_SI_MV_INC_x,AFRN FP Equity_DX_SUPPLY_SI_MV_NEW,AFRN FP Equity_DX_BROKER_SI_QTY_ADD,AFRN FP Equity_DX_BROKER_SI_QTY_NEW,AFRN FP Equity_DX_SUPPLY_SI_MV_DEC,AFRN FP Equity_DX_BROKER_SI_QTY_INC,AFRN FP Equity_DX_SUPPLY_SI_QTY_DEC,AFRN FP Equity_DX_BROKER_SI_MV_NEW_y,AFRN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AFRN FP Equity_DX_BROKER_SI_MV_INC_y,AFRN FP Equity_DX_SUPPLY_SI_QTY_INC_y,AFRN FP Equity_DX_BROKER_SI_MV_ADD,AFRN FP Equity_DX_SUPPLY_SI_QTY_ADD,AFRN FP Equity_DX_BROKER_SI_QTY_DEC,AFRN FP Equity_DX_SUPPLY_SI_MV,AFRN FP Equity_DX_BROKER_SI_MV_DEC,AFRN FP Equity_DX_SUPPLY_SI_MV_RMV,AFRN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AFRN FP Equity_DX_UTILIZATION_QUANTITY,AFRN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AFRN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AFRN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AFRN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AFRN FP Equity_DX_ACTIVE_UTILIZATION_MV,AFRN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AFRN FP Equity_DX_BROKER_SI_CON_RATIO,AFRN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AFRN FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4362.35,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.21,,0.0,0.0,,0.0,,0.0
2016-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.64,,0.0,0.0,,0.0,,0.0
2016-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4362.35,,0.0,0.0,,0.0,,0.0
2016-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.21,,0.0,0.0,,0.0,,0.0
2016-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.21,,0.0,0.0,,0.0,,0.0
2016-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.21,,0.0,0.0,,0.0,,0.0
2016-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.21,,0.0,0.0,,0.0,,0.0
2016-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4363.64,,0.0,0.0,,0.0,,0.0
2016-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.5,,0.0,0.0,,0.0,,0.0
2016-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.5,,0.0,0.0,,0.0,,0.0
2016-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.07,,0.0,0.0,,0.0,,0.0
2016-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.5,,0.0,0.0,,0.0,,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.93,,0.0,0.0,,0.0,,0.0
2016-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
2016-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4366.22,,0.0,0.0,,0.0,,0.0
2016-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4364.93,,0.0,0.0,,0.0,,0.0
2016-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
2016-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
2016-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
2016-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
2016-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.79,,0.0,0.0,,0.0,,0.0
2016-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4367.08,,0.0,0.0,,0.0,,0.0
2016-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,43.0,4365.36,,0.0,0.0,,0.0,,0.0
