,ERO FP Equity_DX_SI_QTY,ERO FP Equity_DX_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERO FP Equity_DX_SI_MV,ERO FP Equity_DX_DSS,ERO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY,ERO FP Equity_DX_BROKER_SI_QTY,ERO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERO FP Equity_DX_BROKER_SI_MV_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ERO FP Equity_DX_BROKER_SI_MV_INC_x,ERO FP Equity_DX_SUPPLY_SI_MV_NEW,ERO FP Equity_DX_BROKER_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_NEW,ERO FP Equity_DX_SUPPLY_SI_MV_DEC,ERO FP Equity_DX_BROKER_SI_QTY_INC,ERO FP Equity_DX_SUPPLY_SI_QTY_DEC,ERO FP Equity_DX_BROKER_SI_MV_NEW_y,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ERO FP Equity_DX_BROKER_SI_MV_INC_y,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ERO FP Equity_DX_BROKER_SI_MV_ADD,ERO FP Equity_DX_SUPPLY_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_DEC,ERO FP Equity_DX_SUPPLY_SI_MV,ERO FP Equity_DX_BROKER_SI_MV_DEC,ERO FP Equity_DX_SUPPLY_SI_MV_RMV,ERO FP Equity_DX_BROKER_SI_MV_RMV,ERO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERO FP Equity_DX_UTILIZATION_QUANTITY,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERO FP Equity_DX_ACTIVE_UTILIZATION_MV,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERO FP Equity_DX_BROKER_SI_CON_RATIO,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,63034.0,7458182.88,1.62,,7.36,,0.0,63034.0,0.0,7458182.88,,,,,,,,0.0,,1532.0,,,,,,,,7.36,,,,9.41,9.41,607077.0,71829350.64,,70.9,9.4,18.02,0.7045,81.98,0.0941
2006-01-11,80990.0,9568158.6,3.72,,9.52,,0.0,80990.0,0.0,9568158.6,,,4465.0,,,,,,,,,,,4465.0,,13490.0,,9.52,,,,13.64,13.64,512796.0,60581719.44,,60.28,13.64,39.72,0.5211,60.28,0.1364
2006-01-18,81095.0,9451622.25,2.6,,9.55,,0.0,81095.0,0.0,9451622.25,,,105.0,,,,,,,,,,,105.0,,,,9.55,,,,12.31,12.31,577507.0,67308440.85,,67.67,12.36,39.69,0.5213,60.31,0.1231
2006-01-25,80819.0,9407331.6,2.17,,9.34,,0.0,80819.0,0.0,9407331.6,,,,,,,,0.06,,276.0,,,,,,,,9.34,,,,13.38,13.38,523161.0,60895940.4,,60.44,13.38,39.79,0.5208,60.21,0.1338
2006-02-01,80633.0,9752561.35,2.19,,9.67,,0.0,80633.0,0.0,9752561.35,,,,,,,,0.0,,185.0,,,,,,,,9.67,,,,11.28,11.28,634047.0,76687984.65,,75.98,11.29,39.87,0.5205,60.13,0.1128
2006-02-08,130259.0,15552924.6,3.83,,15.49,,0.0,130259.0,0.0,15552924.6,,,49626.0,,,,,,,,,,,49626.0,,,,15.49,,,,18.0,18.0,593388.0,70850527.2,,70.55,18.0,39.67,0.5213,60.33,0.18
2006-02-15,67321.0,8106794.82,1.57,,8.08,,0.0,67321.0,0.0,8106794.82,,,,,,,,7.5,,62938.0,,,,,,,,8.08,,,,8.84,8.84,694495.0,83631087.9,,83.34,8.84,39.73,0.5211,60.27,0.0884
2006-02-22,143375.0,17613618.75,3.0,,17.54,,0.0,143375.0,0.0,17613618.75,,,76054.0,,,,,,,,,,,76054.0,,,,17.54,,,,19.51,19.51,591332.0,72645136.2,,72.37,19.51,39.93,0.5203,60.07,0.1951
2006-03-01,142354.0,17429823.76,3.13,,17.29,,0.0,142354.0,0.0,17429823.76,,,,,,,,0.84,,6021.0,,,,,,5000.0,,17.29,,,,19.6,19.6,583962.0,71500307.28,,70.92,19.6,39.67,0.5213,60.33,0.196
2006-03-08,143457.0,17355427.86,2.99,,17.41,,29640.1,143212.0,245.0,17325787.76,,,666.0,,,245.0,,,,,,,,666.0,0.03,191.0,,17.38,,,,19.76,19.76,581376.0,70334868.48,,70.55,19.76,39.65,0.5157,59.87,0.198
