,AKE FP Equity_DX_SI_QTY,AKE FP Equity_DX_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AKE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AKE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AKE FP Equity_DX_SI_MV,AKE FP Equity_DX_DSS,AKE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY,AKE FP Equity_DX_BROKER_SI_QTY,AKE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AKE FP Equity_DX_BROKER_SI_MV_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_x,AKE FP Equity_DX_BROKER_SI_MV_INC_x,AKE FP Equity_DX_SUPPLY_SI_MV_NEW,AKE FP Equity_DX_BROKER_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_NEW,AKE FP Equity_DX_SUPPLY_SI_MV_DEC,AKE FP Equity_DX_BROKER_SI_QTY_INC,AKE FP Equity_DX_SUPPLY_SI_QTY_DEC,AKE FP Equity_DX_BROKER_SI_MV_NEW_y,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AKE FP Equity_DX_BROKER_SI_MV_INC_y,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_y,AKE FP Equity_DX_BROKER_SI_MV_ADD,AKE FP Equity_DX_SUPPLY_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_DEC,AKE FP Equity_DX_SUPPLY_SI_MV,AKE FP Equity_DX_BROKER_SI_MV_DEC,AKE FP Equity_DX_SUPPLY_SI_MV_RMV,AKE FP Equity_DX_BROKER_SI_MV_RMV,AKE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AKE FP Equity_DX_UTILIZATION_QUANTITY,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AKE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AKE FP Equity_DX_ACTIVE_UTILIZATION_MV,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AKE FP Equity_DX_BROKER_SI_CON_RATIO,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AKE FP Equity_DX_DEMAND_SUPPLY_RATIO,AKE FP Equity_PX_LAST
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
2006-05-24,305499.0,7104187.08,0.51,0.59,0.51,8.79,0.0,1581762.31,237479.0,68020.0,5522424.77,,,,,,68020.0,,,,,,,,,1.97,237479.0,,6.82,,,,10.23,10.23,2082928.0,48437180.45,,60.29,10.17,33.28,0.3574,44.32,0.1317,29.35
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.38
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.74
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.72
2006-05-31,2045394.0,45376552.8,3.38,2.95,3.38,59.28,1.0,29964252.95,1172420.0,1350669.0,26009843.6,,2645.0,283672.0,1.39,0.08,1234139.0,,3.1,48510.0,109124.0,,2645.0,1.39,283672.0,35.82,757749.0,,33.89,,,,30.12,30.12,2720164.0,60346155.99,,78.05,30.28,10.32,0.1426,31.2,0.5255,28.0
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06
2006-06-07,3543825.0,79236588.34,5.86,3.88,5.86,101.5,2.0,56727322.3,1926202.0,2537107.0,43068062.03,,,268533.0,24.31,,426848.0,,2.18,857097.0,66069.0,,,24.31,268533.0,12.2,551317.0,97507.0,54.91,2.92,,,58.21,33.49,1382699.0,30915846.99,,0.0,268.23,15.76,0.1066,19.29,0.6161,28.22
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.96
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.17
