,AKE FP Equity_DX_SI_QTY,AKE FP Equity_DX_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AKE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AKE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AKE FP Equity_DX_SI_MV,AKE FP Equity_DX_DSS,AKE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY,AKE FP Equity_DX_BROKER_SI_QTY,AKE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AKE FP Equity_DX_BROKER_SI_MV_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_x,AKE FP Equity_DX_BROKER_SI_MV_INC_x,AKE FP Equity_DX_SUPPLY_SI_MV_NEW,AKE FP Equity_DX_BROKER_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_NEW,AKE FP Equity_DX_SUPPLY_SI_MV_DEC,AKE FP Equity_DX_BROKER_SI_QTY_INC,AKE FP Equity_DX_SUPPLY_SI_QTY_DEC,AKE FP Equity_DX_BROKER_SI_MV_NEW_y,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AKE FP Equity_DX_BROKER_SI_MV_INC_y,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_y,AKE FP Equity_DX_BROKER_SI_MV_ADD,AKE FP Equity_DX_SUPPLY_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_DEC,AKE FP Equity_DX_SUPPLY_SI_MV,AKE FP Equity_DX_BROKER_SI_MV_DEC,AKE FP Equity_DX_SUPPLY_SI_MV_RMV,AKE FP Equity_DX_BROKER_SI_MV_RMV,AKE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AKE FP Equity_DX_UTILIZATION_QUANTITY,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AKE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AKE FP Equity_DX_ACTIVE_UTILIZATION_MV,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AKE FP Equity_DX_BROKER_SI_CON_RATIO,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AKE FP Equity_DX_DEMAND_SUPPLY_RATIO,AKE FP Equity_PX_LAST
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.76
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2
2006-06-14,4746655.0,96352565.69,7.85,4.45,7.85,122.89,2.0,74649739.73,2009166.0,3677500.0,40784152.0,,,121527.0,27.58,,,,6.87,1256952.0,107518.0,,,27.58,121527.0,,68955.0,116560.0,51.67,4.07,,,52.42,28.0,1823978.0,37025012.36,,0.0,277.77,16.35,0.1148,23.07,0.6616,25.62
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.91
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16
2006-06-21,4569009.0,105163405.48,7.56,3.52,7.56,130.25,2.0,81301417.74,1948142.0,3532283.0,44839755.64,,1350.0,64332.0,11.96,0.04,,,4.92,287481.0,223928.0,,1350.0,11.96,64332.0,,97222.0,432697.0,55.37,6.41,,,53.38,25.69,1701224.0,39156523.73,,0.0,284.88,18.71,0.1144,20.81,0.6025,29.05
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.06
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69
2006-06-28,5164736.0,121043866.47,8.54,3.7,8.54,153.46,2.0,87581413.03,2682631.0,3736950.0,62871757.35,,,191283.0,21.26,,79334.0,,3.83,652601.0,145968.0,,,21.26,191283.0,2.36,689175.0,527268.0,79.59,13.27,,,50.42,28.65,2638294.0,61832648.69,,0.0,171.08,14.8,0.1039,21.0,0.5516,29.58
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51
2006-07-03,4575690.0,110573975.45,7.57,4.19,7.57,139.31,2.0,76637789.57,2603492.0,3171368.0,62914764.88,,,45122.0,10.72,,,,3.68,327866.0,161284.0,,,10.72,45122.0,,40237.0,893448.0,78.97,25.27,0.09,,51.45,27.58,2456442.0,59361223.64,3215.0,0.0,183.89,12.9,0.0859,16.01,0.4847,30.5
2006-07-04,4551637.0,109487837.32,7.53,4.5,7.53,138.61,2.0,75624074.89,2603523.0,3143850.0,62626721.48,,,3411.0,1.24,,,,0.1,40653.0,3451.0,,,1.24,3411.0,,71.0,68171.0,79.06,2.13,,,51.61,27.66,2441158.0,58721095.29,,0.0,183.4,12.74,0.0859,16.12,0.4836,30.36
2006-07-05,4838908.0,114787778.81,8.0,5.14,8.0,146.52,2.0,75109877.92,2937783.0,3166276.0,69689604.6,,3215.0,474405.0,0.77,0.1,,,7.81,27891.0,255669.0,,3215.0,0.77,474405.0,,112309.0,5465.0,88.36,0.16,,,58.54,31.47,2080282.0,49348107.07,,0.0,207.6,11.78,0.0835,15.28,0.5183,29.94
2006-07-06,5177308.0,121379531.9,8.56,5.66,8.56,155.17,2.0,82989237.83,3033997.0,3539813.0,71130621.48,,,79938.0,11.1,,,,4.4,383537.0,133120.0,,,11.1,79938.0,,152611.0,10000.0,90.32,0.53,0.1,,61.62,32.86,1889473.0,44297798.83,3215.0,0.0,215.16,15.24,0.09,15.52,0.5607,29.59
2006-07-07,4855104.0,115095042.47,8.03,5.37,8.03,145.53,2.0,76098216.29,3000725.0,3210084.0,71135154.12,,,62402.0,,,,,5.32,,179691.0,,,,62402.0,,84017.0,329729.0,89.49,10.05,,,62.15,32.71,1827227.0,43316223.33,,0.0,224.47,11.58,0.0846,15.7,0.5293,29.92
2006-07-10,4519764.0,107181286.74,7.48,5.21,7.48,137.07,2.0,68560809.3,2828186.0,2891164.0,67067354.54,,,21756.0,0.19,,,,5.88,585.0,201922.0,,,0.19,21756.0,,7628.0,319505.0,85.05,9.04,,,59.17,30.91,1951957.0,46288536.95,,0.0,215.11,11.2,0.0792,12.33,0.4939,29.93
2006-07-11,4531851.0,107719261.74,7.5,5.21,7.5,136.86,2.0,68906060.63,2805974.0,2898943.0,66696245.69,,,60541.0,4.32,,,,3.65,150399.0,116046.0,,,4.32,60541.0,,34659.0,142620.0,84.1,4.48,0.04,,58.24,30.3,2012064.0,47825501.91,1366.0,0.0,214.79,12.88,0.0831,13.95,0.4894,30.0
2006-07-12,4256092.0,101501858.38,7.04,5.1,7.04,129.5,2.0,64507090.93,2871088.0,2704858.0,68471444.6,,3316.0,102033.0,,0.1,,,5.27,,178545.0,,3316.0,,102033.0,,138311.0,194085.0,86.59,5.49,,,60.17,30.98,1900358.0,45320887.94,,0.0,211.02,12.41,0.0819,12.58,0.4592,30.1
2006-07-13,3964654.0,94268756.51,6.56,5.06,6.56,121.15,2.0,58597579.68,2784189.0,2464434.0,66200489.35,,,1851.0,3.58,,,,2.75,112044.0,96629.0,,,3.58,1851.0,,11195.0,352468.0,84.24,10.63,0.1,,59.54,30.31,1891766.0,44981082.44,3316.0,0.0,214.92,13.39,0.0905,16.25,0.4315,30.01
2006-07-14,3789168.0,90756658.84,6.27,5.19,6.27,116.05,2.0,56531706.11,2651443.0,2360247.0,63506317.96,,,4159.0,,,,,4.15,,139446.0,,,,4159.0,,2541.0,104187.0,80.35,2.87,,,28.72,28.72,6579729.0,157595076.32,,199.44,28.72,13.82,0.093,16.87,0.4105,30.23
2006-07-17,3697481.0,89146520.01,6.12,5.29,6.12,113.95,2.0,52366899.91,2680833.0,2171993.0,64635067.14,,,107994.0,1.01,,,,2.48,31665.0,85457.0,,,1.01,107994.0,,6852.0,219919.0,81.71,6.48,,,28.99,28.99,6566602.0,158321223.71,,199.67,29.04,11.81,0.0852,13.59,0.3998,30.43
2006-07-18,3612059.0,84310966.74,5.97,5.22,5.97,110.85,2.0,51118897.53,2559616.0,2190041.0,59745341.77,,,8321.0,0.51,,,,4.44,18048.0,145370.0,,,0.51,8321.0,,15833.0,,77.8,,,,26.87,26.87,6966137.0,162600263.42,,212.58,26.79,12.67,0.085,13.99,0.3792,29.46
2006-07-19,3455077.0,81358517.56,5.72,5.08,5.72,103.82,2.0,49078532.0,2358561.0,2084233.0,55538277.88,,,46395.0,0.02,,,,9.18,7288.0,271643.0,,,0.02,46395.0,,24193.0,113096.0,70.57,3.79,,,25.36,25.36,6942589.0,163480799.14,,209.33,25.21,13.42,0.0888,14.54,0.3715,29.72
2006-07-20,3426743.0,80555569.38,5.67,5.08,5.67,103.5,2.0,48623198.87,2353157.0,2068376.0,55317805.27,,,16317.0,0.04,,,,0.75,540.0,26565.0,,,0.04,16317.0,,4844.0,16398.0,70.63,0.25,,,25.57,25.57,6848938.0,161004224.78,,204.2,25.7,13.03,0.0886,14.72,0.3724,29.67
2006-07-21,3703540.0,87737391.62,6.13,5.65,6.13,111.87,2.0,48588222.38,2613579.0,2050989.0,61916059.84,,,280669.0,,,,,1.06,,35916.0,,,,280669.0,,15670.0,17386.0,78.47,0.52,,,28.39,28.39,6591845.0,156161749.65,,195.34,28.66,13.51,0.0925,14.69,0.4023,29.9
2006-07-24,3690582.0,88424606.76,6.1,5.96,6.1,113.41,2.0,49574422.03,2580958.0,2069090.0,61838538.26,,,5326.0,1.16,,,,1.16,34241.0,45581.0,,,1.16,5326.0,,7634.0,16140.0,78.48,0.0,,,28.25,28.25,6555171.0,157058810.21,,196.03,28.59,13.47,0.0926,14.7,0.404,30.24
2006-07-25,3673761.0,89709828.18,6.08,6.09,6.08,114.09,2.0,50749836.39,2471852.0,2078287.0,60360327.8,,,9183.0,0.41,,,,3.82,9197.0,133891.0,,,0.41,9183.0,,15602.0,,75.79,,,,27.07,27.07,6657801.0,162577310.76,,203.39,27.15,13.52,0.0939,14.77,0.4024,30.82
2006-07-26,3576156.0,87439742.14,5.92,6.25,5.92,111.93,2.0,48616356.38,2466055.0,1988337.0,60296925.89,,,12603.0,0.38,,,,0.26,11527.0,18401.0,,,0.38,12603.0,,,101478.0,76.09,2.94,,,26.93,26.93,6689801.0,163570737.52,,207.14,26.86,14.02,0.0979,15.23,0.3906,30.86
2006-07-27,3563832.0,85726576.67,5.9,6.3,5.9,111.49,2.0,47297827.22,2481639.0,1966269.0,59694849.82,,,15947.0,1.63,,,,0.02,52933.0,500.0,,,1.63,15947.0,,137.0,75000.0,76.55,2.41,,,54.78,26.56,2048768.0,49282308.21,,0.0,205.03,14.2,0.1024,15.44,0.3815,30.36
2006-07-28,3973107.0,95634484.62,6.57,7.31,6.57,122.86,2.0,47062501.23,2637056.0,1955198.0,63475132.05,,,237170.0,0.0,,,,4.52,2540.0,134058.0,,,0.0,237170.0,,52305.0,13611.0,80.67,0.46,,,56.33,27.65,2044481.0,49211583.47,,0.0,225.45,16.24,0.1133,18.23,0.4166,30.38
2006-07-31,3536506.0,85013220.14,5.85,7.38,5.85,108.33,2.0,39071447.18,2534433.0,1625352.0,60924627.46,,,17493.0,0.0,,,,3.76,1258.0,120116.0,,,0.0,17493.0,,,331105.0,77.08,10.98,,,54.25,26.44,2136914.0,51368763.49,,0.0,228.75,15.65,0.1159,20.9,0.369,30.34
2006-08-01,4452277.0,107062495.67,7.36,10.12,7.36,136.07,2.0,40284230.5,3412960.0,1675251.0,82070368.76,,,797124.0,2.51,,,,0.05,81042.0,923.0,,,2.51,797124.0,,82327.0,31143.0,103.68,0.94,,,35.61,35.61,6172393.0,148425580.63,,188.0,35.55,13.39,0.1666,33.71,0.4645,30.35
2006-08-02,4590239.0,109834488.67,7.59,11.66,7.59,141.01,2.0,40932703.99,3373420.0,1710673.0,80718642.49,,,145839.0,1.38,,,,5.75,45000.0,229579.0,,,1.38,145839.0,,44200.0,9578.0,103.82,0.19,,,35.33,35.33,6175081.0,147756329.06,,186.59,35.75,14.6,0.1667,32.89,0.4807,30.2
2006-08-03,4224474.0,100245747.67,6.99,11.37,6.99,129.02,2.0,38877293.84,3052564.0,1638335.0,72436606.42,,,8862.0,0.39,,,,0.26,13965.0,8348.0,,,0.39,8862.0,,,86303.0,92.88,2.72,10.18,,33.75,33.75,5991486.0,142176515.63,321370.0,179.98,34.04,16.06,0.1461,28.22,0.4671,29.95
2006-08-04,4322150.0,102426595.82,7.15,12.31,7.15,131.5,2.0,34535523.31,3299609.0,1457314.0,78194351.75,,321370.0,1505.0,,10.28,,,4.99,,163032.0,,321370.0,,1505.0,,87202.0,181021.0,100.67,5.47,,,35.12,35.12,6095030.0,144440423.01,,182.0,35.61,15.48,0.1791,35.06,0.4601,29.91
2006-08-07,4278295.0,99963623.62,7.08,12.52,7.08,130.49,2.0,32243475.86,3308256.0,1379973.0,77298376.48,,,28583.0,,,6000.0,,0.79,,26905.0,,,,28583.0,0.18,6969.0,83341.0,101.2,2.42,,,35.25,35.25,6075646.0,141959259.47,,181.72,35.77,15.72,0.1795,35.57,0.4559,29.49
2006-08-08,4233856.0,97113843.36,7.0,12.77,7.0,127.24,2.0,30622430.84,3308320.0,1335041.0,75884411.34,,,4439.0,0.51,,,,1.03,18621.0,4864.0,,,0.51,4439.0,,489.0,63553.0,99.75,1.97,,,35.29,35.29,6067196.0,139165980.6,,177.73,35.95,15.88,0.1836,36.03,0.4516,28.95
2006-08-09,4177208.0,95152552.12,6.91,12.74,6.91,123.59,2.0,30015775.45,3262998.0,1317696.0,74327777.61,,,30673.0,0.38,,,,5.69,13000.0,155929.0,,,0.38,30673.0,,79934.0,30345.0,96.86,1.17,,,35.32,35.32,5976442.0,136137273.72,,170.2,36.27,15.99,0.1861,36.51,0.4521,28.75
2006-08-10,4151425.0,94729702.88,6.87,12.58,6.87,122.83,2.0,29865575.82,3329283.0,1308826.0,75969574.15,,,103628.0,,,,,0.69,,23972.0,,,,103628.0,,868.0,8870.0,98.91,0.27,0.42,,36.93,36.93,5686530.0,129758648.49,14240.0,162.59,37.82,16.04,0.1871,36.62,0.4605,28.8
2006-08-11,4125148.0,94489623.23,6.82,12.98,6.82,120.85,2.0,28295225.33,3341776.0,1235289.0,76545897.3,,,101219.0,6.85,,,,2.71,237338.0,88726.0,,,6.85,101219.0,,,310875.0,97.97,9.15,,,36.56,36.56,5798182.0,132811727.63,,165.85,37.14,16.4,0.1949,37.44,0.4513,28.91
2006-08-14,4175303.0,96101601.55,6.91,13.69,6.91,122.38,2.0,29186205.51,3362817.0,1268046.0,77400873.52,,,23083.0,0.9,,3500.0,,0.06,29257.0,2042.0,,,0.9,23083.0,0.1,,,98.54,,,,36.49,36.49,5853087.0,134718614.36,,168.05,36.96,16.24,0.192,37.08,0.4531,29.05
2006-08-15,4480831.0,103382356.19,7.41,14.81,7.41,131.04,2.0,29427521.34,3660530.0,1275457.0,84456257.4,,,157114.0,0.16,,,,3.1,7410.0,106583.0,,,0.16,157114.0,,247183.0,,107.04,,,,39.72,39.72,5555506.0,128177407.29,,159.99,40.08,14.68,0.2218,41.98,0.4862,29.12
2006-08-16,4312569.0,100354417.47,7.13,14.43,7.13,126.3,2.0,29448832.23,3661035.0,1265516.0,85193079.75,,,79572.0,,,,,7.63,,288802.0,,,,79572.0,,209736.0,9940.0,108.21,0.28,,,39.74,39.74,5551515.0,129184960.03,,160.78,40.23,15.17,0.2102,40.25,0.4681,29.37
2006-08-17,4274668.0,101606182.8,7.07,14.51,7.07,127.01,2.0,29207664.27,3557174.0,1228794.0,84551799.51,,,4825.0,,,,,2.71,,108687.0,,,,4825.0,,,36722.0,106.74,0.96,,,38.66,38.66,5644436.0,134164710.81,,167.28,38.95,15.35,0.2123,40.64,0.4646,30.0
2006-08-18,3994405.0,95514173.75,6.61,13.61,6.61,120.49,2.0,29537333.88,3268542.0,1235252.0,78157344.71,,,19521.0,0.28,,,,9.67,6458.0,338732.0,,,0.28,19521.0,,30579.0,,99.81,,,,36.12,36.12,5781412.0,138245067.86,,171.36,36.81,16.6,0.1853,36.14,0.4414,30.18
2006-08-21,3805441.0,90754460.54,6.29,13.16,6.29,116.63,2.0,28239062.03,3128609.0,1184097.0,74612961.29,,,8423.0,,,,,4.11,,148356.0,,,,8423.0,,,51155.0,96.0,0.09,,,34.53,34.53,5932281.0,141476628.32,,175.36,35.38,17.23,0.1726,33.75,0.42,30.1
2006-08-22,3737838.0,91422605.73,6.18,13.7,6.18,114.36,2.0,28955708.85,3061688.0,1183862.0,74884865.23,,,5832.0,,,,,2.15,,72853.0,,,,5832.0,,101.0,234.0,94.7,0.01,,,33.53,33.53,6070778.0,148483252.5,,182.91,34.11,17.82,0.1814,34.87,0.4093,30.87
2006-08-23,3860126.0,94046598.4,6.39,13.86,6.39,119.97,2.0,28764991.76,3192894.0,1180654.0,77790419.21,,,77316.0,0.1,,,,0.5,1537.0,16574.0,,,0.1,77316.0,,70463.0,4745.0,99.98,0.14,,,34.71,34.71,6005381.0,146312751.23,,181.88,35.47,17.28,0.176,33.89,0.4197,30.75
2006-08-24,4060384.0,99472511.69,6.72,15.09,6.72,125.93,2.0,33831884.98,3192820.0,1380989.0,78218667.19,,,4807.0,6.34,,,,0.17,206335.0,4880.0,,,6.34,4807.0,,,6000.0,99.75,0.19,,,34.74,34.74,5998395.0,146950489.6,,181.41,35.48,16.31,0.1624,32.0,0.4418,30.92
2006-08-25,4162586.0,102240132.61,6.89,15.54,6.89,129.73,2.0,36452490.26,3191591.0,1484120.0,78390857.77,,,2951.0,3.4,,,,0.1,103132.0,5220.0,,,3.4,2951.0,,1040.0,,100.1,,,,34.76,34.76,5990305.0,147131993.81,,182.15,35.47,15.86,0.1593,31.08,0.4533,31.0
2006-08-28,4119897.0,101191618.77,6.81,15.89,6.81,128.45,2.0,37198011.13,3118687.0,1514473.0,76600212.57,,,164.0,0.96,,,,2.3,30352.0,74330.0,,,0.96,164.0,,1262.0,,97.89,,,,33.89,33.89,6084124.0,149436346.68,,185.21,34.58,15.18,0.1602,31.44,0.4477,31.0
2006-08-29,4382201.0,106974553.63,7.25,17.03,7.25,136.3,2.0,42340963.92,3174280.0,1734493.0,77487816.3,,,47322.0,6.75,,,,,220021.0,,,,6.75,47322.0,,8270.0,,99.4,,,,34.51,34.51,6024544.0,147066030.34,,183.14,35.18,14.18,0.1452,29.38,0.4764,30.81
2006-08-30,4280846.0,104975209.28,7.08,17.65,7.08,132.9,2.0,42428822.8,3077557.0,1730230.0,75468071.06,,27000.0,1736.0,,0.83,,,3.62,,125459.0,,27000.0,,1736.0,,,4264.0,96.53,0.13,,,33.36,33.36,6146981.0,150736704.12,,188.19,33.9,12.04,0.1461,30.17,0.4641,30.95
2006-08-31,4519336.0,108961500.32,8.36,18.69,7.48,140.57,2.0,47435474.73,3079212.0,1967455.0,74240012.1,,,2235.0,7.88,,,,0.02,250384.0,580.0,,,7.88,2235.0,,,13159.0,96.84,0.48,,,33.37,33.37,6148216.0,148233908.62,,185.59,34.29,11.92,0.1393,28.42,0.4898,30.43
2006-09-01,4201918.0,102074253.97,7.77,17.16,6.95,129.22,2.0,42460900.41,2977224.0,1747916.0,72323619.53,,,38449.0,,,,,4.42,,140437.0,,,,38449.0,,,219539.0,92.4,6.84,,,32.48,32.48,6190042.0,150370359.26,,188.51,32.89,12.24,0.143,29.47,0.4584,30.66
2006-09-04,4252584.0,101216034.96,7.87,17.65,7.03,130.71,2.0,41626685.0,3027081.0,1748942.0,72047756.45,,,34926.0,0.03,,,,0.03,1026.0,744.0,,,0.03,34926.0,,15676.0,,94.13,,,,33.02,33.02,6139328.0,146122554.54,,183.62,33.89,12.17,0.1405,29.15,0.4639,30.04
2006-09-05,4248398.0,100813458.41,7.86,17.73,7.03,129.5,2.0,41380593.52,3062804.0,1743827.0,72679599.15,,,74981.0,0.0,,,,1.28,1119.0,39258.0,,,0.0,74981.0,,,6233.0,94.17,0.22,,,33.57,33.57,6061440.0,143836507.16,,179.98,34.35,12.16,0.1405,29.1,0.4656,29.95
2006-09-06,4257396.0,100116218.03,7.88,17.71,7.04,129.59,2.0,40824993.01,3075851.0,1736064.0,72331201.83,,,50964.0,,,,,0.51,,37917.0,,,,50964.0,,,7764.0,94.72,0.27,,,34.47,34.43,5847612.0,137511473.67,,171.05,35.64,12.02,0.1446,30.01,0.4765,29.68
2006-09-07,4177395.0,96613124.73,7.73,17.67,6.91,126.54,2.0,39412577.44,3028151.0,1704136.0,70033868.06,,,2580.0,4.81,,,,1.56,159269.0,50530.0,,,4.81,2580.0,,250.0,191197.0,92.87,5.9,,,34.06,34.02,5862615.0,135588220.47,,168.99,35.46,12.32,0.1431,29.36,0.4693,29.19
2006-09-08,3805937.0,88655445.51,7.04,15.92,6.3,114.64,2.0,36608736.18,2740806.0,1571596.0,63844298.26,,,1512.0,,,,,8.83,,288857.0,,,,1512.0,,,132540.0,83.89,4.1,,,31.1,31.06,6072682.0,141456973.18,,175.53,32.34,12.78,0.1509,30.61,0.4313,29.4
2006-09-11,3692099.0,86296234.27,6.83,16.36,6.11,110.46,2.0,32881910.34,2780988.0,1406820.0,65000638.38,,,66492.0,0.16,,,,3.88,5989.0,126195.0,,,0.16,66492.0,,99885.0,170765.0,84.25,5.17,,,31.81,31.77,5961761.0,139345538.65,,174.07,32.61,13.25,0.1587,31.86,0.4218,29.5
2006-09-12,3413836.0,80333297.52,6.32,14.85,5.65,103.35,2.0,30730350.81,2593042.0,1305914.0,61018635.48,,,38186.0,1.88,,,,7.35,59869.0,259197.0,,,1.88,38186.0,,33065.0,160775.0,79.65,4.75,,,29.95,29.91,6066265.0,142749408.89,,177.3,31.0,14.4,0.1514,29.04,0.3938,29.7
