,CJ1 FP Equity_DX_SI_QTY,CJ1 FP Equity_DX_SHORT_INTEREST_VALUE,CJ1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CJ1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CJ1 FP Equity_DX_SI_MV,CJ1 FP Equity_DX_DSS,CJ1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CJ1 FP Equity_DX_SUPPLY_SI_QTY,CJ1 FP Equity_DX_BROKER_SI_QTY,CJ1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CJ1 FP Equity_DX_BROKER_SI_MV_NEW_x,CJ1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CJ1 FP Equity_DX_BROKER_SI_MV_INC_x,CJ1 FP Equity_DX_BROKER_SI_QTY_ADD,CJ1 FP Equity_DX_BROKER_SI_QTY_NEW,CJ1 FP Equity_DX_SUPPLY_SI_MV_DEC,CJ1 FP Equity_DX_BROKER_SI_QTY_INC,CJ1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CJ1 FP Equity_DX_BROKER_SI_MV_NEW_y,CJ1 FP Equity_DX_BROKER_SI_MV_INC_y,CJ1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CJ1 FP Equity_DX_BROKER_SI_MV_ADD,CJ1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CJ1 FP Equity_DX_BROKER_SI_QTY_DEC,CJ1 FP Equity_DX_SUPPLY_SI_MV,CJ1 FP Equity_DX_BROKER_SI_MV_DEC,CJ1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CJ1 FP Equity_DX_UTILIZATION_QUANTITY,CJ1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CJ1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CJ1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CJ1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CJ1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CJ1 FP Equity_DX_BROKER_SI_CON_RATIO,CJ1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CJ1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CJ1 FP Equity_PX_LAST
2008-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.78
2008-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.77
2008-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.41
2008-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.78
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.22
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.53
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.88
2009-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.94
2009-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.84
2009-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.22
2009-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.38
2009-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.45
2009-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.16
2009-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.99
2009-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.23
2009-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.47
2009-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.29
2009-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73
2009-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01
2009-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.65
2009-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41
2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46
2009-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85
