,APX FP Equity_DX_SI_QTY,APX FP Equity_DX_SHORT_INTEREST_VALUE,APX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,APX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,APX FP Equity_DX_SI_MV,APX FP Equity_DX_DSS,APX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,APX FP Equity_DX_SUPPLY_SI_QTY,APX FP Equity_DX_BROKER_SI_QTY,APX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,APX FP Equity_DX_SUPPLY_SI_QTY_INC_x,APX FP Equity_DX_BROKER_SI_MV_INC_x,APX FP Equity_DX_BROKER_SI_QTY_ADD,APX FP Equity_DX_SUPPLY_SI_MV_DEC,APX FP Equity_DX_BROKER_SI_QTY_INC,APX FP Equity_DX_SUPPLY_SI_QTY_DEC,APX FP Equity_DX_BROKER_SI_MV_INC_y,APX FP Equity_DX_SUPPLY_SI_QTY_INC_y,APX FP Equity_DX_BROKER_SI_MV_ADD,APX FP Equity_DX_SUPPLY_SI_QTY_ADD,APX FP Equity_DX_BROKER_SI_QTY_DEC,APX FP Equity_DX_SUPPLY_SI_MV,APX FP Equity_DX_BROKER_SI_MV_DEC,APX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,APX FP Equity_DX_UTILIZATION_QUANTITY,APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,APX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,APX FP Equity_DX_ACTIVE_UTILIZATION_MV,APX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,APX FP Equity_DX_BROKER_SI_CON_RATIO,APX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,APX FP Equity_DX_DEMAND_SUPPLY_RATIO,APX FP Equity_PX_LAST
2008-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63
2008-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.25
2008-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1
2008-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73
2008-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.29
2008-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0
2008-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.38
2008-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
2008-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.76
2008-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76
2008-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8
2008-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.42
2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.94
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71
2009-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07
2009-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.83
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.38
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86
2009-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.89
2009-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92
2009-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36
2009-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.82
2009-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.31
2009-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7
2009-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.98
2009-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.48
2009-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.48
2009-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7
2009-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.56
2009-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16
2009-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41
2009-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.47
2009-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.08
2009-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.03
2009-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.05
2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.87
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36
2009-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.69
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.22
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.93
2009-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.83
2009-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.53
