,IND FP Equity_PX_LAST
2024-06-21,109.867
2024-06-24,110.651
2024-06-25,108.927
2024-06-26,108.52
2024-06-27,108.526
2024-06-28,107.885
2024-07-01,108.652
2024-07-02,108.294
2024-07-03,109.49
2024-07-04,110.498
2024-07-05,109.781
2024-07-08,110.166
2024-07-09,107.924
2024-07-10,109.69
2024-07-11,110.811
2024-07-12,112.353
2024-07-15,110.889
2024-07-16,111.691
2024-07-17,110.743
2024-07-18,110.215
2024-07-19,109.001
2024-07-22,110.675
2024-07-23,110.846
2024-07-24,109.74
2024-07-25,108.132
2024-07-26,109.765
2024-07-29,109.783
2024-07-30,110.538
2024-07-31,111.106
2024-08-01,108.8
2024-08-02,104.834
2024-08-05,103.072
2024-08-06,103.359
2024-08-07,105.54
2024-08-08,105.23
2024-08-09,105.885
2024-08-12,105.698
2024-08-13,106.57
2024-08-14,107.349
2024-08-15,108.94
2024-08-16,108.998
2024-08-19,109.971
2024-08-20,109.545
2024-08-21,109.848
2024-08-22,110.348
2024-08-23,110.985
2024-08-26,110.925
2024-08-27,110.947
2024-08-28,111.696
2024-08-29,112.419
2024-08-30,112.757
2024-09-02,112.18
2024-09-03,110.501
2024-09-04,109.938
2024-09-05,109.043
2024-09-06,107.459
2024-09-09,108.413
2024-09-10,108.567
2024-09-11,108.249
2024-09-12,109.78
2024-09-13,110.786
2024-09-16,110.547
2024-09-17,111.626
2024-09-18,111.184
2024-09-19,113.783
2024-09-20,112.161
2024-09-23,112.303
2024-09-24,113.41
2024-09-25,114.0
2024-09-26,115.663
2024-09-27,115.739
2024-09-30,114.408
2024-10-01,114.136
2024-10-02,113.657
2024-10-03,113.545
2024-10-04,113.591
2024-10-07,113.37
2024-10-08,113.276
2024-10-09,114.248
2024-10-10,113.088
2024-10-11,113.936
2024-10-14,115.134
2024-10-15,114.624
2024-10-16,114.221
2024-10-17,115.889
2024-10-18,115.722
2024-10-21,114.787
2024-10-22,114.772
2024-10-23,114.101
2024-10-24,114.091
2024-10-25,113.845
2024-10-28,114.973
2024-10-29,114.24
2024-10-30,113.209
2024-10-31,111.985
2024-11-01,113.274
2024-11-04,112.643
2024-11-05,113.675
2024-11-06,114.747
2024-11-07,115.487
2024-11-08,114.538
2024-11-11,116.514
2024-11-12,114.08
2024-11-13,113.129
2024-11-14,114.067
2024-11-15,113.369
2024-11-18,113.011
2024-11-19,112.292
2024-11-20,111.984
2024-11-21,112.811
2024-11-22,113.755
2024-11-25,113.832
2024-11-26,112.971
2024-11-27,112.664
2024-11-28,113.767
2024-11-29,114.452
2024-12-02,116.24
2024-12-03,116.394
2024-12-04,117.624
2024-12-05,117.511
2024-12-06,118.56
2024-12-09,117.19
2024-12-10,116.001
2024-12-11,116.957
2024-12-12,117.176
2024-12-13,115.437
2024-12-16,115.373
2024-12-17,115.0
2024-12-18,115.402
2024-12-19,113.0
2024-12-20,112.959
2024-12-23,111.833
2024-12-24,113.0
2024-12-27,112.921
2024-12-30,112.598
2024-12-31,113.057
2025-01-02,113.829
2025-01-03,113.268
2025-01-06,115.827
2025-01-07,114.814
2025-01-08,115.659
2025-01-09,115.593
2025-01-10,114.128
2025-01-13,112.877
2025-01-14,113.153
2025-01-15,114.754
2025-01-16,115.295
2025-01-17,117.81
2025-01-20,117.729
2025-01-21,118.322
2025-01-22,119.225
2025-01-23,121.447
2025-01-24,120.585
2025-01-27,118.255
2025-01-28,117.957
2025-01-29,118.799
2025-01-30,119.697
2025-01-31,120.213
2025-02-03,118.448
2025-02-04,118.967
2025-02-05,119.481
2025-02-06,119.416
2025-02-07,119.835
2025-02-10,121.13
2025-02-11,121.745
2025-02-12,121.233
2025-02-13,124.5
2025-02-14,125.35
2025-02-17,126.469
2025-02-18,128.3
2025-02-19,125.399
2025-02-20,125.948
2025-02-21,124.991
2025-02-24,123.652
2025-02-25,123.337
2025-02-26,125.413
2025-02-27,124.945
2025-02-28,125.105
2025-03-03,127.973
2025-03-04,123.826
2025-03-05,129.624
2025-03-06,130.5
2025-03-07,128.226
2025-03-10,125.431
2025-03-11,123.925
2025-03-12,125.249
2025-03-13,124.889
2025-03-14,127.513
2025-03-17,128.424
2025-03-18,129.248
2025-03-19,130.153
2025-03-20,129.359
2025-03-21,127.844
2025-03-24,127.567
2025-03-25,127.831
2025-03-26,127.504
2025-03-27,126.307
2025-03-28,124.384
2025-03-31,121.846
2025-04-01,122.629
2025-04-02,122.577
2025-04-03,118.157
2025-04-04,111.642
2025-04-07,105.25
2025-04-08,110.173
2025-04-09,106.595
2025-04-10,111.908
2025-04-11,110.648
2025-04-14,114.337
2025-04-15,115.542
2025-04-16,115.904
2025-04-17,115.309
2025-04-22,114.467
2025-04-23,116.583
2025-04-24,117.712
2025-04-25,119.375
2025-04-28,120.113
2025-04-29,119.708
2025-04-30,120.563
2025-05-02,125.465
2025-05-05,125.45
2025-05-06,123.75
2025-05-07,124.913
2025-05-08,126.102
2025-05-09,126.0
2025-05-12,128.341
2025-05-13,129.913
2025-05-14,128.815
2025-05-15,129.816
2025-05-16,129.33
2025-05-19,131.507
2025-05-20,131.541
2025-05-21,131.228
2025-05-22,129.436
2025-05-23,128.494
2025-05-26,130.298
2025-05-27,131.882
2025-05-28,131.545
2025-05-29,131.666
2025-05-30,130.619
2025-06-02,130.128
2025-06-03,131.596
2025-06-04,132.626
2025-06-05,132.641
2025-06-06,133.289
2025-06-09,132.767
2025-06-10,131.73
2025-06-11,131.39
2025-06-12,130.147
2025-06-13,129.764
2025-06-16,131.005
2025-06-17,130.5
2025-06-18,129.377
2025-06-19,127.79
2025-06-20,128.229
2025-06-23,127.77
2025-06-24,129.527
2025-06-25,128.862
2025-06-26,130.543
2025-06-27,132.111
2025-06-30,132.455
2025-07-01,129.521
2025-07-02,131.001
2025-07-03,132.299
2025-07-04,131.489
2025-07-07,132.905
2025-07-08,132.905
2025-07-09,134.752
2025-07-10,134.597
2025-07-11,134.688
2025-07-14,133.37
2025-07-15,133.359
2025-07-16,132.0
2025-07-17,135.502
2025-07-18,135.0
2025-07-21,134.658
2025-07-22,132.813
2025-07-23,135.436
2025-07-24,135.907
2025-07-25,134.9
2025-07-28,134.1
2025-07-29,135.482
2025-07-30,135.601
2025-07-31,135.142
2025-08-01,130.5
2025-08-04,133.383
2025-08-05,133.823
2025-08-06,132.209
2025-08-07,135.044
2025-08-08,133.757
2025-08-11,133.1
2025-08-12,135.0
2025-08-13,135.401
2025-08-14,135.826
2025-08-15,135.575
2025-08-18,135.462
2025-08-19,136.086
2025-08-20,134.742
2025-08-21,134.896
2025-08-22,134.985
2025-08-25,135.781
2025-08-26,134.073
2025-08-27,132.968
2025-08-28,134.838
2025-08-29,133.632
